Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15084536,0.06247252,0.03629242,0.05208042,25019.0,0.01999233,0.11795797,0.18373274,0.21802052
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.1788035,0.06998282,0.041676,0.06714467,13389.0,0.02776593,0.13312854,0.22447845,0.25544779
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.11865864,0.05382631,0.03009458,0.03473775,11630.0,0.02489739,0.07770243,0.15961485,0.34515992
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43128309,0.18322385,0.1085075,0.13955173,125595.0,0.0164596,0.40420705,0.45835914,0.06278022
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,270000,0.43297782,0.18911344,0.11492546,0.12893892,66008.0,0.02025298,0.39966167,0.46629397,0.07694655
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,270000,0.42940574,0.17669962,0.10139796,0.15130817,59587.0,0.02665038,0.38556587,0.47324561,0.10209428
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.86917787,0.35732846,0.1993201,0.31252931,102368.0,0.02692031,0.82489396,0.91346177,0.05094919
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,0.9189728,0.36903042,0.21467635,0.33526604,54673.0,0.03654553,0.85885541,0.9790902,0.06541804
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,0.8120977,0.34391446,0.18171716,0.28646609,47695.0,0.04222051,0.74264497,0.88155044,0.08552263
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.07768285,0.04247713,0.01248258,0.02272314,16503.0,0.01568046,0.05188849,0.1034772,0.33204695
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,180000,0.12245863,0.06855792,0.01595745,0.03794326,8460.0,0.02922964,0.07437587,0.17054139,0.39264492
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,180000,0.0305856,0.01504414,0.00882755,0.00671391,8043.0,0.0120971,0.01068588,0.05048532,0.65062383
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.26781971,0.09920635,0.07891584,0.08969751,13356.0,0.04108584,0.2002335,0.33540591,0.25235709
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,0.36815562,0.15518732,0.10590778,0.10706052,6940.0,0.06395334,0.26295238,0.47335886,0.28575752
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,200000,0.15928928,0.03865337,0.04971945,0.07091646,6416.0,0.04625413,0.08320124,0.23537731,0.47767205
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.06640433,0.06492868,0.0,0.00147565,2033.0,0.06318511,-0.03753518,0.17034383,1.565252
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,88000,0.11363636,0.11111111,0.0,0.00252525,1188.0,0.10974331,-0.06689138,0.29416411,1.5886442
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,88000,0.0,0.0,0.0,0.0,845.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.18411672,0.10304236,0.021968,0.05910636,12063.0,0.03710405,0.12308057,0.24515287,0.33150794
"2-4 Units  (Own/Rent), 2 BR",    Below Median,119000,0.22630371,0.15168908,0.0332896,0.04132502,6098.0,0.07045588,0.11040378,0.34220364,0.51214332
"2-4 Units  (Own/Rent), 2 BR",    Above Median,119000,0.1409891,0.05331098,0.01039396,0.07728416,5965.0,0.04425175,0.06819497,0.21378323,0.51631032
"2-4 Units (Own/Rent), 3 BR",All Values,,0.42333757,0.16687844,0.10059297,0.15586616,4722.0,0.10283472,0.25417445,0.59250068,0.39959391
"2-4 Units (Own/Rent), 3 BR",    Below Median,137000,0.49756296,0.17871649,0.15759545,0.16125102,2462.0,0.12998776,0.2837331,0.71139282,0.42975438
"2-4 Units (Own/Rent), 3 BR",    Above Median,137000,0.34247788,0.1539823,0.03849558,0.15,2260.0,0.15872215,0.08137994,0.60357582,0.762379
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1415.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,170000,0.0,0.0,0.0,0.0,967.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,170000,0.0,0.0,0.0,0.0,448.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.09142106,0.03960954,0.02778299,0.02402853,5327.0,0.03699601,0.03056263,0.15227949,0.66569375
"5-49 Units (Own), 2 BR",    Below Median,170000,0.13994565,0.0716712,0.05027174,0.01800272,2944.0,0.06625423,0.03095744,0.24893386,0.77878954
"5-49 Units (Own), 2 BR",    Above Median,170000,0.03147293,0.0,0.0,0.03147293,2383.0,0.02358971,-0.00733215,0.07027801,1.2329667
"5-49 Units (Own), 3 BR",All Values,,0.30544994,0.0,0.07731305,0.22813688,789.0,0.20262361,-0.02786591,0.63876578,1.091229
"5-49 Units (Own), 3 BR",    Below Median,250000,0.49183673,0.0,0.1244898,0.36734694,490.0,0.34622162,-0.07769784,1.0613713,1.1579749
"5-49 Units (Own), 3 BR",    Above Median,250000,0.0,0.0,0.0,0.0,299.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.00560373,0.00359948,0.0,0.00200425,24448.0,0.00291364,0.00081079,0.01039667,0.85531259
"5-49 Units (Rent), 0-1 BR",    Below Median,100000,0.00543565,0.00151878,0.0,0.00391687,12510.0,0.00343516,-0.00021518,0.01108648,1.039587
"5-49 Units (Rent), 0-1 BR",    Above Median,100000,0.00577986,0.00577986,0.0,0.0,11938.0,0.00452982,-0.0016717,0.01323142,1.289228
"5-49 Units (Rent), 2 BR",All Values,,0.18687976,0.08155251,0.0394825,0.06584475,32850.0,0.02865837,0.13973674,0.23402277,0.25226388
"5-49 Units (Rent), 2 BR",    Below Median,111000,0.19591049,0.07171723,0.06858073,0.05561252,16579.0,0.03978546,0.13046341,0.26135757,0.33406623
"5-49 Units (Rent), 2 BR",    Above Median,111000,0.17767808,0.09157397,0.00983345,0.07627067,16271.0,0.04025686,0.11145555,0.24390061,0.37271075
"5-49 Units (Rent), 3 BR",All Values,,0.81785124,0.35239669,0.34578512,0.11966942,3025.0,0.22366347,0.44992484,1.1857776,0.44986959
"5-49 Units (Rent), 3 BR",    Below Median,130000,0.93510005,0.4407788,0.33098972,0.16333153,1849.0,0.28162005,0.47183507,1.398365,0.49541756
"5-49 Units (Rent), 3 BR",    Above Median,130000,0.6335034,0.21343537,0.36904762,0.05102041,1176.0,0.31097281,0.12195314,1.1450537,0.80749411
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1005.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,290000,0.0,0.0,0.0,0.0,772.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,290000,0.0,0.0,0.0,0.0,233.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,1451.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,300000,0.0,0.0,0.0,0.0,867.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,300000,0.0,0.0,0.0,0.0,584.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.2875,0.0,0.2875,0.0,160.0,0.31535493,-0.23125886,0.80625886,1.8043787
"50+ Units (Own), 3 BR",    Below Median,650000,0.34328358,0.0,0.34328358,0.0,134.0,0.38486217,-0.28981469,0.97638186,1.8442428
"50+ Units (Own), 3 BR",    Above Median,650000,0.0,0.0,0.0,0.0,26.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.01371416,0.01371416,0.0,0.0,17646.0,0.0129374,-0.00756787,0.03499618,1.5518292
"50+ Units (Rent), 0-1 BR",    Below Median,138000,0.0,0.0,0.0,0.0,8976.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,138000,0.02791234,0.02791234,0.0,0.0,8670.0,0.02637255,-0.0154705,0.07129518,1.5542531
"50+ Units (Rent), 2 BR",All Values,,0.02297076,0.00771745,0.00199746,0.01325586,11014.0,0.00914556,0.00792633,0.0380152,0.65493854
"50+ Units (Rent), 2 BR",    Below Median,142000,0.01764192,0.01082969,0.0,0.00681223,5725.0,0.01023414,0.00080676,0.03447708,0.9542703
"50+ Units (Rent), 2 BR",    Above Median,142000,0.02873889,0.00434865,0.00415958,0.02023067,5289.0,0.01599142,0.00243301,0.05504477,0.91534083
"50+ Units (Rent), 3 BR",All Values,,0.58474576,0.13135593,0.21927966,0.23411017,944.0,0.2703572,0.14000816,1.0294834,0.76056575
"50+ Units (Rent), 3 BR",    Below Median,158000,0.56935484,0.14354839,0.28548387,0.14032258,620.0,0.32037041,0.04234551,1.0963642,0.92562545
"50+ Units (Rent), 3 BR",    Above Median,158000,0.61419753,0.10802469,0.09259259,0.41358025,324.0,0.51740555,-0.23693459,1.4653297,1.3857629
All Housing Types (Own) 0-1 BR,All Values,,0.03757099,0.01296054,0.01980486,0.00480559,6867.0,0.01990097,0.0048339,0.07030808,0.87133948
All Housing Types (Own) 0-1 BR,    Below Median,195000,0.0528912,0.02302001,0.02740477,0.00246643,3649.0,0.03656514,-0.00725845,0.11304086,1.1372336
All Housing Types (Own) 0-1 BR,    Above Median,195000,0.02019888,0.00155376,0.01118707,0.00745805,3218.0,0.00833638,0.00648553,0.03391223,0.67891621
All Housing Types (Own) 2 BR,All Values,,0.0921792,0.03904979,0.0218028,0.03132661,46095.0,0.01193768,0.0725417,0.11181669,0.21303604
All Housing Types (Own) 2 BR,    Below Median,200000,0.10281603,0.04160329,0.0231038,0.03810894,24325.0,0.01750357,0.07402266,0.1316094,0.28004747
All Housing Types (Own) 2 BR,    Above Median,200000,0.08029398,0.0361966,0.0203491,0.02374828,21770.0,0.01488119,0.05581443,0.10477353,0.30487403
All Housing Types (Own) 3 BR,All Values,,0.39468024,0.16439304,0.09960779,0.13067941,134367.0,0.0152339,0.36962048,0.41974001,0.06349384
All Housing Types (Own) 3 BR,    Below Median,270000,0.3789154,0.16249166,0.09947629,0.11694744,70459.0,0.01772999,0.34974957,0.40808123,0.07697188
All Housing Types (Own) 3 BR,    Above Median,270000,0.41206109,0.16648933,0.09975277,0.14581899,63908.0,0.0257732,0.36966418,0.454458,0.10288986
All Housing Types (Own) 4-5 BR,All Values,,0.86471089,0.35638563,0.19893499,0.30939026,102159.0,0.02632625,0.82140422,0.90801757,0.05008226
All Housing Types (Own) 4-5 BR,    Below Median,350000,0.91074482,0.36560783,0.21149438,0.33364262,54966.0,0.0359347,0.85163223,0.96985741,0.06490576
All Housing Types (Own) 4-5 BR,    Above Median,350000,0.81109487,0.34564448,0.18430699,0.28114339,47193.0,0.04105431,0.74356053,0.8786292,0.08326318
All Housing Types (Rent) 0-1 BR,All Values,,0.01239466,0.01035503,8.965e-05,0.00194997,44616.0,0.00613518,0.00230228,0.02248703,0.81425206
All Housing Types (Rent) 0-1 BR,    Below Median,111000,0.0116084,0.00759181,0.00017655,0.00384004,22656.0,0.00619136,0.00142361,0.02179319,0.87736346
All Housing Types (Rent) 0-1 BR,    Above Median,111000,0.01320583,0.01320583,0.0,0.0,21960.0,0.01057802,-0.00419502,0.03060668,1.3176641
All Housing Types (Rent) 2 BR,All Values,,0.17042249,0.08054084,0.0316693,0.05821234,58132.0,0.01757213,0.14151633,0.19932864,0.16961467
All Housing Types (Rent) 2 BR,    Below Median,113000,0.18556317,0.09032346,0.05055265,0.04468705,29494.0,0.0272492,0.14073824,0.23038809,0.24156157
All Housing Types (Rent) 2 BR,    Above Median,113000,0.15482925,0.07046581,0.01222152,0.07214191,28638.0,0.02603598,0.11200006,0.19765844,0.2766221
All Housing Types (Rent) 3 BR,All Values,,0.70472441,0.29710349,0.22026153,0.18735939,14224.0,0.0852825,0.5644347,0.84501412,0.19907031
All Housing Types (Rent) 3 BR,    Below Median,132000,0.66749345,0.3079785,0.19016122,0.16935373,7257.0,0.11170483,0.48373902,0.85124789,0.27529025
All Housing Types (Rent) 3 BR,    Above Median,132000,0.7435051,0.2857758,0.25161476,0.20611454,6967.0,0.1392611,0.51442059,0.9725896,0.30811424
All Housing Types (Rent) 4-5 BR,All Values,,0.61104369,0.17961165,0.19114078,0.24029126,4944.0,0.11936158,0.41469389,0.80739349,0.32133512
All Housing Types (Rent) 4-5 BR,    Below Median,175000,0.67804699,0.20337739,0.22723935,0.24743025,2724.0,0.17011577,0.39820655,0.95788743,0.41271541
All Housing Types (Rent) 4-5 BR,    Above Median,175000,0.52882883,0.15045045,0.14684685,0.23153153,2220.0,0.18887706,0.21812606,0.8395316,0.58752994
