Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.14080774,0.06609171,0.03374001,0.04097602,23770.0,0.01690354,0.11300141,0.16861407,0.19747728
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 126000,0.1318353,0.07741265,0.02974412,0.02467853,7699.0,0.02552878,0.08984046,0.17383015,0.31854019
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,126000 to 212000,0.16459905,0.07660826,0.03542653,0.05256427,7819.0,0.03711154,0.10355057,0.22564754,0.37089206
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 212000,0.12663597,0.04556471,0.03587009,0.04520116,8252.0,0.02715678,0.08196307,0.17130886,0.35276625
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.33536016,0.16212609,0.07928339,0.09395067,67429.0,0.01644791,0.30830334,0.36241698,0.08067989
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 193000,0.45403386,0.21878315,0.10203423,0.13321648,21679.0,0.03639807,0.39415903,0.51390869,0.13187306
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,193000 to 300000,0.29736667,0.15897322,0.06461607,0.07377738,22595.0,0.03048449,0.24721968,0.34751367,0.1686369
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 300000,0.26132585,0.1121572,0.0722954,0.07687325,23155.0,0.02666597,0.21746032,0.30519138,0.16785759
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.65967218,0.26704906,0.16106079,0.23156232,55091.0,0.02511017,0.61836594,0.70097842,0.06261631
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 230000,0.66573335,0.24502562,0.16686524,0.25384249,16786.0,0.04916408,0.58485844,0.74660826,0.12148244
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,230000 to 350000,0.6963965,0.30450157,0.15901437,0.23288056,17816.0,0.05915319,0.5990895,0.79370349,0.1397293
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 350000,0.6227732,0.25252575,0.15808483,0.21216262,20489.0,0.03970157,0.55746411,0.68808228,0.10486817
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11617687,0.05328207,0.02719033,0.03570448,3641.0,0.03672774,0.05575974,0.17659401,0.52004439
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 119000,0.24181118,0.15992293,0.02408478,0.05780347,1038.0,0.09960622,0.07795894,0.40566341,0.67760406
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,119000 to 210000,0.0926259,0.0,0.02967626,0.06294964,1112.0,0.06224356,-0.00976476,0.19501656,1.1054215
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 210000,0.04627767,0.01877934,0.02749832,0.0,1491.0,0.04458998,-0.02707285,0.11962818,1.5850089
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.47400347,0.24540728,0.09948007,0.12911612,5770.0,0.07244946,0.3548241,0.59318283,0.25143142
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 153000,0.60922064,0.34522503,0.14709111,0.1169045,1822.0,0.16459822,0.33845657,0.87998471,0.44444336
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,153000 to 229000,0.48998459,0.27734977,0.10272214,0.10991269,1947.0,0.11532339,0.30027761,0.67969157,0.38716928
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 229000,0.33533233,0.12343828,0.05297351,0.15892054,2001.0,0.11378551,0.14815517,0.52250949,0.55818405
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04382573,0.02191286,0.02191286,0.0,3879.0,0.02447062,0.00357156,0.0840799,0.91850552
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 64000,0.0,0.0,0.0,0.0,1165.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,64000 to 82000,0.0,0.0,0.0,0.0,1283.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 82000,0.11879804,0.05939902,0.05939902,0.0,1431.0,0.06823242,0.00655571,0.23104038,0.94481637
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.18133448,0.0875755,0.03293069,0.0608283,6954.0,0.03877918,0.11754272,0.24512624,0.35179056
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 83000,0.1980344,0.13316953,0.01081081,0.05405405,2035.0,0.06575611,0.0898656,0.30620319,0.54621214
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,83000 to 102000,0.13790256,0.05821635,0.04211396,0.03757225,2422.0,0.06928162,0.0239343,0.25187082,0.82644051
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 102000,0.20985182,0.07889467,0.04205046,0.08890669,2497.0,0.08081454,0.0769119,0.34279175,0.63349426
"2-4 Units (Own/Rent), 3 BR",All Values,,0.53994778,0.15926893,0.26214099,0.11853786,1915.0,0.19394752,0.22090411,0.85899145,0.59087875
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 109000,0.32149533,0.30841121,0.01308411,0.0,535.0,0.15542903,0.06581458,0.57717607,0.79528604
