Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.0,0.0,0.0,0.0,28.0,.,.,.,.
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,745000,0.0,0.0,0.0,0.0,28.0,.,.,.,.
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,745000,0.0,0.0,0.0,0.0,28.0,.,.,.,.
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.17948718,0.14102564,0.0,0.03846154,468.0,0.13995768,-0.0507432,0.40971756,1.2827121
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,1800000,0.16425121,0.12077295,0.0,0.04347826,414.0,0.14486053,-0.07404436,0.40254678,1.4507995
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,1800000,0.2962963,0.2962963,0.0,0.0,54.0,0.33950693,-0.26219261,0.8547852,1.8849001
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.56781915,0.34441489,0.09574468,0.12765957,752.0,0.22497594,0.19773372,0.93790458,0.65176638
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,900000,0.5631068,0.37864078,0.0461165,0.13834951,412.0,0.30641241,0.05905838,1.0671552,0.89512047
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,900000,0.57352941,0.30294118,0.15588235,0.11470588,340.0,0.29742513,0.08426507,1.0627937,0.85307628
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.30070922,0.10070922,0.09787234,0.10212766,705.0,0.22410895,-0.06795001,0.66936845,1.2259658
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,300000,0.44820296,0.15010571,0.14587738,0.15221987,473.0,0.34427516,-0.11812967,1.0145356,1.2635629
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,300000,0.0,0.0,0.0,0.0,232.0,.,.,.,.
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.57409274,0.27948589,0.09979839,0.19480847,3968.0,0.11171889,0.39031516,0.75787032,0.32011828
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,400000,0.69725177,0.2983156,0.13785461,0.26108156,2256.0,0.15963154,0.43465789,0.95984565,0.37661271
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,400000,0.41179907,0.2546729,0.04964953,0.10747664,1712.0,0.13585584,0.18831621,0.63528192,0.5426988
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.24845488,0.14585909,0.0,0.1025958,809.0,0.14664032,0.00723156,0.4896782,0.97089385
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,185000,0.24130879,0.24130879,0.0,0.0,489.0,0.19034612,-0.07181057,0.55442816,1.2975879
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,185000,0.259375,0.0,0.0,0.259375,320.0,0.22232898,-0.10635617,0.62510617,1.4100479
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.09316354,0.03351206,0.05093834,0.00871314,1492.0,0.05578035,0.00140487,0.18492221,0.98492041
"2-4 Units  (Own/Rent), 2 BR",    Below Median,187000,0.08944724,0.0,0.07638191,0.01306533,995.0,0.07585254,-0.03533019,0.21422466,1.3949836
"2-4 Units  (Own/Rent), 2 BR",    Above Median,187000,0.10060362,0.10060362,0.0,0.0,497.0,0.07470079,-0.02227918,0.22348643,1.2214551
"2-4 Units (Own/Rent), 3 BR",All Values,,0.27709497,0.23463687,0.0424581,0.0,895.0,0.19773106,-0.04817263,0.60236257,1.1738488
"2-4 Units (Own/Rent), 3 BR",    Below Median,402000,0.47058824,0.39350913,0.07707911,0.0,493.0,0.37125777,-0.14013079,1.0813073,1.2977779
"2-4 Units (Own/Rent), 3 BR",    Above Median,402000,0.039801,0.039801,0.0,0.0,402.0,0.04575679,-0.03546892,0.11507091,1.8911567
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1592.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,410000,0.0,0.0,0.0,0.0,1008.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,410000,0.0,0.0,0.0,0.0,584.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,1982.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Below Median,600000,0.0,0.0,0.0,0.0,1048.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,600000,0.0,0.0,0.0,0.0,934.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,190.0,.,.,.,.
"5-49 Units (Own), 3 BR",    Below Median,690000,0.0,0.0,0.0,0.0,127.0,.,.,.,.
"5-49 Units (Own), 3 BR",    Above Median,690000,0.0,0.0,0.0,0.0,63.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.01874811,0.01542183,0.0,0.00332628,3307.0,0.01571835,-0.00710858,0.0446048,1.3791627
"5-49 Units (Rent), 0-1 BR",    Below Median,141000,0.03446359,0.02834908,0.0,0.00611451,1799.0,0.02937102,-0.01385174,0.08277892,1.4019239
"5-49 Units (Rent), 0-1 BR",    Above Median,141000,0.0,0.0,0.0,0.0,1508.0,.,.,.,.
"5-49 Units (Rent), 2 BR",All Values,,0.35228183,0.23899119,0.01521217,0.09807846,2498.0,0.11058987,0.1703615,0.53420215,0.51640566
