Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17244735,0.08647648,0.03559421,0.05037667,158228.0,0.00868988,0.1581525,0.18674221,0.08289404
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 77000,0.20366703,0.10475537,0.03974899,0.05916266,50995.0,0.01628514,0.17687797,0.23045609,0.13153362
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,77000 to 127000,0.17995301,0.08506466,0.0410523,0.05383605,54053.0,0.01524028,0.15488275,0.20502327,0.1393156
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 127000,0.13488153,0.0703836,0.02606243,0.0384355,53180.0,0.01246594,0.11437506,0.155388,0.15203319
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.39743946,0.17486735,0.09733973,0.12523238,744999.0,0.006159,0.38730791,0.40757101,0.02549206
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 111000,0.41818615,0.1867899,0.10178241,0.12961384,239226.0,0.01276168,0.39719318,0.43917912,0.05020005
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,111000 to 185000,0.45507619,0.20239274,0.11252516,0.14015829,250424.0,0.01212147,0.43513637,0.47501601,0.04381645
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 185000,0.32147766,0.1367031,0.07828501,0.10648955,255349.0,0.01054012,0.30413917,0.33881615,0.05393373
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.7122158,0.29591413,0.17779195,0.23850972,377863.0,0.01209611,0.6923177,0.73211391,0.02793831
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 189000,0.74548027,0.31584735,0.18822768,0.24140524,123680.0,0.02247691,0.70850576,0.78245478,0.04959824
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,189000 to 318000,0.69211593,0.29715195,0.16833515,0.22662883,127561.0,0.023589,0.65331203,0.73091983,0.05606561
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 318000,0.69997315,0.27519704,0.17712562,0.24765049,126622.0,0.02073987,0.66585607,0.73409023,0.04874055
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20643828,0.11185765,0.03211754,0.06246308,13544.0,0.02968909,0.15759972,0.25527683,0.23657705
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 100000,0.23536468,0.11324376,0.03958733,0.08253359,4168.0,0.05851363,0.13910976,0.33161961,0.40896077
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,100000 to 144000,0.25235043,0.13418803,0.04017094,0.07799145,4680.0,0.05292714,0.16528528,0.33941557,0.34501683
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 144000,0.13500852,0.08837308,0.01746167,0.02917376,4696.0,0.03885603,0.07109035,0.19892669,0.47343807
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.29943297,0.11660366,0.07902006,0.10380925,13756.0,0.04635091,0.22318573,0.37568022,0.25463878
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 129000,0.32327297,0.12743125,0.09389671,0.101945,4473.0,0.07570458,0.19873893,0.44780701,0.38522875
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,129000 to 183000,0.33810143,0.13285652,0.09319463,0.11205028,4614.0,0.08433842,0.19936472,0.47683814,0.41034049
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,0.23838081,0.0901692,0.05076033,0.09745127,4669.0,0.05885916,0.14155749,0.33520413,0.4061708
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.08585238,0.05578226,0.01311359,0.01695654,25241.0,0.0179909,0.05625735,0.11544742,0.34471999
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 41000,0.07952765,0.03337752,0.0,0.04615014,8299.0,0.02560301,0.03741071,0.1216446,0.52958866
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,41000 to 68000,0.08675193,0.0738417,0.01170367,0.00120656,8288.0,0.02979708,0.03773573,0.13576813,0.5650157
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 68000,0.09105616,0.05997227,0.02703952,0.00404437,8654.0,0.03318693,0.03646366,0.14564866,0.59954756
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30255372,0.17061885,0.05954976,0.0723851,44954.0,0.02551213,0.26058628,0.34452117,0.13871072
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 67000,0.27260413,0.15137149,0.05228581,0.06894683,14765.0,0.03065625,0.22217459,0.32303367,0.18499184
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,67000 to 95000,0.33056904,0.19518608,0.06088188,0.07450108,14832.0,0.04468592,0.2570607,0.40407738,0.22236911
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 95000,0.3042912,0.16539689,0.06524712,0.0736472,15357.0,0.04837999,0.22470611,0.38387629,0.26154253
"2-4 Units (Own/Rent), 3 BR",All Values,,0.83250426,0.40257248,0.15733371,0.27259807,14072.0,0.08556187,0.69175499,0.97325354,0.16906733
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 66000,1.3096802,0.73193167,0.22404731,0.35370127,4566.0,0.21668307,0.95323659,1.6661239,0.27216082
"2-4 Units (Own/Rent), 3 BR",Second Tercile,66000 to 105000,0.78694818,0.31371295,0.14672638,0.32650885,4689.0,0.13083495,0.57172468,1.0021717,0.27349132
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 105000,0.42453809,0.17687357,0.10442184,0.14324268,4817.0,0.10702938,0.24847477,0.60060142,0.41471738
"5-49 Units (Own), 0-1 BR",All Values,,0.21812749,0.07868526,0.11653386,0.02290837,1004.0,0.16950437,-0.0607072,0.49696218,1.2783106
"5-49 Units (Own), 0-1 BR",First Tercile,Below 77000,0.0,0.0,0.0,0.0,308.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,77000 to 167000,0.50171821,0.27147766,0.23024055,0.0,291.0,0.51233916,-0.34107971,1.3445161,1.6798233
