Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16152438,0.07696372,0.03577134,0.04878932,240360.0,0.00784427,0.14862056,0.1744282,0.07988778
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.28079233,0.13945048,0.0616869,0.07965495,78250.0,0.01734213,0.25226453,0.30932013,0.1015975
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 276000,0.1316787,0.05995451,0.02849828,0.04322591,80461.0,0.01115601,0.11332707,0.15003033,0.13936675
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 276000,0.0766329,0.03383997,0.01810188,0.02469106,81649.0,0.00989352,0.06035806,0.09290775,0.21237408
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.42343479,0.19199094,0.10117332,0.13027053,845717.0,0.00643435,0.41285028,0.43401929,0.02499678
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 194000,0.59101106,0.27167749,0.14136951,0.17796406,277719.0,0.01541574,0.56565216,0.61636996,0.04290765
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,194000 to 313000,0.40750561,0.18277976,0.09697358,0.12775227,277952.0,0.01075141,0.38981954,0.42519169,0.04340082
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 313000,0.27824552,0.12451818,0.06671011,0.08701723,290046.0,0.00863237,0.26404527,0.29244577,0.05103496
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.81725399,0.34491452,0.2053076,0.26703187,605321.0,0.00955558,0.80153506,0.83297291,0.01923383
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 265000,0.94457376,0.40846945,0.23553659,0.30056772,200627.0,0.02469017,0.90395844,0.98518909,0.04299857
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,265000 to 424000,0.77901956,0.32366924,0.19846725,0.25688307,192465.0,0.01968289,0.74664121,0.8113979099999999,0.04156295
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 424000,0.73156826,0.30410076,0.18293447,0.24453303,212229.0,0.01559507,0.70591436,0.75722216,0.03506699
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.1345955,0.07140001,0.02742654,0.03576895,72521.0,0.01066522,0.11705121,0.15213979,0.13034827
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 139000,0.23377931,0.11353437,0.05116806,0.06907688,23843.0,0.0244852,0.19350115,0.27405746,0.17229137
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,139000 to 221000,0.13537063,0.09180452,0.0188576,0.02470851,23757.0,0.01781668,0.10606219,0.16467906,0.21650512
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.03896312,0.01163677,0.0128807,0.01444565,24921.0,0.00885173,0.02440203,0.05352422,0.37371485
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.35810927,0.16876556,0.07489464,0.11444907,40577.0,0.02658523,0.31437657,0.40184197,0.1221211
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 164000,0.54259512,0.24791572,0.1188419,0.1758375,13194.0,0.05499337,0.45213102,0.63305921,0.16672486
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,164000 to 267000,0.37655458,0.171887,0.08122217,0.12344542,13026.0,0.04919086,0.29563563,0.45747354,0.21489303
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 267000,0.17183256,0.09319496,0.02876646,0.04987114,14357.0,0.03163717,0.1197894,0.22387571,0.30287132
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.12769211,0.07574869,0.02928508,0.02265834,39235.0,0.0180832,0.09794525,0.15743897,0.23295772
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 81000,0.1505527,0.08282734,0.03074887,0.03697649,12846.0,0.03608291,0.09119632,0.20990909,0.39425652
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,81000 to 115000,0.12618848,0.09751274,0.0219822,0.00669354,13147.0,0.03162275,0.07416906,0.17820791,0.41223589
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 115000,0.107008,0.04727383,0.03511554,0.02461864,13242.0,0.02539234,0.06523761,0.1487784,0.3903483
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.44153205,0.23054818,0.09448339,0.11650049,68901.0,0.02528314,0.39994129,0.48312281,0.09419647
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 100000,0.50979869,0.25058881,0.11140737,0.14780252,22503.0,0.04855129,0.42993181,0.58966557,0.15666356
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,100000 to 136000,0.5337018,0.30787167,0.10756078,0.11826936,23159.0,0.04606538,0.45792425,0.60947935,0.14198481
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 136000,0.28357502,0.13408494,0.06506304,0.08442704,23239.0,0.035259,0.22557397,0.34157608,0.20453512
"2-4 Units (Own/Rent), 3 BR",All Values,,0.79454897,0.34208456,0.19922741,0.253237,13979.0,0.07480493,0.67149485,0.91760308,0.15487292
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 120000,1.0705339,0.47506043,0.28169633,0.31377719,4551.0,0.14736986,0.82811052,1.3129574,0.22645095
"2-4 Units (Own/Rent), 3 BR",Second Tercile,120000 to 182000,0.94394213,0.38675407,0.24525316,0.3119349,4424.0,0.15131041,0.69503651,1.1928478,0.26368737
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 182000,0.41147082,0.18165468,0.08353317,0.14628297,5004.0,0.0720197,0.29299842,0.52994323,0.28792419
"5-49 Units (Own), 0-1 BR",All Values,,0.00502513,0.00502513,0.0,0.0,4577.0,0.00515755,-0.00345904,0.01350929,1.6883484
"5-49 Units (Own), 0-1 BR",First Tercile,Below 97000,0.01655868,0.01655868,0.0,0.0,1389.0,0.01718297,-0.01170731,0.04482466,1.7070199
"5-49 Units (Own), 0-1 BR",Second Tercile,97000 to 160000,0.0,0.0,0.0,0.0,1484.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 160000,0.0,0.0,0.0,0.0,1704.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0534076,0.02529489,0.00471822,0.0233945,15260.0,0.01602169,0.02705191,0.07976329,0.49348195
"5-49 Units (Own), 2 BR",First Tercile,Below 159000,0.06890894,0.00902379,0.0,0.05988515,4876.0,0.03466406,0.01188657,0.12593131,0.82750324
"5-49 Units (Own), 2 BR",Second Tercile,159000 to 254000,0.05063539,0.03245357,0.00899316,0.00918866,5115.0,0.02184126,0.01470651,0.08656427,0.70956068
"5-49 Units (Own), 2 BR",Third Tercile ,Above 254000,0.04175365,0.03340292,0.00493452,0.00341621,5269.0,0.02282685,0.00420349,0.07930382,0.89932648
"5-49 Units (Own), 3 BR",All Values,,0.23835013,0.10264484,0.07588161,0.05982368,3176.0,0.07871887,0.10885758,0.36784267,0.5432871
"5-49 Units (Own), 3 BR",First Tercile,Below 186000,0.33203505,0.1489776,0.04576436,0.13729309,1027.0,0.17226657,0.04865654,0.61541356,0.85345962
"5-49 Units (Own), 3 BR",Second Tercile,186000 to 314000,0.15466926,0.10116732,0.00583658,0.04766537,1028.0,0.07972422,0.02352291,0.28581561,0.84791474
"5-49 Units (Own), 3 BR",Third Tercile ,Above 314000,0.22925959,0.06155219,0.1677074,0.0,1121.0,0.14662305,-0.01193533,0.47045451,1.0520603
