Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.10456455,0.04577942,0.02254657,0.03623856
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,265001,0.15202947,0.06742977,0.02887968,0.05572002
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,265000,0.05538325,0.02334617,0.01598446,0.01605262
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.44225273,0.20755976,0.10660596,0.12808701
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,0.5608738,0.26674577,0.13453824,0.1595898
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,0.32112593,0.14712352,0.07808364,0.09591876
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.94361077,0.40566134,0.23977503,0.29817441
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,325000,1.0131148,0.43895549,0.2629705,0.31118886
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,325000,0.87141868,0.37107955,0.21568249,0.28465663
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.08697985,0.04161238,0.01984826,0.0255192
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,220000,0.14449405,0.0733631,0.03303571,0.03809524
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,220000,0.02591247,0.00790014,0.00584611,0.01216622
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.34462916,0.16288363,0.06753517,0.11421036
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,220000,0.4342287,0.19938603,0.0818112,0.15303147
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,220000,0.24729031,0.12322828,0.05202601,0.07203602
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.1,0.06117479,0.02005731,0.01876791
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,112000,0.11560854,0.06043804,0.03021902,0.02495148
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,112000,0.08330863,0.06196264,0.00919063,0.01215535
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.38392569,0.23546042,0.04919225,0.09927302
"2-4 Units  (Own/Rent), 2 BR",    Below Median,128000,0.48405612,0.2911352,0.06345663,0.12946429
"2-4 Units  (Own/Rent), 2 BR",    Above Median,128000,0.28110675,0.17829077,0.03454486,0.06827112
"2-4 Units (Own/Rent), 3 BR",All Values,,0.59770402,0.25006239,0.11604692,0.23159471
"2-4 Units (Own/Rent), 3 BR",    Below Median,174000,0.68451075,0.27863098,0.14041246,0.26546731
"2-4 Units (Own/Rent), 3 BR",    Above Median,174000,0.48321759,0.21238426,0.08391204,0.1869213
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,250000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,250000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.05503356,0.04899329,0.0,0.00604027
"5-49 Units (Own), 2 BR",    Below Median,280000,0.09023486,0.09023486,0.0,0.0
"5-49 Units (Own), 2 BR",    Above Median,280000,0.01321586,0.0,0.0,0.01321586
"5-49 Units (Own), 3 BR",All Values,,0.25246827,0.09449929,0.1438646,0.01410437
