Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.21044945,0.1069312,0.05008725,0.05343101,130093.0,0.01025351,0.19358243,0.22731647,0.08014761
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 70000,0.21394118,0.11292966,0.0556336,0.04537792,42708.0,0.01637179,0.18700959,0.24087277,0.12588316
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,70000 to 118000,0.24527419,0.1264271,0.05612484,0.06272225,42744.0,0.01724722,0.21690251,0.27364587,0.11567331
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 118000,0.17376403,0.08252503,0.03900002,0.05223897,44641.0,0.01857285,0.14321169,0.20431637,0.17582662
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43225428,0.19568827,0.10232531,0.13424069,473314.0,0.00672614,0.42118978,0.44331877,0.02559719
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 100000,0.44844594,0.20205024,0.10870861,0.13768709,152665.0,0.01385846,0.42564877,0.47124311,0.05083594
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,100000 to 171000,0.50398739,0.23642372,0.11270607,0.1548576,156744.0,0.01546856,0.47854162,0.52943317,0.05048891
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 171000,0.34857387,0.15080687,0.08645252,0.11131448,163905.0,0.01362899,0.32615417,0.37099357,0.06431835
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.86014677,0.3616294,0.21168766,0.28682971,181097.0,0.01862493,0.82950877,0.89078478,0.03561951
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 156000,0.88854142,0.36433937,0.20925252,0.31494952,58838.0,0.03635801,0.8287325,0.94835034,0.06731135
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,156000 to 293000,0.86285617,0.36216722,0.21803181,0.28265714,58785.0,0.03248991,0.80941027,0.91630207,0.06194068
