Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.37641513,0.17934809,0.08752417,0.10954286,1073315.0,0.0053827,0.36756058,0.38526967,0.02352335
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 216000,0.55216295,0.26500295,0.13230697,0.15485303,357313.0,0.01163146,0.5330292,0.5712967,0.03465237
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,216000 to 497000,0.34620768,0.16182992,0.0811607,0.10321705,347927.0,0.00995258,0.32983568,0.36257968,0.04728953
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 497000,0.23435985,0.11275691,0.05006588,0.07153705,368075.0,0.00524044,0.22573932,0.24298037,0.03678329
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.53148709,0.23542352,0.12830697,0.1677566,3515647.0,0.00317178,0.52626951,0.53670468,0.00981695
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 324000,0.71454455,0.31404511,0.17757271,0.22292673,1138069.0,0.00694955,0.70311254,0.72597656,0.01599902
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,324000 to 628000,0.48826079,0.21618874,0.11548171,0.15659034,1144796.0,0.00510754,0.47985889,0.4966627,0.01720782
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 628000,0.40263485,0.18070429,0.09473613,0.12719443,1232782.0,0.00468897,0.39492149,0.41034822,0.01915721
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.73310255,0.3052619,0.18063128,0.24720937,2707272.0,0.00438497,0.72588928,0.74031582,0.00983937
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 477000,0.92751874,0.39098769,0.23060353,0.30592751,862554.0,0.01144872,0.9086856,0.94635188,0.02030486
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,477000 to 863000,0.67379554,0.28298514,0.16222115,0.22858925,901171.0,0.00799571,0.6606426,0.68694848,0.01952066
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 863000,0.61201827,0.248171,0.15253188,0.21131539,943547.0,0.00656574,0.60121763,0.62281891,0.01764758
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.37881712,0.18049607,0.08928055,0.1090405,404657.0,0.0087645,0.36439952,0.39323472,0.03805952
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 224000,0.61068396,0.28177136,0.14447397,0.18443864,134744.0,0.02192926,0.57461033,0.6467576,0.05907087
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,224000 to 442000,0.33763545,0.17318886,0.07683223,0.08761436,130401.0,0.01216514,0.31762379,0.35764711,0.05927002
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 442000,0.19336688,0.08951201,0.04760881,0.05624606,139512.0,0.00862411,0.17918022,0.20755354,0.07336655
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.54777099,0.24967479,0.13100243,0.16709377,358230.0,0.01119312,0.52935831,0.56618366,0.03361382
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 334000,0.78067028,0.34388964,0.18551117,0.25126947,118160.0,0.02584116,0.73816157,0.82317898,0.05445155
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,334000 to 625000,0.48418613,0.21790541,0.12008522,0.1461955,117808.0,0.0184987,0.45375578,0.51461649,0.06284846
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 625000,0.38395413,0.18923296,0.088842,0.10587918,122262.0,0.01464243,0.35986734,0.40804093,0.06273352
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.23253876,0.12088437,0.04849133,0.06316306,309643.0,0.00726889,0.22058143,0.24449609,0.05142081
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 119000,0.24607668,0.13207786999999999,0.05415897,0.05983984,102273.0,0.01336723,0.22408758,0.26806578,0.08935873
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,119000 to 183000,0.32135933,0.16427283,0.06506284,0.09202365,103669.0,0.01436718,0.29772531,0.34499334,0.07354389
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 183000,0.13039411,0.06646995,0.02633533,0.03758884,103701.0,0.00976451,0.11433149,0.14645674,0.12318519
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.52428797,0.25221631,0.12456196,0.1475097,521925.0,0.0095836,0.50852295,0.54005299,0.03006939
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 154000,0.63563093,0.31179231,0.14617,0.17766862,172833.0,0.01914216,0.60414207,0.66711978,0.04953953
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,154000 to 234000,0.64155148,0.30027095,0.15866506,0.18261547,174569.0,0.01902905,0.61024869,0.67285427,0.04879233
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 234000,0.2967288,0.14514992,0.06905107,0.0825278,174523.0,0.01153008,0.27776182,0.31569578,0.06392026
"2-4 Units (Own/Rent), 3 BR",All Values,,0.78700814,0.36240416,0.18261795,0.24198603,152203.0,0.02541245,0.74520465,0.82881163,0.05311697
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 187000,1.0773238,0.48624453,0.25556062,0.33551863,50489.0,0.05427283,0.98804497,1.1666026,0.08287091
"2-4 Units (Own/Rent), 3 BR",Second Tercile,187000 to 340000,0.85981143,0.3897859,0.20722844,0.26279709,50910.0,0.04399334,0.78744239,0.93218047,0.0841685
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 340000,0.42553736,0.21189276,0.08546571,0.12817888,50804.0,0.02523557,0.38402484,0.46704988,0.09755317
"5-49 Units (Own), 0-1 BR",All Values,,0.05723856,0.03083205,0.0128854,0.01352111,40899.0,0.00971843,0.04125174,0.07322538,0.27930155
"5-49 Units (Own), 0-1 BR",First Tercile,Below 324000,0.06881384,0.04376351,0.0131216,0.01192873,13413.0,0.02115639,0.03401157,0.1036161,0.50574516
"5-49 Units (Own), 0-1 BR",Second Tercile,324000 to 553000,0.03960027,0.02125438,0.00976956,0.00857633,13409.0,0.01165447,0.02042867,0.05877187,0.48412805
