Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18104875,0.08590638,0.04454972,0.05059265,163166.0,0.00824956,0.16747822,0.19461928,0.07495512
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 190000,0.24061769,0.11649977,0.05497426,0.06914366,53425.0,0.01807784,0.21087964,0.27035574,0.12359044
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,190000 to 366000,0.17871551,0.09123279,0.03742495,0.05005777,52799.0,0.01374809,0.15609991,0.20133111,0.12654526
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 366000,0.12732254,0.05226371,0.04137543,0.0336834,56942.0,0.01265746,0.10650101,0.14814407,0.1635337
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.39479641,0.18258608,0.09595086,0.11625947,580099.0,0.00594927,0.38500985,0.40458296,0.02478886
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 286000,0.50929121,0.22402179,0.12503143,0.16023799,186897.0,0.01418126,0.48596304,0.53261939,0.04580517
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,286000 to 442000,0.35496497,0.17077876,0.08790233,0.09628389,196980.0,0.01006448,0.33840889,0.37152105,0.04664144
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 442000,0.325728,0.15497243,0.07633191,0.09442366,196222.0,0.00984816,0.30952779,0.34192822,0.04973541
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.69072861,0.29106143,0.16614775,0.23351943,600935.0,0.00775031,0.67797935,0.70347788,0.01845771
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 387000,0.73527162,0.3044921,0.17492186,0.25585766,197391.0,0.01698279,0.70733493,0.7632083,0.03799506
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,387000 to 572000,0.67324761,0.2993147,0.1627525,0.21118041,194805.0,0.01694267,0.64537691,0.7011183,0.04139739
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 572000,0.66492127,0.27065857,0.16101926,0.23324343,208739.0,0.01549225,0.63943651,0.69040602,0.03832748
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.19997761,0.09273979,0.04362003,0.06361779,71458.0,0.0130238,0.17855346,0.22140176,0.10713275
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 189000,0.32404711,0.15026803,0.08062133,0.09315774,23691.0,0.03192758,0.27152625,0.37656797,0.16207786
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,189000 to 314000,0.19585712,0.09946376,0.03706106,0.0593323,23124.0,0.02357985,0.15706827,0.23464597,0.19804668
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 314000,0.08456763,0.03112446,0.01420282,0.03924035,24643.0,0.01172633,0.06527781,0.10385744,0.22809933
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.40145068,0.18884582,0.08846422,0.12414065,66038.0,0.02521403,0.3599736,0.44292776,0.103318
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 248000,0.62481712,0.31592904,0.12829188,0.1805962,21872.0,0.06035939,0.52552591,0.72410832,0.15891243
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,248000 to 399000,0.38506521,0.17956096,0.09430547,0.11119877,21547.0,0.04027558,0.31881188,0.45131853,0.17205742
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 399000,0.2010699,0.07480437,0.04438746,0.08187807,22619.0,0.02824497,0.15460692,0.24753287,0.23107871
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04650865,0.02835789,0.01426436,0.0038864,23415.0,0.01191832,0.02690302,0.06611428,0.4215481
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 94000,0.02515641,0.01707508,0.00312826,0.00495308,7672.0,0.01177656,0.00578396,0.04452886,0.77007991
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,94000 to 137000,0.06148447,0.05160536,0.0077993,0.00207981,7693.0,0.02037359,0.02796992,0.09499902,0.54508971
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 137000,0.05254658,0.01689441,0.0310559,0.00459627,8050.0,0.02091034,0.01814908,0.08694409,0.65460974
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30545542,0.15404951,0.06480242,0.0866035,58254.0,0.02166861,0.26981055,0.34110028,0.11669416
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 120000,0.32847244,0.17607819,0.07777433,0.07461992,19338.0,0.04031665,0.26215154,0.39479333,0.20190704
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,120000 to 182000,0.40814536,0.18649667,0.08160842,0.14004026,19373.0,0.04546907,0.33334873,0.48294198,0.18325977
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 182000,0.18088318,0.10008699,0.03530676,0.04548943,19543.0,0.02929993,0.13268479,0.22908157,0.26646143
"2-4 Units (Own/Rent), 3 BR",All Values,,0.60303194,0.24607472,0.17027612,0.1866811,18470.0,0.06095995,0.50275282,0.70331107,0.16629156
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 150000,0.71350996,0.33091986,0.15879546,0.22379464,6077.0,0.11496027,0.52440031,0.9026196,0.26504135
"2-4 Units (Own/Rent), 3 BR",Second Tercile,150000 to 239000,0.75819604,0.33133633,0.22416375,0.20269596,6009.0,0.1233979,0.55520649,0.96118559,0.267727
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 239000,0.35181704,0.08505639,0.13048246,0.1362782,6384.0,0.07956141,0.22093853,0.48269556,0.37200732
"5-49 Units (Own), 0-1 BR",All Values,,0.01212256,0.00899896,0.00118994,0.00193366,13446.0,0.00433068,0.00499859,0.01924654,0.58766238
"5-49 Units (Own), 0-1 BR",First Tercile,Below 183000,0.01616405,0.01182147,0.0,0.00434258,4145.0,0.01111373,-0.00211803,0.03444614,1.1310333
"5-49 Units (Own), 0-1 BR",Second Tercile,183000 to 282000,0.01827389,0.01298987,0.00352268,0.00176134,4542.0,0.00886469,0.00369147,0.0328563,0.7979919
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 282000,0.00273167,0.00273167,0.0,0.0,4759.0,0.00270861,-0.001724,0.00718733,1.6311153
"5-49 Units (Own), 2 BR",All Values,,0.09582975,0.04648125,0.02109019,0.02825831,31389.0,0.01441006,0.07212519,0.11953431,0.24736114
"5-49 Units (Own), 2 BR",First Tercile,Below 225000,0.10306735,0.05823681,0.02059202,0.02423852,9324.0,0.02944843,0.05462469,0.15151002,0.4700098
"5-49 Units (Own), 2 BR",Second Tercile,225000 to 330000,0.11651635,0.04782728,0.02769427,0.04099481,10977.0,0.02675841,0.07249877,0.16053393,0.37778028
"5-49 Units (Own), 2 BR",Third Tercile ,Above 330000,0.06926407,0.03526335,0.01497114,0.01902958,11088.0,0.01474653,0.04500602,0.09352212,0.35022559
"5-49 Units (Own), 3 BR",All Values,,0.22504638,0.05640074,0.05491651,0.11372913,5390.0,0.05908613,0.1278497,0.32224307,0.43189623
"5-49 Units (Own), 3 BR",First Tercile,Below 297000,0.38795599,0.09727852,0.08627678,0.20440069,1727.0,0.12553764,0.18144658,0.59446541,0.53230114
"5-49 Units (Own), 3 BR",Second Tercile,297000 to 419000,0.29468912,0.0880829,0.09520725,0.11139896,1544.0,0.14732322,0.05234242,0.53703582,0.82238088
"5-49 Units (Own), 3 BR",Third Tercile ,Above 419000,0.04152902,0.0,0.0,0.04152902,2119.0,0.03268578,-0.01223908,0.09529713,1.2947115
"5-49 Units (Rent), 0-1 BR",All Values,,0.04685583,0.02517762,0.00903637,0.01264183,132022.0,0.00489544,0.03880283,0.05490883,0.17186762
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 116000,0.0484797,0.02806357,0.0116434,0.00877274,43544.0,0.00886492,0.03389691,0.06306249,0.30080202
"5-49 Units (Rent), 0-1 BR",Second Tercile,116000 to 154000,0.0656931,0.03254042,0.01340166,0.01975101,44099.0,0.01196289,0.04601414,0.08537206,0.29955903
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 154000,0.02654409,0.01502963,0.00214065,0.0093738,44379.0,0.00524348,0.01791856,0.03516961,0.32495092
"5-49 Units (Rent), 2 BR",All Values,,0.35525675,0.19059175,0.07780502,0.08685998,121149.0,0.01582053,0.32923199,0.38128151,0.07325621
"5-49 Units (Rent), 2 BR",First Tercile,Below 146000,0.39140374,0.21169112,0.0920418,0.08767082,39808.0,0.0289963,0.34370482,0.43910265,0.12186627
"5-49 Units (Rent), 2 BR",Second Tercile,146000 to 185000,0.37038871,0.20195593,0.07920277,0.08923001,40390.0,0.02961155,0.32167771,0.41909971,0.1315132
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 185000,0.30519401,0.1588728,0.06258699,0.08373422,40951.0,0.02457429,0.2647693,0.34561873,0.13245579
"5-49 Units (Rent), 3 BR",All Values,,0.96400375,0.45635731,0.21194722,0.29569922,18113.0,0.09115735,0.81404992,1.1139576,0.15555317
"5-49 Units (Rent), 3 BR",First Tercile,Below 154000,1.2161229,0.65786294,0.23821854,0.32004143,5793.0,0.17694812,0.92504325,1.5072026,0.23935053
"5-49 Units (Rent), 3 BR",Second Tercile,154000 to 217000,1.0136076,0.4462984,0.24477564,0.32253361,6173.0,0.17725261,0.7220271,1.3051882,0.28766609
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 217000,0.67659021,0.27655767,0.15422157,0.24581096,6147.0,0.11336305,0.49010799,0.86307242,0.27562063
"50+ Units (Own), 0-1 BR",All Values,,0.01082954,0.00563136,0.0,0.00519818,4617.0,0.00716758,-0.00096112,0.02262021,1.0887501
"50+ Units (Own), 0-1 BR",First Tercile,Below 265000,0.00805861,0.00805861,0.0,0.0,1365.0,0.00935255,-0.00732633,0.02344355,1.909131
"50+ Units (Own), 0-1 BR",Second Tercile,265000 to 420000,0.0,0.0,0.0,0.0,1426.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 420000,0.02135816,0.00821468,0.0,0.01314348,1826.0,0.01698373,-0.00658007,0.04929639,1.3080824
"50+ Units (Own), 2 BR",All Values,,0.04302007,0.00779558,0.00404215,0.03118233,6927.0,0.01273257,0.02207499,0.06396514,0.48686753
"50+ Units (Own), 2 BR",First Tercile,Below 304000,0.06608933,0.00592525,0.01276208,0.04740201,2194.0,0.03155167,0.01418684,0.11799183,0.78533848
"50+ Units (Own), 2 BR",Second Tercile,304000 to 486000,0.03867641,0.01761925,0.0,0.02105716,2327.0,0.01902939,0.00737306,0.06997976,0.80936546
"50+ Units (Own), 2 BR",Third Tercile ,Above 486000,0.02618454,0.0,0.0,0.02618454,2406.0,0.02574152,-0.01616026,0.06852934,1.6171681
"50+ Units (Own), 3 BR",All Values,,0.14524556,0.07941484,0.01044932,0.0553814,957.0,0.07221605,0.02645016,0.26404096,0.81789349
"50+ Units (Own), 3 BR",First Tercile,Below 378000,0.37106918,0.26415094,0.0,0.10691824,159.0,0.30518499,-0.13096012,0.87309848,1.3529264
"50+ Units (Own), 3 BR",Second Tercile,378000 to 700000,0.06074766,0.0,0.0,0.06074766,428.0,0.06631947,-0.04834787,0.1698432,1.7958803
"50+ Units (Own), 3 BR",Third Tercile ,Above 700000,0.14594595,0.09189189,0.02702703,0.02702703,370.0,0.11375528,-0.04118149,0.33307338,1.2821695
"50+ Units (Rent), 0-1 BR",All Values,,0.01896398,0.00880899,0.00426456,0.00589043,75037.0,0.00357146,0.01308893,0.02483903,0.30980053
"50+ Units (Rent), 0-1 BR",First Tercile,Below 119000,0.00854667,0.00389214,0.00361127,0.00104325,24922.0,0.00405405,0.00187776,0.01521557,0.78029369
