Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16144275,0.07829202,0.03617362,0.04697712,104966.0,0.00842731,0.14757983,0.17530568,0.08586897
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 178000,0.17283691,0.08190328,0.0399616,0.05097204,33332.0,0.01820315,0.14289273,0.2027811,0.1732511
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,178000 to 271000,0.16325072,0.0774662,0.03721808,0.04856645,34983.0,0.01479427,0.13891414,0.1875873,0.14907488
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 271000,0.14935472,0.07579602,0.03173174,0.04182696,36651.0,0.01656353,0.12210772,0.17660173,0.18243149
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.41116206,0.175266,0.09975303,0.13614303,417862.0,0.00678626,0.39999867,0.42232545,0.02715083
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 221000,0.42649915,0.18000079,0.10091554,0.14558281,126155.0,0.0145703,0.402531,0.45046729,0.0561974
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,221000 to 330000,0.38796215,0.16435232,0.09501227,0.12859755,143813.0,0.0145795,0.36397887,0.41194542,0.0618186
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 330000,0.42063911,0.1818397,0.10337133,0.13542808,147894.0,0.01090932,0.40269327,0.43858494,0.04266325
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.66248567,0.26027748,0.16346092,0.23874727,280954.0,0.01133843,0.64383395,0.68113739,0.02815415
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 314000,0.60301748,0.2426424,0.15089602,0.20947905,90009.0,0.02450272,0.5627105,0.64332445,0.06684213
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,314000 to 518000,0.62956675,0.24455553,0.15113501,0.23387621,95418.0,0.01926437,0.59787686,0.66125664,0.05033603
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 518000,0.75140013,0.2925979,0.18761188,0.27119034,95527.0,0.0226407,0.71415617,0.78864408,0.04956608
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21431878,0.10723654,0.04150594,0.0655763,45367.0,0.01426178,0.19085815,0.23777941,0.10946606
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 157000,0.27135989,0.15721154,0.04457418,0.06957418,14560.0,0.0324527,0.21797519,0.32474459,0.19673025
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,157000 to 236000,0.25696495,0.10232379,0.05867249,0.09596867,15578.0,0.02981426,0.20792049,0.30600941,0.19086049
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 236000,0.11615996,0.06448224,0.02101254,0.03066518,15229.0,0.01712224,0.08799387,0.14432605,0.24247678
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.54425319,0.23004082,0.1254156,0.18879677,23761.0,0.04594359,0.46867599,0.61983039,0.13886405
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 183000,0.72261163,0.29880582,0.17484424,0.24896158,7704.0,0.09934418,0.55919046,0.8860328,0.22615353
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,183000 to 293000,0.59672338,0.22457467,0.13459357,0.23755514,7935.0,0.08343074,0.45947981,0.73396694,0.22999529
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 293000,0.32381187,0.17015513,0.06956415,0.08409259,8122.0,0.04227268,0.25427331,0.39335043,0.21474988
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.08762713,0.05017849,0.01481781,0.02263083,44541.0,0.01270589,0.06672593,0.10852833,0.23852425
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 99000,0.07280862,0.03179445,0.02101552,0.01999864,14751.0,0.02188008,0.03681588,0.10880136,0.49434721
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,99000 to 136000,0.06219644,0.0437129,0.00553157,0.01295197,14824.0,0.0173158,0.03371195,0.09068092,0.45797613
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 136000,0.12742216,0.07470266,0.01790726,0.03481224,14966.0,0.02544931,0.08555804,0.16928627,0.32854661
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.33466836,0.17165521,0.07132372,0.09168943,102869.0,0.01395839,0.31170681,0.35762992,0.06860988
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 126000,0.30352433,0.1554783,0.06790937,0.08013666,33368.0,0.02906969,0.2557047,0.35134397,0.15754794
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,126000 to 170000,0.38321105,0.21523558,0.06907027,0.09890519,34892.0,0.03286177,0.32915344,0.43726866,0.14106485
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 170000,0.31575602,0.14331532,0.07688751,0.09555318,34609.0,0.02642092,0.2722936,0.35921844,0.13764558
"2-4 Units (Own/Rent), 3 BR",All Values,,0.80965374,0.35069627,0.20067746,0.25828002,53140.0,0.03688808,0.74897286,0.87033463,0.07494671
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 142000,0.84858425,0.34144797,0.20787293,0.29926335,17376.0,0.07882832,0.71891167,0.97825684,0.1528105
"2-4 Units (Own/Rent), 3 BR",Second Tercile,142000 to 188000,0.87652798,0.41420881,0.21027251,0.25204665,17834.0,0.08214808,0.74139438,1.0116616,0.15416918
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 188000,0.70540993,0.29648634,0.18416062,0.22476297,17930.0,0.05946919,0.60758311,0.80323674,0.1386808
"5-49 Units (Own), 0-1 BR",All Values,,0.02377768,0.01723882,0.00653886,0.0,6729.0,0.01365659,0.00131259,0.04624277,0.94479751
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,0.03084337,0.01542169,0.01542169,0.0,2075.0,0.0332714,-0.02388809,0.08557483,1.7744966
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 200000,0.00520607,0.0,0.00520607,0.0,2305.0,0.00521258,-0.00336863,0.01378077,1.647057
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 200000,0.0357599,0.0357599,0.0,0.0,2349.0,0.02623421,-0.00739538,0.07891517,1.2068065
"5-49 Units (Own), 2 BR",All Values,,0.0950325,0.04019652,0.02416754,0.03066845,20151.0,0.0144331,0.07129006,0.11877495,0.24983502
"5-49 Units (Own), 2 BR",First Tercile,Below 136000,0.07820091,0.02805203,0.01191036,0.03823852,6381.0,0.01951275,0.04610243,0.11029938,0.41046167
"5-49 Units (Own), 2 BR",Second Tercile,136000 to 235000,0.12722984,0.04761905,0.04186938,0.03774141,6783.0,0.03107991,0.07610339,0.17835629,0.40184326
"5-49 Units (Own), 2 BR",Third Tercile ,Above 235000,0.07914699,0.04408187,0.01817661,0.01688851,6987.0,0.02192316,0.04308339,0.11521059,0.45565347
"5-49 Units (Own), 3 BR",All Values,,0.32754273,0.12272345,0.11768002,0.08713925,3569.0,0.09362428,0.17353078,0.48155467,0.47020413
"5-49 Units (Own), 3 BR",First Tercile,Below 159000,0.51679104,0.2136194,0.11753731,0.18563433,1072.0,0.23704145,0.12685786,0.90672422,0.75452774
