Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16117923,0.06405841,0.06419617,0.03292465
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,0.2293578,0.07994758,0.09750983,0.05190039
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,0.08565621,0.04645761,0.02729384,0.01190476
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.56755101,0.2395474,0.13339351,0.1946101
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,325000,0.5461457,0.21966723,0.11067489,0.21580358
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,325000,0.59049018,0.26085214,0.15774008,0.17189796
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.94222354,0.3496749,0.2581028,0.33444585
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,495000,0.91626086,0.32583787,0.23336198,0.35706101
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,495000,0.97010716,0.3752756,0.28467415,0.31015741
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12827814,0.05544733,0.03236925,0.04046156
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,260000,0.16613232,0.06645293,0.05100554,0.04867386
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,260000,0.08821715,0.04380012,0.01264651,0.03177051
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.53083573,0.25129683,0.10163305,0.17790586
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,320000,0.69071077,0.32688248,0.11505982,0.24876847
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,320000,0.33855269,0.16038934,0.08548455,0.0926788
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.01814798,0.01302932,0.00511866,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,145000,0.03516682,0.02524797,0.00991885,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,145000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.28230527,0.15443494,0.0803692,0.04750113
"2-4 Units  (Own/Rent), 2 BR",    Below Median,172000,0.30746141,0.1693825,0.06732419,0.07075472
"2-4 Units  (Own/Rent), 2 BR",    Above Median,172000,0.25450237,0.13791469,0.09478673,0.02180095
"2-4 Units (Own/Rent), 3 BR",All Values,,0.73646468,0.32556472,0.23054858,0.18035138
"2-4 Units (Own/Rent), 3 BR",    Below Median,164000,0.93742018,0.38761175,0.32503193,0.2247765
"2-4 Units (Own/Rent), 3 BR",    Above Median,164000,0.47914963,0.24611611,0.10956664,0.12346688
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,192000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,192000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.01680672,0.00472689,0.0,0.01207983
"5-49 Units (Own), 2 BR",    Below Median,275000,0.02857143,0.00803571,0.0,0.02053571
"5-49 Units (Own), 2 BR",    Above Median,275000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",All Values,,0.22924188,0.17509025,0.0,0.05415162
"5-49 Units (Own), 3 BR",    Below Median,300000,0.31818182,0.27556818,0.0,0.04261364
"5-49 Units (Own), 3 BR",    Above Median,300000,0.07425743,0.0,0.0,0.07425743
"5-49 Units (Rent), 0-1 BR",All Values,,0.0329588,0.00961298,0.02022472,0.0031211
"5-49 Units (Rent), 0-1 BR",    Below Median,146000,0.06344629,0.01850517,0.03893295,0.00600817
"5-49 Units (Rent), 0-1 BR",    Above Median,146000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 2 BR",All Values,,0.18722681,0.09604177,0.05925206,0.03193298
"5-49 Units (Rent), 2 BR",    Below Median,179000,0.1995255,0.09371293,0.04887307,0.0569395
"5-49 Units (Rent), 2 BR",    Above Median,179000,0.17433474,0.09848296,0.07013181,0.00571997
"5-49 Units (Rent), 3 BR",All Values,,1.1701702,0.38238238,0.27727728,0.51051051
"5-49 Units (Rent), 3 BR",    Below Median,193000,1.2894281,0.32755633,0.42114385,0.5407279
"5-49 Units (Rent), 3 BR",    Above Median,193000,1.007109,0.45734597,0.08056872,0.46919431
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",    Below Median,275000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",    Above Median,275000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.09223301,0.09223301,0.0,0.0
"50+ Units (Own), 3 BR",    Below Median,750000,0.09223301,0.09223301,0.0,0.0
"50+ Units (Own), 3 BR",    Above Median,750000,0.00717455,0.00084962,0.0,0.00632493
"50+ Units (Rent), 0-1 BR",All Values,,0.01382824,0.00163755,0.0,0.01219068
"50+ Units (Rent), 0-1 BR",    Below Median,207000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",    Above Median,207000,0.06786543,0.0396365,0.00618716,0.02204176
