Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15388005,0.07523269,0.01938646,0.05926089,18157.0,0.02017705,0.1206888,0.18707129,0.21569557
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 151000,0.24564343,0.11025469,0.0299933,0.10539544,5968.0,0.04505793,0.17152313,0.31976373,0.30173939
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,151000 to 260000,0.14302661,0.07896967,0.01762413,0.04643281,5901.0,0.0387476,0.0792868,0.20676641,0.44565
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 260000,0.07697201,0.03848601,0.01097328,0.02751272,6288.0,0.0240115,0.0374731,0.11647092,0.51315939
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.32470439,0.15122791,0.07617128,0.0973052,112142.0,0.01288491,0.30350872,0.34590007,0.06527683
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 210000,0.46139033,0.21584529,0.10632238,0.13922265,36869.0,0.02819313,0.41501262,0.50776803,0.10051729
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,210000 to 304000,0.30359637,0.14275932,0.07288614,0.08795092,36509.0,0.02326053,0.2653328,0.34185994,0.12603434
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 304000,0.21458054,0.09774533,0.05058817,0.06624703,38764.0,0.01645207,0.18751689,0.24164419,0.1261235
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.61974525,0.24314505,0.15267893,0.22392127,93582.0,0.02119132,0.58488552,0.65460498,0.05624848
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 297000,0.66892161,0.26528717,0.15578989,0.24784454,30156.0,0.04989205,0.58684919,0.75099403,0.12269363
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,297000 to 425000,0.568275,0.19992128,0.14684948,0.22150425,30487.0,0.03597966,0.50908846,0.62746154,0.10415123
