Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13415574,0.0462606,0.01207916,0.07581599,3891.0,0.04826704,0.05475647,0.21355502,0.59184401
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,290000,0.17083947,0.03681885,0.01521846,0.11880216,2037.0,0.07784761,0.04278016,0.29889878,0.74958857
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,290000,0.09385113,0.0566343,0.00862999,0.02858684,1854.0,0.05661635,0.00071724,0.18698502,0.99235764
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.30251777,0.1558571,0.07447185,0.07218882,31099.0,0.02679679,0.25843705,0.34659848,0.14571281
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,300000,0.41054092,0.19770521,0.10364393,0.10919178,15862.0,0.04432392,0.33762807,0.48345376,0.1776019
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,300000,0.19006366,0.11229245,0.04410317,0.03366804,15237.0,0.02844098,0.14327825,0.23684907,0.24615651
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.74120266,0.26737373,0.20426201,0.26956693,30549.0,0.04300467,0.67045997,0.81194534,0.09544311
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,390000,0.83857014,0.27287474,0.23178132,0.33391409,16645.0,0.06468006,0.73217144,0.94496884,0.1268811
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,390000,0.62464039,0.26078826,0.17131761,0.19253452,13904.0,0.06837165,0.51216902,0.73711176,0.18005779
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12526024,0.037127,0.0648855,0.02324774,2882.0,0.04676814,0.04832664,0.20219383,0.61419008
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,200000,0.21931956,0.06500608,0.11360875,0.04070474,1646.0,0.08542759,0.07879118,0.35984794,0.64074713
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,200000,0.0,0.0,0.0,0.0,1236.0,.,.,.,.
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.4101291,0.16236346,0.14299901,0.10476663,12084.0,0.06667458,0.3004494,0.51980879,0.26742724
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,0.55703942,0.17216412,0.23282381,0.15205149,6215.0,0.11538047,0.36723855,0.7468403,0.34073149
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,0.25455785,0.15198501,0.04787868,0.05469416,5869.0,0.06570341,0.14647574,0.36263995,0.42458761
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,516.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,102000,0.0,0.0,0.0,0.0,395.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,102000,0.0,0.0,0.0,0.0,121.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.25318246,0.12871287,0.12446959,0.0,707.0,0.16032965,-0.01055981,0.51692473,1.0417083
"2-4 Units  (Own/Rent), 2 BR",    Below Median,150000,0.17369727,0.17369727,0.0,0.0,403.0,0.14329833,-0.06202848,0.40942303,1.3571068
"2-4 Units  (Own/Rent), 2 BR",    Above Median,150000,0.35855263,0.06907895,0.28947368,0.0,304.0,0.29856538,-0.13258742,0.84969269,1.3697851
"2-4 Units (Own/Rent), 3 BR",All Values,,0.49612403,0.49612403,0.0,0.0,258.0,0.49157284,-0.31251329,1.3047614,1.6299096
"2-4 Units (Own/Rent), 3 BR",    Below Median,166000,0.77108434,0.77108434,0.0,0.0,166.0,0.79763311,-0.54102213,2.0831908,1.7016381
"2-4 Units (Own/Rent), 3 BR",    Above Median,166000,0.0,0.0,0.0,0.0,92.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,21.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,190000,0.0,0.0,0.0,0.0,21.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,190000,0.05437352,0.05437352,0.0,0.0,423.0,0.05685518,-0.03915325,0.14790029,1.7200793
"5-49 Units (Own), 2 BR",All Values,,0.08984375,0.08984375,0.0,0.0,256.0,0.09693994,-0.06962245,0.24930995,1.7749281
"5-49 Units (Own), 2 BR",    Below Median,190000,0.0,0.0,0.0,0.0,167.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,190000,0.11832947,0.11832947,0.0,0.0,431.0,0.10472911,-0.05394993,0.29060886,1.4559298
"5-49 Units (Own), 3 BR",All Values,,0.17056856,0.17056856,0.0,0.0,299.0,0.15335784,-0.08170508,0.42284221,1.4790161
"5-49 Units (Own), 3 BR",    Below Median,275000,0.0,0.0,0.0,0.0,132.0,.,.,.,.
"5-49 Units (Own), 3 BR",    Above Median,275000,0.14702155,0.14279679,0.0,0.00422476,2367.0,0.10436307,-0.0246557,0.31869879,1.1677013
"5-49 Units (Rent), 0-1 BR",All Values,,0.24160114,0.24160114,0.0,0.0,1399.0,0.18088299,-0.05595138,0.53915367,1.2315858
"5-49 Units (Rent), 0-1 BR",    Below Median,133000,0.01033058,0.0,0.0,0.01033058,968.0,0.01315232,-0.01130499,0.03196615,2.0943234
"5-49 Units (Rent), 0-1 BR",    Above Median,133000,0.19203204,0.13048061,0.04215852,0.01939292,4744.0,0.06267809,0.08892659,0.29513749,0.53691797
"5-49 Units (Rent), 2 BR",All Values,,0.20405728,0.14478918,0.04455052,0.01471758,2514.0,0.10337486,0.03400563,0.37410893,0.83335252
"5-49 Units (Rent), 2 BR",    Below Median,149000,0.17847534,0.11434978,0.03946188,0.02466368,2230.0,0.06544248,0.07082246,0.28612822,0.60318071
"5-49 Units (Rent), 2 BR",    Above Median,149000,0.76216641,0.26216641,0.14678179,0.35321821,1274.0,0.35703256,0.17484785,1.349485,0.77059098
"5-49 Units (Rent), 3 BR",All Values,,0.65017668,0.19552415,0.03415783,0.4204947,849.0,0.39720828,-0.00323094,1.3035843,1.0049693
"5-49 Units (Rent), 3 BR",    Below Median,162000,0.98588235,0.39529412,0.37176471,0.21882353,425.0,0.6616425,-0.10251956,2.0742843,1.1039876
"5-49 Units (Rent), 3 BR",    Above Median,162000,0.0,0.0,0.0,0.0,154.0,.,.,.,.
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,109.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,170000,0.0,0.0,0.0,0.0,45.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,170000,0.0,0.0,0.0,0.0,84.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,58.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,232000,0.0,0.0,0.0,0.0,26.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,232000,0.0,0.0,0.0,0.0,153.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,132.0,.,.,.,.
"50+ Units (Own), 3 BR",    Below Median,210000,0.0,0.0,0.0,0.0,21.0,.,.,.,.
"50+ Units (Own), 3 BR",    Above Median,210000,0.07223796,0.03116147,0.02407932,0.01699717,1412.0,0.08279733,-0.06396364,0.20843956,1.8854575
"50+ Units (Rent), 0-1 BR",All Values,,0.13456464,0.05804749,0.04485488,0.03166227,758.0,0.15574544,-0.12163661,0.3907659,1.903927
"50+ Units (Rent), 0-1 BR",    Below Median,148000,0.0,0.0,0.0,0.0,654.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,148000,0.03164557,0.0,0.0,0.03164557,790.0,0.03518814,-0.02623892,0.08953006,1.8291498
"50+ Units (Rent), 2 BR",All Values,,0.05030181,0.0,0.0,0.05030181,497.0,0.0577498,-0.04469661,0.14530024,1.8885687
"50+ Units (Rent), 2 BR",    Below Median,184000,0.0,0.0,0.0,0.0,293.0,.,.,.,.
"50+ Units (Rent), 2 BR",    Above Median,184000,0.0,0.0,0.0,0.0,38.0,.,.,.,.
"50+ Units (Rent), 3 BR",All Values,,0.0,0.0,0.0,0.0,38.0,.,.,.,.
"50+ Units (Rent), 3 BR",    Below Median,179000,0.02777778,0.0,0.0,0.02777778,360.0,0.03359834,-0.02749149,0.08304705,1.9896937
"50+ Units (Rent), 3 BR",    Above Median,179000,0.05076142,0.0,0.0,0.05076142,197.0,0.06295608,-0.05280132,0.15432417,2.0401861
All Housing Types (Own) 0-1 BR,All Values,,0.0,0.0,0.0,0.0,163.0,.,.,.,.
All Housing Types (Own) 0-1 BR,    Below Median,190000,0.08023514,0.03193518,0.00365427,0.04464569,6294.0,0.02715671,0.03556236,0.12490793,0.55677323
All Housing Types (Own) 0-1 BR,    Above Median,190000,0.09706745,0.02815249,0.00205279,0.06686217,3410.0,0.03937196,0.03230057,0.16183432,0.66723579
All Housing Types (Own) 2 BR,All Values,,0.06033287,0.03640777,0.00554785,0.01837725,2884.0,0.03612804,0.00090225,0.11976349,0.98504546
All Housing Types (Own) 2 BR,    Below Median,250000,0.28096249,0.14897381,0.07029117,0.0616975,39564.0,0.02309995,0.24296308,0.3189619,0.13524727
All Housing Types (Own) 2 BR,    Above Median,250000,0.35418876,0.17159934,0.09693435,0.08565507,20746.0,0.03589326,0.29514435,0.41323317,0.16670323
All Housing Types (Own) 3 BR,All Values,,0.20023382,0.12403018,0.04091827,0.03528537,18818.0,0.02903296,0.15247459,0.24799304,0.23851728
All Housing Types (Own) 3 BR,    Below Median,295000,0.70855548,0.25763658,0.19629304,0.25462585,31886.0,0.0439169,0.63631218,0.78079878,0.10195857
All Housing Types (Own) 3 BR,    Above Median,295000,0.78315689,0.26335197,0.22237421,0.29743071,16814.0,0.06275045,0.6799324,0.88638139,0.13180564
All Housing Types (Own) 4-5 BR,All Values,,0.62533174,0.25126062,0.16719745,0.20687367,15072.0,0.06624041,0.51636627,0.73429721,0.17425226
All Housing Types (Own) 4-5 BR,    Below Median,390000,0.12449256,0.10284168,0.01398286,0.00766802,4434.0,0.06415518,0.01895728,0.23002784,0.84772359
All Housing Types (Own) 4-5 BR,    Above Median,390000,0.1854193,0.17361989,0.01179941,0.0,2373.0,0.10976514,0.00485565,0.36598296,0.97381262
All Housing Types (Rent) 0-1 BR,All Values,,0.05434255,0.02134886,0.01649685,0.01649685,2061.0,0.05753646,-0.04030492,0.14899003,1.7416825
All Housing Types (Rent) 0-1 BR,    Below Median,138000,0.20976892,0.11332503,0.06904663,0.02739726,7227.0,0.05030402,0.12701882,0.29251903,0.3944822
All Housing Types (Rent) 0-1 BR,    Above Median,138000,0.26635392,0.14698984,0.09616888,0.0231952,3837.0,0.08489285,0.12670518,0.40600266,0.52429768
All Housing Types (Rent) 2 BR,All Values,,0.14572271,0.07522124,0.03834808,0.03215339,3390.0,0.04666428,0.06895997,0.22248546,0.5267727
All Housing Types (Rent) 2 BR,    Below Median,143000,0.76182228,0.24735839,0.25116924,0.26329465,5773.0,0.14153826,0.52899184,0.99465271,0.30562304
All Housing Types (Rent) 2 BR,    Above Median,143000,0.93288385,0.27735213,0.27183573,0.38369599,3263.0,0.23842119,0.540681,1.3250867,0.42041981
All Housing Types (Rent) 3 BR,All Values,,0.53944223,0.20836653,0.22430279,0.10677291,2510.0,0.15104175,0.29097855,0.78790592,0.46059368
All Housing Types (Rent) 3 BR,    Below Median,163000,1.0292909,0.34737924,0.24871531,0.4331963,1946.0,0.25463788,0.61041154,1.4481702,0.40695914
All Housing Types (Rent) 3 BR,    Above Median,163000,1.0480769,0.37674825,0.18706294,0.48426573,1144.0,0.36049583,0.45506127,1.6410926,0.5658131
All Housing Types (Rent) 4-5 BR,All Values,,1.0024938,0.30548628,0.33665835,0.36034913,802.0,0.47731681,0.21730762,1.7876799,0.78323295
All Housing Types (Rent) 4-5 BR,    Below Median,204000,1.1854114,0.52482329,0.30714375,0.35344431,47818.0,0.07504758,1.0619581,1.3088646,0.10414382
All Housing Types (Rent) 4-5 BR,    Above Median,204000,1.2346157,0.53326562,0.31276452,0.38858558,47256.0,0.07324101,1.1141342,1.3550972,0.09758621
