Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17859914,0.08610384,0.04013106,0.05236424,729410.0,0.00413227,0.17180156,0.18539672,0.03806053
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 138000,0.20738591,0.10372248,0.04619778,0.05746564,237046.0,0.00821964,0.19386461,0.22090721,0.06519874
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,138000 to 233000,0.19946418,0.09492962,0.04656487,0.05796969,241126.0,0.00765525,0.1868713,0.21205706,0.06313353
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 233000,0.13141324,0.06100988,0.02823219,0.04217117,251238.0,0.00576886,0.12192346,0.14090302,0.07221326
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.38860265,0.17197922,0.09447101,0.12215243,2509373.0,0.00295797,0.38373679,0.39346851,0.01252142
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 191000,0.47245327,0.2070064,0.11898074,0.14646614,823419.0,0.00770943,0.45977126,0.48513528,0.02684289
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,191000 to 302000,0.39512894,0.17781744,0.09295888,0.12435263,828732.0,0.00694222,0.38370899,0.40654889,0.02890183
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 302000,0.30174914,0.13268908,0.07238965,0.09667041,857222.0,0.00474159,0.29394922,0.30954906,0.02584902
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.72772834,0.30185533,0.18105917,0.24481384,1406485.0,0.00617381,0.71757242,0.73788427,0.01395565
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 276000,0.80827226,0.34355849,0.19525191,0.26946186,450034.0,0.0153842,0.78296525,0.83357928,0.03131001
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,276000 to 440000,0.68558521,0.28120653,0.17253934,0.23183934,441366.0,0.01263574,0.66479941,0.706371,0.03031833
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 440000,0.69346807,0.2831125,0.17595931,0.23439626,515085.0,0.01206024,0.67362898,0.71330716,0.02860851
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21699104,0.10910993,0.04611541,0.0617657,246577.0,0.00962532,0.20115739,0.23282469,0.07296915
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 149000,0.24543055,0.1263659,0.05199674,0.06706791,81082.0,0.01508543,0.22061502,0.27024608,0.1011102
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,149000 to 216000,0.2664798,0.13583202,0.05685299,0.07379479,80629.0,0.01601958,0.24012759,0.29283202,0.09889011
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 216000,0.14280159,0.06723541,0.03029482,0.04527137,84866.0,0.01748988,0.11403075,0.17157244,0.20147426
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46444829,0.20232894,0.1160106,0.14610876,229117.0,0.01347986,0.44227393,0.48662266,0.04774346
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 197000,0.5549689,0.24990075,0.13895726,0.16611089,75570.0,0.02545305,0.51309864,0.59683917,0.07544614
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,197000 to 276000,0.50296454,0.20103195,0.1294319,0.1725007,75391.0,0.02656494,0.45926522,0.54666387,0.0868835
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 276000,0.33976918,0.15758227,0.08087671,0.1013102,78156.0,0.01835389,0.30957703,0.36996133,0.08886077
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.09526252,0.05108658,0.02156641,0.02260953,115040.0,0.00776692,0.08248593,0.10803911,0.13411981
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 92000,0.04537287,0.02259394,0.01030601,0.01247291,37842.0,0.00843661,0.03149464,0.05925109,0.30587061
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,92000 to 123000,0.09628135,0.05395844,0.02015252,0.02217039,38159.0,0.01210913,0.07636183,0.11620087,0.20688865
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 123000,0.1426266,0.07589846,0.03386357,0.03286457,39039.0,0.01776833,0.11339769,0.17185551,0.20493309
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.33830752,0.16724838,0.07960881,0.09145033,259004.0,0.01013745,0.32163141,0.35498362,0.04929275
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 114000,0.34342326,0.18827016,0.0753244,0.0798287,85696.0,0.01778641,0.31416462,0.37268191,0.08519703
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,114000 to 159000,0.39789413,0.19348568,0.09099219,0.11341626,86425.0,0.01934649,0.36606916,0.4297191,0.07998351
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.27398916,0.12041481,0.07251131,0.08106304,86883.0,0.01703191,0.24597166,0.30200665,0.10225767
