Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.24403531,0.11995705,0.05981273,0.06426553
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 120000,0.30568312,0.16073479,0.07103904,0.0739093
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,120000 to 221000,0.1789658,0.09189084,0.04509413,0.04198083
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.24627343,0.10736168,0.06291724,0.07599451
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43468663,0.20347214,0.09936586,0.13184863
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 188000,0.53683572,0.26437399,0.11692087,0.15554086
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,188000 to 314000,0.44409111,0.20177151,0.10719111,0.1351285
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 314000,0.33132207,0.14867589,0.07579855,0.10684764
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.88906299,0.36705567,0.21932481,0.30268251
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 248000,0.93718629,0.42173112,0.21767234,0.29778283
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,248000 to 400000,0.88758227,0.35318784,0.22973983,0.3046546
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 400000,0.84655998,0.32975871,0.2114344,0.30536686
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.18299776,0.08389262,0.0466443,0.05246085
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 107000,0.15299793,0.06478291,0.02825637,0.05995865
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,107000 to 177000,0.31811895,0.16770401,0.10304288,0.04737206
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 177000,0.086459,0.02447552,0.01176097,0.0502225
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46983831,0.22502073,0.10561774,0.13919983
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 144000,0.61698769,0.26586675,0.15377329,0.19734765
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,144000 to 230000,0.64522174,0.33447845,0.13116802,0.17957527
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 230000,0.15645014,0.07868253,0.03415676,0.04361086
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03994116,0.03066305,0.00113148,0.00814664
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 61000,0.00221484,0.0,0.0,0.00221484
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,61000 to 84000,0.03522505,0.01043705,0.00326158,0.02152642
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 84000,0.07802808,0.07802808,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.28078347,0.15060313,0.05716788,0.07301246
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 91000,0.27740763,0.15893398,0.06929134,0.04918231
