Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.22794431,0.10750224,0.0526912,0.06775087
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.18383083,0.08559341,0.04234193,0.05589549
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 160000,0.25285142,0.13010475,0.05700246,0.06574421
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 160000,0.24460239,0.10543713,0.05814721,0.08101805
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.45903895,0.20065407,0.11007737,0.1483075
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 140000,0.4608173,0.20033152,0.11152377,0.148962
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,140000 to 246000,0.49099545,0.21799284,0.11729037,0.15571223
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 246000,0.42594233,0.18391267,0.10162005,0.14040961
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.78489483,0.33156742,0.18918513,0.26414228
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 225000,0.80667905,0.33334257,0.19252011,0.28081637
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,225000 to 387000,0.76190851,0.32076053,0.18792822,0.25321975
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 387000,0.78557679,0.33988044,0.18719869,0.25849767
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.19358326,0.09957265,0.04242754,0.05158307
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 150000,0.21726354,0.10930064,0.05449681,0.05346608
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,150000 to 210000,0.21406341,0.1173453,0.0470068,0.04971131
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 210000,0.15077143,0.07280726,0.0263529,0.05161127
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.50031902,0.22698569,0.12482618,0.14850716
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 183000,0.61288449,0.26061922,0.16768524,0.18458003
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,183000 to 270000,0.54585003,0.23795092,0.13180663,0.17609248
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 270000,0.34888346,0.18432528,0.07731934,0.08723883
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.11385242,0.05343032,0.02634118,0.03408093
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 75000,0.04188791,0.022255,0.00960341,0.0100295
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,75000 to 113000,0.13992042,0.06508621,0.03484748,0.03998674
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 113000,0.15848137,0.07241696,0.03438776,0.05167664
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.33092555,0.16135876,0.08101751,0.08854927
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 103000,0.31716662,0.15672399,0.08119042,0.07925221
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,103000 to 159000,0.44186304,0.22020585,0.10670168,0.11495552
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.23336736,0.10698593,0.05512405,0.07125738
"2-4 Units (Own/Rent), 3 BR",All Values,,0.63846927,0.28177464,0.15517547,0.20151916
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 130000,0.78251727,0.34987484,0.19419245,0.23844998
"2-4 Units (Own/Rent), 3 BR",Second Tercile,130000 to 206000,0.7850891,0.3476581,0.187569,0.24986201
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 206000,0.35452005,0.1509141,0.08547141,0.11813453
"5-49 Units (Own), 0-1 BR",All Values,,0.04026493,0.02043536,0.00807722,0.01175235
"5-49 Units (Own), 0-1 BR",First Tercile,Below 105000,0.05274314,0.03416459,0.01234414,0.00623441
"5-49 Units (Own), 0-1 BR",Second Tercile,105000 to 199000,0.05171575,0.01873935,0.00900462,0.02397177
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 199000,0.01748211,0.00915171,0.0031679,0.0051625
"5-49 Units (Own), 2 BR",All Values,,0.11437235,0.06083026,0.02249297,0.03104912
"5-49 Units (Own), 2 BR",First Tercile,Below 144000,0.16603095,0.07952501,0.03810723,0.0483987
"5-49 Units (Own), 2 BR",Second Tercile,144000 to 249000,0.1179142,0.06667096,0.02225586,0.02898737
"5-49 Units (Own), 2 BR",Third Tercile ,Above 249000,0.0658568,0.03882977,0.00910318,0.01792385
"5-49 Units (Own), 3 BR",All Values,,0.30861925,0.13741729,0.0786118,0.09259016
"5-49 Units (Own), 3 BR",First Tercile,Below 243000,0.35840324,0.15114261,0.09618166,0.11107897
"5-49 Units (Own), 3 BR",Second Tercile,243000 to 471000,0.32738822,0.1591742,0.0786709,0.08954312
"5-49 Units (Own), 3 BR",Third Tercile ,Above 471000,0.24413936,0.10205932,0.0628157,0.07926434
"5-49 Units (Rent), 0-1 BR",All Values,,0.0695319,0.03965878,0.01432341,0.01554971
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 89000,0.03562939,0.0187756,0.00844586,0.00840793
"5-49 Units (Rent), 0-1 BR",Second Tercile,89000 to 121000,0.10556315,0.05859832,0.02414103,0.0228238
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 121000,0.06653393,0.04104168,0.01026042,0.01523184
"5-49 Units (Rent), 2 BR",All Values,,0.37473709,0.19316853,0.08358999,0.09797857
"5-49 Units (Rent), 2 BR",First Tercile,Below 111000,0.33885884,0.18164955,0.07648196,0.08072733
"5-49 Units (Rent), 2 BR",Second Tercile,111000 to 148000,0.47951626,0.24285495,0.11204761,0.12461369
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 148000,0.30528445,0.15488173,0.06215883,0.0882439
"5-49 Units (Rent), 3 BR",All Values,,0.77874142,0.36933859,0.17693094,0.23247189
"5-49 Units (Rent), 3 BR",First Tercile,Below 119000,0.87540588,0.46108173,0.17905186,0.23527229
"5-49 Units (Rent), 3 BR",Second Tercile,119000 to 173000,0.88512035,0.38890759,0.20855075,0.28766201
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 173000,0.57967887,0.26389848,0.14252417,0.17325622
"50+ Units (Own), 0-1 BR",All Values,,0.0216657,0.01545811,0.00106503,0.00514256
"50+ Units (Own), 0-1 BR",First Tercile,Below 170000,0.03439465,0.03085692,0.0,0.00353774
"50+ Units (Own), 0-1 BR",Second Tercile,170000 to 283000,0.02239396,0.01703697,0.0,0.00535699
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 283000,0.00946903,0.0,0.00309735,0.00637168
"50+ Units (Own), 2 BR",All Values,,0.07758131,0.04631752,0.01328764,0.01797616
"50+ Units (Own), 2 BR",First Tercile,Below 230000,0.13231207,0.07200569,0.01641781,0.04388857
"50+ Units (Own), 2 BR",Second Tercile,230000 to 424000,0.05924479,0.0360026,0.01614583,0.00709635
"50+ Units (Own), 2 BR",Third Tercile ,Above 424000,0.04380827,0.03203443,0.00776954,0.0040043
"50+ Units (Own), 3 BR",All Values,,0.21745868,0.13842975,0.03243802,0.04659091
"50+ Units (Own), 3 BR",First Tercile,Below 332000,0.08920815,0.0517875,0.00300702,0.03441363
"50+ Units (Own), 3 BR",Second Tercile,332000 to 800000,0.24796616,0.11226814,0.03156525,0.10413277
"50+ Units (Own), 3 BR",Third Tercile ,Above 800000,0.29773105,0.23242944,0.05755396,0.00774765
