Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16243813,0.07545602,0.04084317,0.04613894
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.20158129,0.09760149,0.0467743,0.0572055
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.11986994,0.05137283,0.03439306,0.03410405
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.55469308,0.24435878,0.13204781,0.1782865
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,230000,0.58297088,0.26187459,0.13558199,0.1855143
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,230000,0.5244556,0.2256291,0.1282687,0.1705578
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.0284495,0.43504709,0.25473763,0.33866475
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,1.0291435,0.43416102,0.25829066,0.33669181
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,1.0277087,0.43599287,0.25094517,0.34077063
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15713674,0.08548372,0.03377928,0.03787374
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,180000,0.17275952,0.10182076,0.0397257,0.03121305
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,180000,0.14130278,0.06892585,0.02775248,0.04462445
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.42908394,0.20665422,0.09030372,0.13212601
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,0.5148166,0.23494208,0.09633205,0.18354247
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,0.34015819,0.17731278,0.08405086,0.07879455
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0572666,0.01716394,0.00786012,0.03224254
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,78000,0.00709001,0.0,0.0,0.00709001
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,78000,0.11170569,0.03578595,0.01638796,0.05953177
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23681421,0.1269105,0.05238979,0.05751391
"2-4 Units  (Own/Rent), 2 BR",    Below Median,130000,0.34396696,0.18384744,0.06749275,0.09262677
"2-4 Units  (Own/Rent), 2 BR",    Above Median,130000,0.12851941,0.06936673,0.03712585,0.02202682
"2-4 Units (Own/Rent), 3 BR",All Values,,0.48802904,0.2323911,0.12666049,0.12897745
"2-4 Units (Own/Rent), 3 BR",    Below Median,200000,0.72261995,0.3156131,0.20319878,0.20380807
"2-4 Units (Own/Rent), 3 BR",    Above Median,200000,0.24674918,0.14679618,0.04793984,0.05201316
"5-49 Units (Own), 0-1 BR",All Values,,0.00697472,0.00697472,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,230000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,230000,0.01619433,0.01619433,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.04952198,0.03253319,0.00453951,0.01244927
"5-49 Units (Own), 2 BR",    Below Median,255000,0.07278395,0.04974248,0.00894551,0.01409596
"5-49 Units (Own), 2 BR",    Above Median,255000,0.02555509,0.0148024,0.0,0.01075269
"5-49 Units (Own), 3 BR",All Values,,0.29840442,0.14651734,0.08852409,0.06336299
"5-49 Units (Own), 3 BR",    Below Median,475000,0.27254218,0.12129145,0.08638743,0.06486329
"5-49 Units (Own), 3 BR",    Above Median,475000,0.32727273,0.17467532,0.09090909,0.06168831
"5-49 Units (Rent), 0-1 BR",All Values,,0.04926497,0.02309542,0.00930123,0.01686832
"5-49 Units (Rent), 0-1 BR",    Below Median,101000,0.04295533,0.02077476,0.00523274,0.01694783
"5-49 Units (Rent), 0-1 BR",    Above Median,101000,0.05569258,0.02545946,0.01344578,0.01678733
"5-49 Units (Rent), 2 BR",All Values,,0.26507146,0.1330014,0.0563456,0.07572447
"5-49 Units (Rent), 2 BR",    Below Median,130000,0.29007042,0.14056338,0.06746479,0.08204225
"5-49 Units (Rent), 2 BR",    Above Median,130000,0.23919224,0.12517314,0.04483488,0.06918422
"5-49 Units (Rent), 3 BR",All Values,,0.67786051,0.36939675,0.12110621,0.18735754
"5-49 Units (Rent), 3 BR",    Below Median,145000,0.78042405,0.38716236,0.14173686,0.25152483
"5-49 Units (Rent), 3 BR",    Above Median,145000,0.56532823,0.3499044,0.09847036,0.11695347
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,290000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,290000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.06449029,0.05447627,0.00287069,0.00714333
"50+ Units (Own), 2 BR",    Below Median,400000,0.07777778,0.0618863,0.00361757,0.0122739
"50+ Units (Own), 2 BR",    Above Median,400000,0.05028319,0.04655339,0.00207211,0.00165769
"50+ Units (Own), 3 BR",All Values,,0.29653102,0.24716478,0.03569046,0.01367578
"50+ Units (Own), 3 BR",    Below Median,900000,0.08307308,0.0518426,0.00562149,0.02560899
"50+ Units (Own), 3 BR",    Above Median,900000,0.54115963,0.47100931,0.07015032,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.00649441,0.00431629,0.00029974,0.00187838
"50+ Units (Rent), 0-1 BR",    Below Median,195000,0.00637344,0.00267527,0.0,0.00369817
"50+ Units (Rent), 0-1 BR",    Above Median,195000,0.00661929,0.00601015,0.00060914,0.0
"50+ Units (Rent), 2 BR",All Values,,0.11001669,0.06343907,0.01202003,0.0345576
"50+ Units (Rent), 2 BR",    Below Median,234000,0.15190012,0.08794218,0.01347059,0.05048735
"50+ Units (Rent), 2 BR",    Above Median,234000,0.06674963,0.03812648,0.01052155,0.0181016
"50+ Units (Rent), 3 BR",All Values,,0.44514436,0.18950131,0.11653543,0.13910761
"50+ Units (Rent), 3 BR",    Below Median,308000,0.41815235,0.20340357,0.10858995,0.10615883
"50+ Units (Rent), 3 BR",    Above Median,308000,0.4947839,0.16393443,0.13114754,0.19970194
All Housing Types (Own) 0-1 BR,All Values,,0.04409888,0.01634769,0.00980861,0.01794258
All Housing Types (Own) 0-1 BR,    Below Median,250000,0.04151679,0.01498801,0.01333933,0.01318945
All Housing Types (Own) 0-1 BR,    Above Median,250000,0.04703476,0.01789366,0.00579414,0.02334697
All Housing Types (Own) 2 BR,All Values,,0.09925237,0.05167138,0.02273373,0.02484727
All Housing Types (Own) 2 BR,    Below Median,225000,0.12356196,0.06591502,0.02664161,0.03100532
All Housing Types (Own) 2 BR,    Above Median,225000,0.07458798,0.03721984,0.0187688,0.01859933
All Housing Types (Own) 3 BR,All Values,,0.47976311,0.21182965,0.11554501,0.15238845
All Housing Types (Own) 3 BR,    Below Median,250000,0.52389599,0.22111314,0.12890468,0.17387817
All Housing Types (Own) 3 BR,    Above Median,250000,0.43278307,0.20194725,0.10132347,0.12951236
All Housing Types (Own) 4-5 BR,All Values,,0.99772385,0.42211122,0.24795005,0.32766258
All Housing Types (Own) 4-5 BR,    Below Median,350000,0.99741694,0.41663928,0.25408908,0.32668857
