Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1990954,0.10128815,0.04377405,0.0540332,321469.0,0.00608696,0.18908235,0.20910846,0.05029276
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 84000,0.17448792,0.0885301,0.03695161,0.04900621,105354.0,0.00929796,0.15919276,0.18978307,0.08765737
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,84000 to 127000,0.24418002,0.12921463,0.05196343,0.06300196,108076.0,0.01346955,0.22202261,0.26633743,0.09074211
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 127000,0.17799128,0.08579309,0.04223475,0.04996344,108039.0,0.01232458,0.15771734,0.19826522,0.11390412
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43059007,0.19173745,0.10270511,0.13614751,1029053.0,0.00483675,0.42263361,0.43854652,0.01847803
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 120000,0.46096907,0.20599085,0.10851667,0.14646155,329636.0,0.01079991,0.44320321,0.47873493,0.03854024
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,120000 to 188000,0.44506196,0.20140535,0.11025069,0.13340591,341694.0,0.0095253,0.42939285,0.46073107,0.03520658
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 188000,0.38877288,0.16936848,0.09014237,0.12926203,357723.0,0.00878771,0.37431709,0.40322867,0.03718312
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.85437095,0.36201925,0.21075551,0.28159619,528157.0,0.01025362,0.83750374,0.87123816,0.01974226
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 170000,0.8460596,0.36043669,0.20900416,0.27661875,173853.0,0.02015573,0.81290342,0.87921578,0.03918894
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,170000 to 297000,0.8320058,0.35214053,0.20277373,0.27709154,166851.0,0.0218348,0.79608756,0.86792404,0.04317066
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 297000,0.88198642,0.37227998,0.21948435,0.29022208,187453.0,0.0201871,0.84877864,0.9151942,0.03765112
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20366266,0.1137115,0.03749061,0.05246056,53240.0,0.01787944,0.17425099,0.23307433,0.14441367
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 104000,0.330317,0.20397245,0.04348074,0.08286381,17571.0,0.04198398,0.26125335,0.39938065,0.20908294
