Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.33695357,0.15499286,0.0877528,0.09420791
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,180000,0.47483929,0.22729315,0.12080943,0.12673671
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,180000,0.19524021,0.08068555,0.05377853,0.06077613
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.55219679,0.25432644,0.13081801,0.16705234
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,193000,0.66934137,0.30469364,0.16134658,0.20330115
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,193000,0.42493973,0.19961131,0.09765407,0.12767435
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.96301798,0.41879272,0.23942489,0.30480037
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,0.9951058,0.43739887,0.24424659,0.31346034
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,0.9293801,0.39928777,0.23437027,0.29572207
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21039923,0.1045557,0.05851578,0.04732775
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,160000,0.32989363,0.16193047,0.09509446,0.07286871
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,160000,0.0875102,0.04555102,0.02089796,0.02106122
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.42131855,0.21400372,0.09746967,0.10984515
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,180000,0.63042331,0.31011811,0.14830147,0.17200373
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,180000,0.20884197,0.11633949,0.04581821,0.04668426
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.11480013,0.05916199,0.02507984,0.03055831
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,91000,0.1170845,0.06824076,0.02355738,0.02528636
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,91000,0.11242703,0.04973058,0.02666143,0.03603502
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.48988514,0.26123779,0.11249786,0.11614949
"2-4 Units  (Own/Rent), 2 BR",    Below Median,102000,0.5498614,0.29108918,0.13809073,0.1206815
"2-4 Units  (Own/Rent), 2 BR",    Above Median,102000,0.42816892,0.23052038,0.08616252,0.11148602
