Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18265877,0.11574337,0.02498175,0.04193365
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.19013548,0.12406759,0.01537525,0.05069265
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.17413194,0.10625,0.0359375,0.03194444
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.5182757,0.23556608,0.12259593,0.16011369
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,0.59204088,0.25334629,0.15464882,0.18404577
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,0.43621663,0.21578673,0.08693912,0.13349077
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.99320988,0.44313429,0.23485765,0.31521794
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,325000,1.0131944,0.4640625,0.24456845,0.30456349
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,325000,0.97258065,0.42153098,0.22483359,0.32621608
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.10557333,0.05127126,0.00521973,0.04908234
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,155000,0.1320084,0.06560026,0.004201,0.06220714
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,155000,0.07681491,0.0356829,0.006328,0.03480401
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.34334021,0.18086598,0.08618557,0.07628866
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,188000,0.42274778,0.21534153,0.0947565,0.11264976
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,188000,0.25377325,0.14197964,0.07651808,0.03527554
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.01104101,0.0,0.01104101,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,72000,0.01815039,0.0,0.01815039,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,72000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.20448939,0.09990133,0.0352738,0.06931426
"2-4 Units  (Own/Rent), 2 BR",    Below Median,99000,0.23414179,0.09934701,0.02565299,0.10914179
"2-4 Units  (Own/Rent), 2 BR",    Above Median,99000,0.17120419,0.10052356,0.0460733,0.02460733
"2-4 Units (Own/Rent), 3 BR",All Values,,0.39922313,0.18429003,0.10703496,0.10789814
"2-4 Units (Own/Rent), 3 BR",    Below Median,141000,0.64565719,0.31053036,0.16448885,0.17063797
"2-4 Units (Own/Rent), 3 BR",    Above Median,141000,0.08366142,0.0226378,0.03346457,0.02755906
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,120000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,120000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.04938272,0.00617284,0.01646091,0.02674897
"5-49 Units (Own), 2 BR",    Below Median,122000,0.09326425,0.01165803,0.03108808,0.05051813
"5-49 Units (Own), 2 BR",    Above Median,122000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",All Values,,0.21268657,0.0,0.05970149,0.15298507
"5-49 Units (Own), 3 BR",    Below Median,300000,0.26267281,0.0,0.07373272,0.18894009
"5-49 Units (Own), 3 BR",    Above Median,300000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.06449921,0.03679427,0.02184933,0.00585562
"5-49 Units (Rent), 0-1 BR",    Below Median,96000,0.01363559,0.00920402,0.0,0.00443157
"5-49 Units (Rent), 0-1 BR",    Above Median,96000,0.11802691,0.0658296,0.04484305,0.00735426
"5-49 Units (Rent), 2 BR",All Values,,0.14828393,0.06080526,0.02047911,0.06699956
"5-49 Units (Rent), 2 BR",    Below Median,113000,0.14095645,0.05572989,0.01619179,0.06903477
"5-49 Units (Rent), 2 BR",    Above Median,113000,0.15571683,0.06595365,0.02482811,0.06493506
"5-49 Units (Rent), 3 BR",All Values,,0.62893401,0.38705584,0.1251269,0.11675127
"5-49 Units (Rent), 3 BR",    Below Median,135000,0.42752055,0.27044569,0.08091735,0.07615751
"5-49 Units (Rent), 3 BR",    Above Median,135000,0.91467158,0.55248619,0.1878453,0.17434009
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,80000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,80000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",    Below Median,170000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",    Above Median,170000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",    Below Median,170000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.00753205,0.00753205,0.0,0.0
"50+ Units (Rent), 0-1 BR",    Below Median,105000,0.01463263,0.01463263,0.0,0.0
"50+ Units (Rent), 0-1 BR",    Above Median,105000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 2 BR",All Values,,0.05691769,0.03093987,0.01517805,0.01079977
"50+ Units (Rent), 2 BR",    Below Median,119000,0.10021906,0.05805038,0.02847755,0.01369113
