Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.2224026,0.08528971,0.05969031,0.07742258
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,130000,0.24114425,0.09823494,0.07060256,0.07230676
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,130000,0.20266632,0.07165748,0.04819895,0.0828099
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.49879869,0.236032,0.10988131,0.15288539
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,170000,0.55141323,0.26646121,0.11296997,0.17198204
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,170000,0.44382084,0.20423598,0.10665391,0.13293096
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.9428089,0.42315168,0.22423847,0.29541875
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,275000,0.9562731,0.42529201,0.21485798,0.31612312
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,275000,0.92787023,0.42077697,0.23464623,0.27244703
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20367847,0.06846049,0.05245232,0.08276567
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,110000,0.29378173,0.07614213,0.06345178,0.15418782
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,110000,0.09926471,0.05955882,0.03970588,0.0
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.58029648,0.29524398,0.12569487,0.15935763
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,130000,0.81145585,0.45704057,0.15393795,0.20047733
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,130000,0.33226633,0.12163892,0.09539052,0.11523688
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03848965,0.02484775,0.00633374,0.00730816
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,62000,0.01771922,0.00999546,0.00772376,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,62000,0.0625,0.04201681,0.00472689,0.0157563
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.27908503,0.15599513,0.04584232,0.07724759
"2-4 Units  (Own/Rent), 2 BR",    Below Median,87000,0.30238485,0.18732933,0.03768433,0.0773712
"2-4 Units  (Own/Rent), 2 BR",    Above Median,87000,0.25434867,0.12272903,0.05450329,0.07711635
"2-4 Units (Own/Rent), 3 BR",All Values,,0.92051417,0.44805876,0.25786988,0.21458552
"2-4 Units (Own/Rent), 3 BR",    Below Median,113000,1.0886076,0.58886076,0.32911392,0.17063291
"2-4 Units (Own/Rent), 3 BR",    Above Median,113000,0.73979314,0.29667937,0.18127382,0.26183996
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,100000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",    Below Median,165000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",    Above Median,165000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",    Below Median,70000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.02213175,0.01280533,0.00629164,0.00303479
"5-49 Units (Rent), 0-1 BR",    Below Median,82000,0.01203266,0.01074345,0.00128921,0.0
"5-49 Units (Rent), 0-1 BR",    Above Median,82000,0.03293,0.01500996,0.01164037,0.00627968
"5-49 Units (Rent), 2 BR",All Values,,0.33760091,0.20408678,0.06634712,0.067167
"5-49 Units (Rent), 2 BR",    Below Median,94000,0.32296296,0.2191358,0.05753086,0.0462963
"5-49 Units (Rent), 2 BR",    Above Median,94000,0.35288809,0.18837029,0.07555441,0.08896338
"5-49 Units (Rent), 3 BR",All Values,,1.19768,0.4722088,0.2561624,0.46930884
"5-49 Units (Rent), 3 BR",    Below Median,102000,1.3408,0.5872,0.2896,0.464
