Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.19089757,0.09736653,0.03699258,0.05653846,179117.0,0.00904876,0.17601236,0.20578278,0.07797488
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 79000,0.18549821,0.09171593,0.04259752,0.05118477,59041.0,0.01604238,0.15910851,0.21188792,0.14226395
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,79000 to 130000,0.23748436,0.13387272,0.04102094,0.06259071,59945.0,0.01527583,0.21235562,0.26261311,0.10581221
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 130000,0.14975637,0.06652143,0.02747335,0.05576159,60131.0,0.0148195,0.12537829,0.17413444,0.16278492
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.39903894,0.17785814,0.0964342,0.1247466,639296.0,0.00575634,0.38956976,0.40850813,0.02372998
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 119000,0.41626362,0.1774999,0.10610574,0.13265798,203448.0,0.0120271,0.39647903,0.4360482,0.04752897
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,119000 to 189000,0.42474248,0.19573203,0.0998684,0.12914205,211248.0,0.011803,0.40532655,0.44415842,0.04571226
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 189000,0.35926091,0.16137133,0.08444346,0.11344613,224600.0,0.00996671,0.34286566,0.37565615,0.04563604
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.79136711,0.33113213,0.20197258,0.2582624,317553.0,0.01257686,0.77067818,0.81205604,0.02614328
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 177000,0.83255377,0.36316222,0.20800634,0.26138521,102194.0,0.02702424,0.7880989,0.87700864,0.0533958
