Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.2329965,0.1152243,0.05722255,0.060549649999999997,161702.0,0.01028838,0.21607211,0.24992089,0.07263794
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 86000,0.21447881,0.10759409,0.04177611,0.06510861,52159.0,0.01721251,0.18616422,0.24279339,0.13201577
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,86000 to 148000,0.29952019,0.16828134,0.07097818,0.06026068,54397.0,0.02175521,0.26373288,0.33530751,0.11948215
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 148000,0.18489102,0.07010481,0.05826352,0.05652269,55146.0,0.01843894,0.15455895,0.21522308,0.16405375
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43163599,0.19120885,0.10206333,0.13836381,664509.0,0.00611935,0.42156966,0.44170232,0.02332133
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 134000,0.46376752,0.20771419,0.10936493,0.14668839,217236.0,0.01312274,0.44218061,0.48535442,0.04654682
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,134000 to 210000,0.46250168,0.20377653,0.11074226,0.1479829,215383.0,0.01330132,0.44062101,0.48438236,0.0473094
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 210000,0.37286645,0.16407348,0.08716202,0.12163095,231890.0,0.01096054,0.35483636,0.39089653,0.04835534
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.7797997,0.32320343,0.19359409,0.26300218,295758.0,0.01460769,0.75577005,0.80382935,0.03081515
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 205000,0.81032432,0.31897614,0.21612934,0.27521884,93333.0,0.02820596,0.76392552,0.85672313,0.05725955
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,205000 to 325000,0.7666702,0.31439169,0.18208987,0.27018864,94360.0,0.02969807,0.71781687,0.81552352,0.06372143
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 325000,0.76490075,0.33454865,0.18417619,0.24617591,108065.0,0.02788258,0.71903391,0.81076759,0.05996443
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.24896207,0.10883053,0.06409479,0.07603676,21437.0,0.03227131,0.19587577,0.30204838,0.21323048
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 109000,0.29469214,0.12441614,0.07048832,0.09978769,7065.0,0.05176067,0.20954584,0.37983845,0.28893308
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,109000 to 152000,0.33190395,0.14493997,0.09133791,0.09562607,6996.0,0.07538696,0.2078924,0.45591549,0.37363685
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 152000,0.12649132,0.05965293,0.03213124,0.03470716,7376.0,0.03005083,0.0770577,0.17592495,0.39080644
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.53929605,0.26470588,0.12240839,0.15218177,16592.0,0.04598867,0.46364469,0.6149474,0.14027797
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 130000,0.652003,0.2899663,0.18101835,0.18101835,5342.0,0.09811235,0.49060819,0.8133978,0.24753691
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,130000 to 183000,0.54775687,0.32398698,0.06946454,0.15430535,5528.0,0.08468743,0.40844605,0.6870677,0.25432968
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,0.42590003,0.1838518,0.11883957,0.12320867,5722.0,0.06754476,0.3147889,0.53701117,0.26088547
