Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16970564,0.08564371,0.03631597,0.04774596,92301.0,0.0106253,0.15222702,0.18718426,0.10299375
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 166000,0.17552229,0.09139661,0.0452377,0.03888797,30395.0,0.01875255,0.14467435,0.20637023,0.17574942
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,166000 to 291000,0.15549514,0.08700199,0.02370246,0.04479069,28689.0,0.01872703,0.12468917,0.1863011,0.19811528
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 291000,0.17665653,0.07920643,0.03904627,0.05840383,33217.0,0.02021418,0.14340421,0.20990886,0.1882315
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35359555,0.15650172,0.0816681,0.11542574,462947.0,0.00672355,0.3425353,0.3646558,0.03127937
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 245000,0.37062419,0.17058411,0.08851484,0.11152523,149715.0,0.01260901,0.34988236,0.39136601,0.05596457
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,245000 to 371000,0.35126208,0.15191628,0.08059312,0.11875268,156527.0,0.01340792,0.32920605,0.37331811,0.06279081
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 371000,0.33965732,0.14762771,0.0762005,0.11582911,156705.0,0.01187388,0.32012478,0.35918985,0.05750659
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.66488772,0.27548274,0.16273042,0.22667457,602604.0,0.00811162,0.65154411,0.67823134,0.02006897
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 366000,0.66780425,0.2817694,0.15990154,0.22613331,198666.0,0.0186491,0.63712649,0.69848202,0.04593826
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,366000 to 550000,0.63786197,0.26004343,0.15652573,0.22129281,189726.0,0.0155012,0.6123625,0.66336144,0.03997648
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 550000,0.68611936,0.2833268,0.17084944,0.23194312,214212.0,0.01391739,0.66322525,0.70901347,0.03336753
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.24931929,0.12800625,0.05740755,0.06390549,92183.0,0.01356352,0.2270073,0.27163128,0.08949162
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 147000,0.29674291,0.15341766,0.07094174,0.07238351,30518.0,0.02838322,0.2500525,0.34343331,0.15734295
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,147000 to 231000,0.27050179,0.13648676,0.05932146,0.07469357,29534.0,0.02328013,0.23220598,0.30879761,0.14157325
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 231000,0.18480595,0.09607544,0.04279356,0.04593695,32131.0,0.02143005,0.14955351,0.22005839,0.1907538
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.48360092,0.22303149,0.11900891,0.14156052,305078.0,0.01097139,0.46555298,0.50164885,0.0373199
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 191000,0.55127784,0.24729449,0.13846659,0.16551676,100443.0,0.02619203,0.50819195,0.59436373,0.0781564
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,191000 to 297000,0.51514546,0.24181745,0.12672198,0.14660602,100030.0,0.02367402,0.47620169,0.55408923,0.07559762
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 297000,0.38845179,0.18176951,0.09294967,0.11373261,104605.0,0.01468766,0.3642906,0.41261299,0.0621987
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07713648,0.04157927,0.02036674,0.01519047,29558.0,0.01283074,0.05602991,0.09824305,0.27362632
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 92000,0.02207009,0.00960458,0.00163482,0.01083069,9787.0,0.00985137,0.00586459,0.0382756,0.73427436
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,92000 to 129000,0.0680974,0.03848535,0.01320677,0.01640528,9692.0,0.01762334,0.03910701,0.09708779,0.42571945
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 129000,0.13929953,0.07560274,0.04544102,0.01825578,10079.0,0.03524983,0.08131356,0.19728551,0.41626826
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.40182242,0.21406192,0.07433384,0.11342666,34789.0,0.02913322,0.35389826,0.44974657,0.119267
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 116000,0.37885424,0.21250876,0.0408199,0.12552558,11416.0,0.0601691,0.27987607,0.47783241,0.2612566
