Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15843617,0.07361518,0.03625699,0.048564,180710.0,0.00689463,0.1470945,0.16977784,0.07158511
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 237000,0.1801926,0.07731399,0.04492756,0.05795104,58049.0,0.01302433,0.15876757,0.20161762,0.11890071
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,237000 to 387000,0.14580168,0.06856788,0.03203977,0.04519403,57928.0,0.00951226,0.13015402,0.16144935,0.10732156
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 387000,0.15023249,0.07481501,0.03225557,0.04316191,64733.0,0.01271013,0.12932433,0.17114065,0.13917202
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.41595064,0.18095589,0.09555746,0.1394373,670832.0,0.00508206,0.40759066,0.42431062,0.02009849
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 318000,0.39196122,0.16996282,0.09150939,0.13048901,212470.0,0.0082574,0.3783778,0.40554464,0.03465501
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,318000 to 486000,0.41594662,0.17912796,0.09242021,0.14439845,215494.0,0.01240767,0.395536,0.43635724,0.04907029
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 486000,0.43694105,0.19219494,0.1018825,0.14286361,242868.0,0.01001502,0.42046635,0.45341576,0.03770463
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.67656504,0.27654108,0.16246507,0.23755888,484221.0,0.00935895,0.66116957,0.69196051,0.02275534
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 441000,0.62235487,0.25895185,0.1501216,0.21328141,148433.0,0.01695464,0.59446449,0.65024524,0.04481427
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,441000 to 700000,0.64840259,0.26765873,0.15408373,0.22666014,167396.0,0.01780409,0.61911486,0.67769032,0.04516905
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 700000,0.75234572,0.30087534,0.18167728,0.2697931,168392.0,0.01787918,0.72293447,0.78175696,0.03909273
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.2313606,0.11096606,0.05841707,0.06197748,75834.0,0.01450481,0.2075002,0.25522101,0.10313082
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 210000,0.33875673,0.15990797,0.08476108,0.09408768,24339.0,0.03257381,0.28517282,0.39234064,0.15817815
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,210000 to 365000,0.23088618,0.10686137,0.07009402,0.05393079,24995.0,0.02734827,0.18589828,0.27587407,0.19484881
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 365000,0.13316981,0.06988679,0.02320755,0.04007547,26500.0,0.01469783,0.10899189,0.15734773,0.18155709
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.54761504,0.26426022,0.12346094,0.15989388,53523.0,0.029615,0.49889837,0.59633172,0.08896154
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 244000,0.78259844,0.35734497,0.17619665,0.24905683,16964.0,0.0687591,0.66948972,0.89570717,0.14452971
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,244000 to 440000,0.5236177,0.27347975,0.12294449,0.12719347,18122.0,0.04791579,0.44479624,0.60243917,0.15053247
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 440000,0.35499268,0.16955036,0.07544611,0.1099962,18437.0,0.03614089,0.29554091,0.41444445,0.16747322
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04615819,0.020901,0.00986388,0.01539331,92053.0,0.00492014,0.03806456,0.05425182,0.17534549
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 104000,0.01913249,0.01185952,0.00206395,0.00520902,30524.0,0.00440377,0.01188829,0.02637668,0.37863322
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,104000 to 179000,0.07699401,0.03477574,0.01649872,0.02571955,30366.0,0.01138323,0.0582686,0.09571942,0.24320606
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 179000,0.04258255,0.0162372,0.01103873,0.01530661,31163.0,0.00818229,0.02912268,0.05604242,0.3160889
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.2467489,0.12288281,0.05560704,0.06825904,229845.0,0.00910134,0.23177719,0.2617206,0.06067588
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 146000,0.29047148,0.14443785,0.06511045,0.08092318,75825.0,0.01887368,0.25942428,0.32151868,0.10688553
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,146000 to 250000,0.29957236,0.15179442,0.06773426,0.08004367,76933.0,0.01750268,0.27078044,0.32836427,0.09611004
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 250000,0.15102417,0.07282681,0.03415621,0.04404115,77087.0,0.01137219,0.13231692,0.16973142,0.12386924
"2-4 Units (Own/Rent), 3 BR",All Values,,0.57297822,0.2447734,0.14074501,0.18745981,164830.0,0.01897267,0.54176817,0.60418827,0.05446987
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 164000,0.68283706,0.2875888,0.17468438,0.22056388,54338.0,0.03789866,0.62049375,0.74518036,0.09130041
"2-4 Units (Own/Rent), 3 BR",Second Tercile,164000 to 294000,0.67046664,0.27816158,0.16616461,0.22614044,55439.0,0.03497405,0.61293433,0.72799895,0.08580935
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 294000,0.36637422,0.1688918,0.08164859,0.11583383,55053.0,0.02232538,0.32964897,0.40309948,0.10023974
"5-49 Units (Own), 0-1 BR",All Values,,0.01418565,0.00382601,0.00376714,0.0065925,16989.0,0.0060628,0.00421235,0.02415895,0.70305543
"5-49 Units (Own), 0-1 BR",First Tercile,Below 236000,0.01982791,0.00243172,0.00692106,0.01047512,5346.0,0.01558397,-0.00580771,0.04546353,1.2929061
"5-49 Units (Own), 0-1 BR",Second Tercile,236000 to 400000,0.01142461,0.001731,0.00467371,0.00501991,5777.0,0.00739108,-0.0007337,0.02358293,1.0642214
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 400000,0.0117627,0.0071599,0.0,0.0046028,5866.0,0.00733974,-0.00031118,0.02383658,1.0264544
"5-49 Units (Own), 2 BR",All Values,,0.10785269,0.06273445,0.02439328,0.02072496,48251.0,0.01124922,0.08934771,0.12635766,0.17157637
"5-49 Units (Own), 2 BR",First Tercile,Below 249000,0.13824855,0.08123816,0.02305231,0.03395807,15313.0,0.02260075,0.10107032,0.17542677,0.2689231
"5-49 Units (Own), 2 BR",Second Tercile,249000 to 450000,0.10121831,0.05574698,0.03101157,0.01445976,16252.0,0.02218472,0.06472444,0.13771218,0.36054611
"5-49 Units (Own), 2 BR",Third Tercile ,Above 450000,0.08641975,0.05255903,0.01917775,0.01468297,16686.0,0.0157053,0.06058453,0.11225498,0.29895045
