Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15630492,0.07223931,0.04734183,0.03672378
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,175000,0.17708258,0.09785377,0.04059658,0.03863223
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,175000,0.13525466,0.04628879,0.05417557,0.0347903
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.50601292,0.22067242,0.12840261,0.15693789
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,215000,0.54304708,0.23423106,0.14097859,0.16783744
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,215000,0.46817493,0.20681948,0.11555368,0.14580177
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.0028097,0.42233331,0.2579504,0.32252599
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,310000,1.009581,0.43350673,0.25825735,0.31781688
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,310000,0.99562202,0.41047272,0.25762458,0.32752472
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.08091686,0.04712554,0.01502211,0.0187692
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,204000,0.1064261,0.05517422,0.01974243,0.03150945
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,204000,0.05367863,0.03853134,0.00998185,0.00516543
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.27634953,0.12259961,0.06411459,0.08963533
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,0.39829303,0.18752963,0.09210526,0.11865813
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,0.14011389,0.05005959,0.03284333,0.05721097
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.06487618,0.00802232,0.00209278,0.05476107
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,96000,0.11742424,0.0145202,0.00378788,0.09911616
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,96000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.24868802,0.12573632,0.06747349,0.0554782
"2-4 Units  (Own/Rent), 2 BR",    Below Median,109000,0.37243912,0.18960186,0.09122536,0.09161191
"2-4 Units  (Own/Rent), 2 BR",    Above Median,109000,0.0948835,0.0463608,0.0379534,0.0105693
"2-4 Units (Own/Rent), 3 BR",All Values,,0.59046455,0.29309291,0.07854523,0.21882641
"2-4 Units (Own/Rent), 3 BR",    Below Median,134000,0.93876372,0.4644714,0.14846909,0.32582322
"2-4 Units (Own/Rent), 3 BR",    Above Median,134000,0.19922128,0.10058404,0.0,0.09863725
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,230000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,230000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.11239646,0.03613253,0.02784919,0.04841474
"5-49 Units (Own), 2 BR",    Below Median,300000,0.11530765,0.04202101,0.0,0.07328664
"5-49 Units (Own), 2 BR",    Above Median,300000,0.10852197,0.02829561,0.06491345,0.01531292
"5-49 Units (Own), 3 BR",All Values,,0.07164179,0.0039801,0.0,0.06766169
