Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17414387,0.08430423,0.04080834,0.0490313
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 133000,0.21178619,0.10605248,0.05058467,0.05514903
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,133000 to 221000,0.19062255,0.09232464,0.04587236,0.05242555
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.12374835,0.05658417,0.02698982,0.04017435
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.40287647,0.18680415,0.09377015,0.12230217
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 188000,0.45634364,0.2161228,0.10565007,0.13457078
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,188000 to 291000,0.39019678,0.1848429,0.08488378,0.1204701
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 291000,0.36559318,0.16203116,0.09074923,0.11281279
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.76429217,0.33574449,0.18515338,0.2433943
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 260000,0.74052232,0.31096236,0.18145942,0.24810053
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,260000 to 397000,0.74823077,0.33837893,0.18242768,0.22742416
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 397000,0.80090644,0.3566459,0.19104812,0.25321241
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16804927,0.07998024,0.04037503,0.047694
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 162000,0.24870391,0.13501069,0.05641156,0.05728166
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,162000 to 216000,0.14739336,0.06469194,0.03138118,0.05132024
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 216000,0.11407175,0.04433152,0.03446892,0.0352713
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.53396393,0.25771286,0.13412486,0.1421262
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 185000,0.77861647,0.39936485,0.19045427,0.18879735
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,185000 to 254000,0.64758139,0.28945185,0.16556841,0.19256114
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 254000,0.21078224,0.10008457,0.05513742,0.05556025
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.06146473,0.03115278,0.01227613,0.01803582
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 77000,0.02121908,0.00851466,0.00027031,0.01243411
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,77000 to 108000,0.0769792,0.04013134,0.01811991,0.01872796
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 108000,0.08231259,0.04262616,0.01727095,0.02241548
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.26217029,0.14317446,0.05367885,0.06531698
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 100000,0.32285978,0.17625364,0.07851621,0.06808994
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,100000 to 150000,0.32540831,0.1816553,0.05974778,0.08400524
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 150000,0.14079398,0.07303217,0.02368241,0.0440794
"2-4 Units (Own/Rent), 3 BR",All Values,,0.75983352,0.3788616,0.18043262,0.2005393
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 123000,1.1649614,0.55035003,0.24878837,0.36582301
"2-4 Units (Own/Rent), 3 BR",Second Tercile,123000 to 196000,0.69957234,0.41660727,0.14789736,0.13506771
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 196000,0.43328795,0.18022464,0.14669843,0.10636487
"5-49 Units (Own), 0-1 BR",All Values,,0.01284287,0.01284287,0.0,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 198000,0.03982301,0.03982301,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 198000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.08920969,0.03905003,0.01716338,0.03299627
"5-49 Units (Own), 2 BR",First Tercile,Below 155000,0.07163198,0.02278204,0.01708653,0.03176342
"5-49 Units (Own), 2 BR",Second Tercile,155000 to 251000,0.12411821,0.04556721,0.0343184,0.0442326
"5-49 Units (Own), 2 BR",Third Tercile ,Above 251000,0.0695136,0.04672539,0.0,0.0227882
"5-49 Units (Own), 3 BR",All Values,,0.28447653,0.1400722,0.09386282,0.05054152
"5-49 Units (Own), 3 BR",First Tercile,Below 204000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 3 BR",Second Tercile,204000 to 326000,0.36910569,0.18211382,0.10406504,0.08292683
"5-49 Units (Own), 3 BR",Third Tercile ,Above 326000,0.30530165,0.14990859,0.12065814,0.03473492
"5-49 Units (Rent), 0-1 BR",All Values,,0.04311247,0.02864445,0.00757277,0.00689525
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 79000,0.02265591,0.01409182,0.00635819,0.0022059
