Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18428148,0.08883796,0.03343219,0.06201132
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,120000,0.21770972,0.11557923,0.03302264,0.06910786
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,120000,0.15001365,0.06142506,0.03385203,0.05473655
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.53465418,0.23009716,0.13539188,0.16916515
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,175000,0.61396414,0.24876494,0.15920319,0.20599602
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,175000,0.44968949,0.21009838,0.10988284,0.12970827
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.93497133,0.37738069,0.23672102,0.32086963
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,260000,0.99437728,0.41235251,0.23915513,0.34286963
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,260000,0.87286019,0.34081633,0.23417606,0.2978678
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16377649,0.08734746,0.0,0.07642903
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,106000,0.16804734,0.07218935,0.0,0.09585799
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,106000,0.15870787,0.10533708,0.0,0.05337079
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.67032967,0.35692308,0.12879121,0.18461538
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,132000,0.92561285,0.45646661,0.18596788,0.28317836
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,132000,0.39377289,0.24908425,0.06684982,0.07783883
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.18551117,0.09512525,0.02809749,0.06228842
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,74000,0.11518987,0.11518987,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,74000,0.26637555,0.0720524,0.06040757,0.13391557
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.35744863,0.19106735,0.08789954,0.07848174
"2-4 Units  (Own/Rent), 2 BR",    Below Median,88000,0.45704936,0.27242978,0.10335424,0.08126534
"2-4 Units  (Own/Rent), 2 BR",    Above Median,88000,0.2481293,0.10176594,0.07093685,0.07542652
"2-4 Units (Own/Rent), 3 BR",All Values,,0.83191325,0.36522076,0.1742835,0.29240899
"2-4 Units (Own/Rent), 3 BR",    Below Median,97000,1.0910345,0.56068966,0.21586207,0.31448276
