Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.2047805,0.10259016,0.044853,0.05733734
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 83000,0.21014441,0.10432017,0.04628096,0.05954329
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,83000 to 133000,0.24520387,0.12669728,0.05265303,0.06585356
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 133000,0.15935136,0.07692688,0.03570475,0.04671973
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43045306,0.19925361,0.10162782,0.12957163
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 127000,0.49430824,0.2327731,0.11775982,0.14377531
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,127000 to 200000,0.43888133,0.20096721,0.10520719,0.13270693
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 200000,0.36136648,0.1656306,0.08276048,0.11297541
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.77296835,0.32477703,0.18507834,0.26311297
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 199000,0.85308915,0.36364817,0.20100105,0.28843994
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,199000 to 330000,0.73757445,0.30620831,0.17714525,0.2542209
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 330000,0.73440031,0.30739184,0.17826715,0.24874132
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.18401064,0.09979402,0.03186285,0.05235377
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 106000,0.18859907,0.10080408,0.03360136,0.05419363
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,106000 to 154000,0.24496796,0.14626885,0.03773219,0.06096693
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 154000,0.1201917,0.05353765,0.02446715,0.04218691
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46458051,0.23373783,0.10693606,0.12390662
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 127000,0.61019168,0.31902758,0.12772324,0.16344086
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,127000 to 188000,0.65772442,0.31863803,0.1679955,0.17109089
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 188000,0.13912887,0.07019438,0.02834773,0.04058675
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04215093,0.02516162,0.00881702,0.0081723
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 56000,0.01890563,0.00550964,0.00621185,0.00718414
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,56000 to 85000,0.04759411,0.02775014,0.0083774,0.01146657
