Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17569749,0.1001076,0.03174237,0.04384751,26022.0,0.02200847,0.13949356,0.21190142,0.20605832
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,160000,0.21403878,0.12618368,0.03765219,0.05020292,13306.0,0.02923097,0.16595383,0.26212373,0.2246553
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,160000,0.13557723,0.07282164,0.02555835,0.03719723,12716.0,0.031755,0.08334025,0.18781421,0.38529318
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.481818,0.23329679,0.11093021,0.13759101,152321.0,0.0160874,0.45535422,0.50828178,0.05492485
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,200000,0.5243291,0.26043132,0.12163268,0.14226509,78178.0,0.02473301,0.4836433,0.56501489,0.07759592
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,200000,0.43699338,0.20468554,0.09964528,0.13266256,74143.0,0.01862611,0.40635343,0.46763332,0.07011535
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.9518433,0.41279803,0.23180112,0.30724415,135599.0,0.02425945,0.91193651,0.99175009,0.0419258
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,305000,0.97491863,0.42749651,0.23862532,0.3087968,70969.0,0.03203157,0.92222669,1.0276106,0.05404752
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,305000,0.92650472,0.3966579,0.2243076,0.30553922,64630.0,0.03579852,0.86761615,0.98539329,0.06355992
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.0984082,0.05240793,0.01639013,0.02961014,14826.0,0.01892899,0.06727001,0.1295464,0.3164187
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,146000,0.1539472,0.08065152,0.02692762,0.04636805,7613.0,0.03544946,0.09563284,0.21226155,0.37879453
