Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18041405,0.08324027,0.04645649,0.05071729,58205.0,0.01366088,0.1579419,0.2028862,0.12455875
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 126000,0.2022086,0.09574131,0.05310155,0.05336574,18926.0,0.02764705,0.15672921,0.247688,0.22491325
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,126000 to 243000,0.20512821,0.0798915,0.06223451,0.0630022,19539.0,0.02788338,0.15926005,0.25099636,0.22360727
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 243000,0.13505572,0.0745694,0.02446809,0.03601824,19740.0,0.02178438,0.09922041,0.17089104,0.26533724
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.37441233,0.17691415,0.08130068,0.11619751,119753.0,0.0129612,0.35309116,0.3957335,0.0569457
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 199000,0.50650452,0.2200673,0.12216835,0.16426887,37743.0,0.02982697,0.45743916,0.55556988,0.09687053
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,199000 to 332000,0.30657669,0.15170552,0.06095706,0.09391411,40750.0,0.02069202,0.27253832,0.34061506,0.11102726
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 332000,0.32057683,0.1623364,0.06400873,0.0942317,41260.0,0.02418817,0.2807873,0.36036636,0.12411855
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.7336307,0.3224796,0.18181357,0.22933752,98645.0,0.02156871,0.69815018,0.76911122,0.04836292
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 241000,0.77778817,0.36210336,0.19861605,0.21706876,32082.0,0.04073563,0.71077806,0.84479828,0.08615471
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,241000 to 400000,0.7457441,0.31200805,0.18152419,0.25221185,32778.0,0.04676824,0.66881035,0.82267784,0.10316374
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 400000,0.67994672,0.29501258,0.16613882,0.21879532,33785.0,0.04279914,0.60954214,0.7503513,0.10354426
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.09104258,0.06281612,0.00815794,0.02006853,6129.0,0.02581253,0.04858097,0.1335042,0.46639293
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 136000,0.15650297,0.11117107,0.0,0.04533189,1853.0,0.05836877,0.06048634,0.25251959,0.61351312
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,136000 to 209000,0.07459207,0.04755245,0.00885781,0.01818182,2145.0,0.04592436,-0.0009535,0.15013765,1.0127829
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 209000,0.05068043,0.03613327,0.01454716,0.0,2131.0,0.03474265,-0.00647122,0.10783209,1.1276868
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.33799889,0.17322616,0.08023836,0.08453437,7216.0,0.05696541,0.24429079,0.431707,0.27724382
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 166000,0.52299098,0.29952729,0.13021057,0.09325312,2327.0,0.13042188,0.30844699,0.73753496,0.41022502
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,166000 to 254000,0.29502094,0.13913448,0.07166124,0.08422522,2149.0,0.11423293,0.10710777,0.48293411,0.63694858
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 254000,0.21459854,0.09270073,0.04452555,0.07737226,2740.0,0.06798237,0.10276755,0.32642953,0.52111722
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04322643,0.01265687,0.01641103,0.01415853,9323.0,0.01618081,0.016609,0.06984385,0.61576737
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 69000,0.06495726,0.02529915,0.03965812,0.0,2925.0,0.03954381,-9.231e-05,0.13000684,1.0014211
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,69000 to 90000,0.04127317,0.00244841,0.0,0.03882476,2859.0,0.02949523,-0.00724649,0.08979283,1.1755738
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 90000,0.02684374,0.01045493,0.01045493,0.00593388,3539.0,0.0191663,-0.00468482,0.05837231,1.174522
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.16107157,0.06854229,0.0503839,0.04214538,17843.0,0.02409219,0.12143991,0.20070323,0.24604998
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 89000,0.1810982,0.07004576,0.04628652,0.06476593,5682.0,0.04376077,0.10911174,0.25308467,0.39749958
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,89000 to 112000,0.15003349,0.06915606,0.04269926,0.03817816,5972.0,0.0396337,0.08483605,0.21523093,0.43455259
