Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.22956355,0.10990828,0.05048886,0.06916641,99210.0,0.01458475,0.20557164,0.25355547,0.10451099
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 85000,0.22865057,0.09993153,0.04917216,0.07954687,32132.0,0.02343433,0.1901011,0.26720004,0.16859556
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,85000 to 132000,0.28979812,0.1536431,0.05678375,0.07937127,33337.0,0.02708173,0.24524868,0.33434756,0.15372577
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 132000,0.17091965,0.0761981,0.04552325,0.0491983,33741.0,0.0192999,0.13917132,0.20266799,0.18575007
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46685267,0.21478856,0.11442602,0.13763808,246596.0,0.01071155,0.44923217,0.48447316,0.03774316
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 135000,0.50814741,0.21866882,0.1383382,0.15114039,80455.0,0.01987151,0.47545877,0.54083605,0.06432905
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,135000 to 200000,0.47479323,0.21143905,0.11655672,0.14679746,81248.0,0.02576359,0.43241212,0.51717433,0.08926224
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 200000,0.42011709,0.21431685,0.08972471,0.11607553,84893.0,0.0189657,0.38891851,0.45131567,0.07426162
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.8219762,0.35094537,0.20461139,0.26641945,185801.0,0.01811859,0.79217113,0.85178127,0.03626026
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 180000,0.75038074,0.31038935,0.18908092,0.25091048,60408.0,0.0336845,0.69496975,0.80579174,0.07384384
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,180000 to 300000,0.83382668,0.37535774,0.20934796,0.24912097,61147.0,0.03540217,0.77559011,0.89206325,0.06984254
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,0.87801575,0.36584379,0.21470597,0.29746599,64246.0,0.03747052,0.81637675,0.93965475,0.07020261
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.15983245,0.10559965,0.02667549,0.02755732,13608.0,0.02658145,0.11610597,0.20355894,0.27357702
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 113000,0.2396159,0.17619473,0.04220634,0.02121483,4478.0,0.0581955,0.1438843,0.3353475,0.39952107
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,113000 to 164000,0.13892742,0.07928803,0.03028202,0.02935737,4326.0,0.04384558,0.06680144,0.21105339,0.51916303
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 164000,0.10428809,0.06348876,0.00895087,0.03184846,4804.0,0.03831433,0.04126103,0.16731516,0.60435533
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.40047562,0.22655569,0.07705113,0.09686881,12615.0,0.05373996,0.31207338,0.48887786,0.22074312
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 144000,0.58298603,0.33464084,0.12846286,0.11988232,4079.0,0.15038575,0.33560146,0.83037059,0.42434047
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,144000 to 199000,0.41975309,0.25807217,0.05436847,0.10731244,4212.0,0.08418532,0.28126824,0.55823793,0.32991978
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 199000,0.20952821,0.09389454,0.05064755,0.06498612,4324.0,0.0550854,0.11891273,0.3001437,0.4324739
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.01631469,0.00806671,0.0038974,0.00435058,11033.0,0.0066383,0.0053947,0.02723469,0.66933514
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 56000,0.01321198,0.00939518,0.0,0.00381679,3406.0,0.00824906,-0.00035773,0.02678168,1.0270759
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,56000 to 76000,0.03546667,0.0152,0.01093333,0.00933333,3750.0,0.01909014,0.00406339,0.06686994,0.88543062
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 76000,0.00051586,0.0,0.00051586,0.0,3877.0,0.00058768,-0.00045087,0.0014826,1.8740149
