Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16151377,0.07230951,0.03970265,0.04950161
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,225000,0.22060222,0.10142631,0.05641838,0.06275753
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,225000,0.09406657,0.03907381,0.02062229,0.03437048
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.51698998,0.26746517,0.11441219,0.13511262
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,225000,0.52295827,0.24786761,0.11384647,0.16124419
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,225000,0.51078296,0.2878466,0.11500053,0.10793583
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.0570347,0.47633318,0.26492623,0.31577532
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,310000,1.0519592,0.47629898,0.27395316,0.30170707
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,310000,1.0624085,0.47636939,0.2553688,0.33067036
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.09016965,0.0578666,0.0290495,0.00325354
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,150000,0.09570815,0.0472103,0.04248927,0.00600858
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,150000,0.08362899,0.07045109,0.0131779,0.0
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.28363229,0.15396114,0.05736173,0.07230942
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,190000,0.34804928,0.20910335,0.06810404,0.07084189
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,190000,0.20617284,0.08765432,0.04444444,0.07407407
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,56000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,56000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.13129195,0.06711409,0.0113255,0.05285235
"2-4 Units  (Own/Rent), 2 BR",    Below Median,89000,0.17268446,0.07849294,0.0188383,0.07535322
"2-4 Units  (Own/Rent), 2 BR",    Above Median,89000,0.08378378,0.05405405,0.0027027,0.02702703
"2-4 Units (Own/Rent), 3 BR",All Values,,0.30684932,0.17945205,0.05205479,0.07534247
"2-4 Units (Own/Rent), 3 BR",    Below Median,163000,0.30922242,0.18264014,0.0596745,0.06690778
"2-4 Units (Own/Rent), 3 BR",    Above Median,163000,0.29943503,0.16949153,0.02824859,0.10169492
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,125000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,125000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",    Below Median,150000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",    Above Median,150000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.01182124,0.00470927,0.00470927,0.00240269
"5-49 Units (Rent), 0-1 BR",    Below Median,104000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 0-1 BR",    Above Median,104000,0.02405162,0.00958154,0.00958154,0.00488854
"5-49 Units (Rent), 2 BR",All Values,,0.19824776,0.10696822,0.04278729,0.04849226
"5-49 Units (Rent), 2 BR",    Below Median,121000,0.23251714,0.12340842,0.0619001,0.04720862
