Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16565918,0.08474035,0.03970206,0.04121677
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 185000,0.27066081,0.14737198,0.06451749,0.05877134
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,185000 to 313000,0.1648566,0.08103196,0.03723569,0.04658894
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 313000,0.06979094,0.03038781,0.01904096,0.02036217
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.4289345,0.19845061,0.10311268,0.12737121
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 216000,0.57730085,0.27095064,0.13292093,0.17342928
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,216000 to 339000,0.40888556,0.19084821,0.09788261,0.12015475
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 339000,0.30276249,0.13460901,0.07896133,0.08919215
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.74473148,0.31449993,0.1771268,0.25310475
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 291000,0.89661938,0.38581041,0.2037488,0.30706017
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,291000 to 442000,0.72562212,0.30605991,0.17301843,0.24654378
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 442000,0.61822422,0.25459785,0.15567802,0.20794835
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.20041678,0.10107001,0.05269907,0.0466477
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 140000,0.37066862,0.20522206,0.07711079,0.08833577
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,140000 to 221000,0.13194176,0.06867672,0.02989306,0.03337199
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,0.10437972,0.03412628,0.05013339,0.02012005
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.45895257,0.21162338,0.11528417,0.13204501
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 172000,0.61261261,0.27727728,0.15987416,0.17546118
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,172000 to 254000,0.5658202,0.29611792,0.1142732,0.15542907
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 254000,0.2085643,0.06776608,0.07303215,0.06776608
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.09772465,0.04404053,0.02328682,0.0303973
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 90000,0.1035511,0.06194091,0.02182163,0.01978856
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,90000 to 120000,0.12586667,0.05293333,0.02506667,0.04786667
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 120000,0.06440189,0.01796957,0.02295383,0.02347849
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.39400462,0.19846985,0.08771964,0.10781513
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 107000,0.49200144,0.21018764,0.13056291,0.1512509
