Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.10559083,0.0550837,0.02242929,0.02807784
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,295000,0.16391979,0.08126979,0.04148738,0.04116262
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,295000,0.04540504,0.028064,0.00276451,0.01457653
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.41474526,0.18655777,0.1057299,0.12245759
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,295000,0.50237617,0.23326637,0.12281261,0.14629719
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,295000,0.321257,0.13672712,0.08750536,0.09702452
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.81605585,0.35991468,0.18932713,0.26681404
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,375000,0.90702917,0.40321097,0.20083111,0.30298709
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,375000,0.72293638,0.31559699,0.17755176,0.22978763
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.13209768,0.06884378,0.02912621,0.03412768
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,193000,0.17100793,0.09343148,0.03539071,0.04218573
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,193000,0.09001837,0.04225352,0.0223515,0.02541335
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.43545968,0.20659822,0.10416426,0.1246972
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,0.64554719,0.31391227,0.15684537,0.17478954
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,0.20722022,0.09001203,0.04693141,0.07027677
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07507347,0.02591504,0.02297622,0.02618221
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,120000,0.02061856,0.01423662,0.00638193,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,120000,0.14009379,0.03985932,0.04279015,0.05744431
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30719971,0.14792791,0.06037874,0.09889306
"2-4 Units  (Own/Rent), 2 BR",    Below Median,131000,0.38514957,0.18073362,0.05092593,0.15349003
"2-4 Units  (Own/Rent), 2 BR",    Above Median,131000,0.22483537,0.11326435,0.07036689,0.04120414
"2-4 Units (Own/Rent), 3 BR",All Values,,0.6374605,0.29847745,0.15340419,0.18557886
"2-4 Units (Own/Rent), 3 BR",    Below Median,156000,0.68235931,0.26677489,0.17424242,0.24134199
"2-4 Units (Own/Rent), 3 BR",    Above Median,156000,0.58665034,0.33435395,0.12982241,0.12247397
"5-49 Units (Own), 0-1 BR",All Values,,0.0532646,0.04295533,0.01030928,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,190000,0.07434053,0.05995204,0.01438849,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,190000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.06674507,0.00970303,0.02675684,0.03028521
"5-49 Units (Own), 2 BR",    Below Median,216000,0.03220524,0.0180131,0.00655022,0.00764192
"5-49 Units (Own), 2 BR",    Above Median,216000,0.10707457,0.0,0.05035054,0.05672403
"5-49 Units (Own), 3 BR",All Values,,0.09419152,0.0266876,0.03296703,0.03453689
"5-49 Units (Own), 3 BR",    Below Median,270000,0.14051522,0.03981265,0.04918033,0.05152225
"5-49 Units (Own), 3 BR",    Above Median,270000,0.0,0.0,0.0,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.04750486,0.01529488,0.01036941,0.02184057
"5-49 Units (Rent), 0-1 BR",    Below Median,120000,0.04988775,0.00361686,0.00785732,0.03841357
"5-49 Units (Rent), 0-1 BR",    Above Median,120000,0.04492715,0.02792768,0.01308689,0.00391257
"5-49 Units (Rent), 2 BR",All Values,,0.3910122,0.22517156,0.07591498,0.08992566
"5-49 Units (Rent), 2 BR",    Below Median,143000,0.41725336,0.25110298,0.07171689,0.09443349
"5-49 Units (Rent), 2 BR",    Above Median,143000,0.36395315,0.1984319,0.08024393,0.08527732
"5-49 Units (Rent), 3 BR",All Values,,0.94125,0.52035714,0.25214286,0.16875
"5-49 Units (Rent), 3 BR",    Below Median,154000,1.1035857,0.6185259,0.28917663,0.19588313
"5-49 Units (Rent), 3 BR",    Above Median,154000,0.75231839,0.4061051,0.20904173,0.13717156
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,280000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,280000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.02766798,0.0,0.01185771,0.01581028
"50+ Units (Own), 2 BR",    Below Median,300000,0.04810997,0.0,0.02061856,0.02749141
"50+ Units (Own), 2 BR",    Above Median,300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.14356436,0.05445545,0.02475248,0.06435644
"50+ Units (Own), 3 BR",    Below Median,650000,0.20069204,0.07612457,0.03460208,0.0899654
"50+ Units (Own), 3 BR",    Above Median,650000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.02799267,0.01669381,0.00325733,0.00804153
"50+ Units (Rent), 0-1 BR",    Below Median,121000,0.02231277,0.01377571,0.0,0.00853706
"50+ Units (Rent), 0-1 BR",    Above Median,121000,0.03426124,0.01991435,0.00685225,0.00749465
"50+ Units (Rent), 2 BR",All Values,,0.21696252,0.10173362,0.05356587,0.06166303
"50+ Units (Rent), 2 BR",    Below Median,153000,0.25503626,0.10435133,0.07171636,0.07896857
"50+ Units (Rent), 2 BR",    Above Median,153000,0.17648319,0.09895052,0.03426858,0.04326408
"50+ Units (Rent), 3 BR",All Values,,1.1671135,0.60947274,0.31903485,0.2386059
"50+ Units (Rent), 3 BR",    Below Median,180000,1.1205165,0.53228121,0.29985653,0.28837877
"50+ Units (Rent), 3 BR",    Above Median,180000,1.2440758,0.73696682,0.3507109,0.1563981
All Housing Types (Own) 0-1 BR,All Values,,0.11815068,0.07636986,0.00513699,0.03664384
All Housing Types (Own) 0-1 BR,    Below Median,240000,0.13440514,0.07909968,0.00385852,0.05144695
All Housing Types (Own) 0-1 BR,    Above Median,240000,0.0996337,0.07326007,0.00659341,0.01978022
All Housing Types (Own) 2 BR,All Values,,0.06730463,0.03145136,0.01266348,0.02318979
All Housing Types (Own) 2 BR,    Below Median,295000,0.08518308,0.03199899,0.01922469,0.0339594
All Housing Types (Own) 2 BR,    Above Median,295000,0.04910858,0.03089399,0.00598571,0.01222887
All Housing Types (Own) 3 BR,All Values,,0.34401637,0.15886464,0.0875554,0.09759632
All Housing Types (Own) 3 BR,    Below Median,320000,0.38123099,0.18955772,0.09118405,0.10048922
All Housing Types (Own) 3 BR,    Above Median,320000,0.30438609,0.12617925,0.08369121,0.09451563
All Housing Types (Own) 4-5 BR,All Values,,0.7565504,0.33315626,0.18109704,0.2422971
All Housing Types (Own) 4-5 BR,    Below Median,400000,0.8008269,0.36236226,0.18945008,0.24901456
All Housing Types (Own) 4-5 BR,    Above Median,400000,0.7097312,0.30227302,0.17226432,0.23519386
All Housing Types (Rent) 0-1 BR,All Values,,0.04515821,0.01696419,0.01064955,0.01754446
All Housing Types (Rent) 0-1 BR,    Below Median,121000,0.04094813,0.00858912,0.00892203,0.02343698
All Housing Types (Rent) 0-1 BR,    Above Median,121000,0.04958678,0.02577392,0.01246673,0.01134613
All Housing Types (Rent) 2 BR,All Values,,0.33076307,0.17702354,0.06980875,0.08393078
All Housing Types (Rent) 2 BR,    Below Median,143000,0.37339978,0.20641808,0.07053871,0.09644299
All Housing Types (Rent) 2 BR,    Above Median,143000,0.28740553,0.14713206,0.06906645,0.07120702
All Housing Types (Rent) 3 BR,All Values,,0.71483804,0.32799755,0.18268188,0.20415861
All Housing Types (Rent) 3 BR,    Below Median,171000,0.73432752,0.33051283,0.18881773,0.21499696
All Housing Types (Rent) 3 BR,    Above Median,171000,0.69501118,0.32543872,0.17643982,0.19313264
All Housing Types (Rent) 4-5 BR,All Values,,1.1325914,0.49558361,0.23469235,0.40231548
All Housing Types (Rent) 4-5 BR,    Below Median,203000,1.1034788,0.49764151,0.19565645,0.41018082
All Housing Types (Rent) 4-5 BR,    Above Median,203000,1.162628,0.49346041,0.27496705,0.39420055
