Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13191489,0.05170213,0.0406383,0.03957447
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,0.17198764,0.06405767,0.05499485,0.05293512
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,0.08910891,0.03850385,0.02530253,0.02530253
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.53659254,0.24908437,0.13319163,0.15431655
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,340000,0.58834598,0.27635812,0.13687405,0.17511381
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,340000,0.47614321,0.21722793,0.12889046,0.13002481
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.92789458,0.38930017,0.21429276,0.32430165
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,470000,0.91974054,0.37428599,0.21754284,0.3279117
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,470000,0.9363737,0.40491292,0.21091312,0.32054767
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.06835512,0.04684096,0.01143791,0.01007625
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,265000,0.12404677,0.08388409,0.02135231,0.01881037
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,265000,0.00410557,0.00410557,0.0,0.0
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.63666045,0.29990672,0.1170709,0.21968284
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,257000,0.72963605,0.44800693,0.12045061,0.16117851
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,257000,0.52828283,0.12727273,0.11313131,0.28787879
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04926764,0.0,0.0,0.04926764
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,107000,0.0809628,0.0,0.0,0.0809628
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,107000,0.0,0.0,0.0,0.0
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.22205049,0.1241628,0.05100464,0.04688305
