Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17756866,0.08400431,0.03889536,0.05466898
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 193000,0.18812175,0.08760208,0.04818789,0.05233178
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,193000 to 307000,0.17897964,0.08547946,0.03406493,0.05943525
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 307000,0.16612357,0.07913345,0.0347368,0.05225332
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.42490161,0.18790066,0.09861615,0.13838479
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 260000,0.45091204,0.20408655,0.10435553,0.14246997
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,260000 to 398000,0.40090607,0.17809549,0.08960248,0.1332081
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 398000,0.42249163,0.18196495,0.10130214,0.13922453
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.6833561,0.27990659,0.16419161,0.2392579
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 371000,0.6528606,0.27132073,0.15955238,0.22198749
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,371000 to 595000,0.65116065,0.2628518,0.15529368,0.23301517
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 595000,0.74369619,0.30477168,0.17731423,0.26161029
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.27400433,0.14326779,0.05639893,0.07433761
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 173000,0.29880275,0.1548005,0.06029663,0.08370561
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,173000 to 286000,0.3149434,0.16075472,0.07041509,0.08377358
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 286000,0.21076964,0.11536122,0.03912694,0.05628148
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.56406554,0.25258956,0.13915579,0.17232019
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 193000,0.66235595,0.2822023,0.16743491,0.21271874
