Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.22123826,0.11160167,0.05069671,0.05893987,78368.0,0.01557867,0.19561134,0.24686518,0.11583403
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 103000,0.25783282,0.13091587,0.05544124,0.07147572,25757.0,0.02655772,0.21414537,0.30152027,0.169441
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,103000 to 194000,0.27089073,0.12907733,0.06903022,0.07278317,25047.0,0.03241233,0.21757244,0.32420901,0.19682579
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 194000,0.14192425,0.07767378,0.02960383,0.03464664,27564.0,0.018721,0.1111282,0.1727203,0.21698933
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.42140601,0.18960595,0.09848629,0.13331377,289685.0,0.0093554,0.40601638,0.43679564,0.03651972
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 152000,0.53036285,0.24222211,0.11796429,0.17017645,95495.0,0.02405753,0.49078821,0.56993748,0.07461803
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,152000 to 245000,0.45246372,0.20001711,0.10621731,0.14622929,93497.0,0.01747841,0.42371173,0.48121571,0.0635454
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 245000,0.2892356,0.13003883,0.07283525,0.08636151,100693.0,0.01400123,0.26620357,0.31226762,0.07963068
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.8181907,0.34015933,0.21195608,0.2660753,122766.0,0.0257465,0.77583771,0.8605437,0.05176421
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 200000,0.959368,0.40485319,0.25544891,0.2990659,38861.0,0.06017763,0.8603758,1.0583602,0.10318481
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,200000 to 326000,0.8297393,0.33762472,0.21185413,0.28026045,40391.0,0.0463724,0.7534567,0.9060219,0.09193563
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 326000,0.6813899,0.28473595,0.17320862,0.22344533,43514.0,0.03854588,0.61798193,0.74479787,0.09305681
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14962762,0.08756488,0.02459941,0.03746333,13293.0,0.02593036,0.10697218,0.19228307,0.28507732
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 130000,0.22868397,0.17307692,0.0234013,0.03220575,4316.0,0.06214494,0.12645554,0.3309124,0.44702928
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,130000 to 185000,0.11382316,0.02764633,0.02440847,0.06176837,4015.0,0.03602745,0.05455801,0.17308832,0.52067747
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 185000,0.10983474,0.06166868,0.02579605,0.02237001,4962.0,0.0400615,0.04393357,0.17573592,0.60000297
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.34189845,0.1611479,0.06860927,0.11214128,11325.0,0.05039893,0.25899222,0.42480469,0.2424879
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 142000,0.42543738,0.19855596,0.08219939,0.14468203,3601.0,0.10063158,0.25989842,0.59097633,0.38910299
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,142000 to 210000,0.44515798,0.23375289,0.0680709,0.14333419,3893.0,0.10473209,0.27287368,0.61744227,0.38701832
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 210000,0.15844427,0.05220569,0.05638215,0.04985643,3831.0,0.03929458,0.09380468,0.22308386,0.4079642
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07047341,0.04284175,0.00107738,0.02655428,15779.0,0.02057102,0.03663409,0.10431273,0.48017144
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 63000,0.08863545,0.05602241,0.0,0.03261305,4998.0,0.04094865,0.02127492,0.15599599,0.75997279
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,63000 to 87000,0.07417736,0.0477784,0.0,0.02639896,5379.0,0.02977999,0.02518928,0.12316543,0.66041823
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 87000,0.04998149,0.02573121,0.00314698,0.0211033,5402.0,0.02396663,0.01055638,0.08940659,0.78879411
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30447734,0.17478576,0.04894368,0.0807479,21821.0,0.034192,0.24823149,0.36072319,0.18472917
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 82000,0.30386501,0.153591,0.06215748,0.08811653,6934.0,0.06063499,0.20412046,0.40360957,0.32825284
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,82000 to 105000,0.36951285,0.1984743,0.06236617,0.10867238,7472.0,0.06319873,0.26555093,0.47347476,0.28134858
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 105000,0.2395145,0.170735,0.02306136,0.04571814,7415.0,0.04612398,0.16364055,0.31538844,0.31678227
"2-4 Units (Own/Rent), 3 BR",All Values,,1.1537267,0.4809228,0.33562555,0.33717835,4508.0,0.1915149,0.8386847,1.4687687,0.27306468
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 93000,1.2349091,0.45745455,0.37381818,0.40363636,1375.0,0.30390417,0.73498673,1.7348315,0.40482523
"2-4 Units (Own/Rent), 3 BR",Second Tercile,93000 to 136000,1.4863787,0.69169435,0.44717608,0.34750831,1505.0,0.4691527,0.71462255,2.2581349,0.51921907
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 136000,0.77764128,0.30589681,0.2002457,0.27149877,1628.0,0.28638942,0.30653068,1.2487519,0.60581995
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,755.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 98000,0.0,0.0,0.0,0.0,119.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,98000 to 166000,0.0,0.0,0.0,0.0,228.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 166000,0.0,0.0,0.0,0.0,408.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.00481928,0.0,0.00481928,0.0,1245.0,0.0046879,-0.00289232,0.01253087,1.6001564
"5-49 Units (Own), 2 BR",First Tercile,Below 106000,0.0,0.0,0.0,0.0,279.0,.,.,.,.
"5-49 Units (Own), 2 BR",Second Tercile,106000 to 166000,0.0,0.0,0.0,0.0,434.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 166000,0.0112782,0.0,0.0112782,0.0,532.0,0.01111686,-0.00700904,0.02956543,1.6214683
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,230.0,.,.,.,.
"5-49 Units (Own), 3 BR",First Tercile,Below 185000,0.0,0.0,0.0,0.0,17.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,185000 to 249000,0.0,0.0,0.0,0.0,60.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 249000,0.0,0.0,0.0,0.0,153.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.04923658,0.0230182,0.00863664,0.01758174,25936.0,0.0109529,0.03121905,0.06725411,0.36593783
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 68000,0.07479655,0.03015797,0.01998564,0.02465294,8356.0,0.02669059,0.03089053,0.11870258,0.58700602
"5-49 Units (Rent), 0-1 BR",Second Tercile,68000 to 91000,0.02475361,0.02440981,0.0002292,0.0001146,8726.0,0.01880977,-0.00618846,0.05569568,1.2500025
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 91000,0.04924328,0.01490852,0.00621188,0.02812288,8854.0,0.01680315,0.0216021,0.07688446,0.56131875
"5-49 Units (Rent), 2 BR",All Values,,0.37513338,0.22287172,0.06532127,0.08694039,21555.0,0.0429952,0.30440628,0.44586048,0.18853853
"5-49 Units (Rent), 2 BR",First Tercile,Below 88000,0.37356403,0.18862573,0.08551978,0.09941852,7051.0,0.07323891,0.25308603,0.49404204,0.32250965
"5-49 Units (Rent), 2 BR",Second Tercile,88000 to 117000,0.43356251,0.30166971,0.05808896,0.07380384,7127.0,0.09074685,0.28428394,0.58284108,0.34430692
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.32018436,0.17947675,0.05300258,0.08770503,7377.0,0.05784755,0.22502513,0.41534358,0.29720136
"5-49 Units (Rent), 3 BR",All Values,,0.90193705,0.34120258,0.2732042,0.28753027,4956.0,0.15514252,0.6467276,1.1571465,0.28295705
"5-49 Units (Rent), 3 BR",First Tercile,Below 98000,1.2197802,0.56948933,0.36845507,0.28183581,1547.0,0.40084379,0.56039219,1.8791683,0.54057938
"5-49 Units (Rent), 3 BR",Second Tercile,98000 to 130000,0.71096142,0.27127985,0.19779547,0.2418861,1633.0,0.22904812,0.33417726,1.0877456,0.52996429
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 130000,0.80067568,0.20664414,0.25957207,0.33445946,1776.0,0.20681873,0.46045887,1.1408925,0.42491213
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,381.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 129000,0.0,0.0,0.0,0.0,41.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,129000 to 1047000,0.0,0.0,0.0,0.0,117.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 1047000,0.0,0.0,0.0,0.0,223.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.14606742,0.14606742,0.0,0.0,267.0,0.17293482,-0.13841036,0.43054519,1.9475786
"50+ Units (Own), 2 BR",First Tercile,Below 115000,1.0540541,1.0540541,0.0,0.0,37.0,1.3556,-1.1759079,3.284016,2.115605
"50+ Units (Own), 2 BR",Second Tercile,115000 to 270000,0.0,0.0,0.0,0.0,66.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 270000,0.0,0.0,0.0,0.0,164.0,.,.,.,.
