Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.21822962,0.13507888,0.04699825,0.0361525,9128.0,0.04666578,0.14146442,0.29499483,0.35176344
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.25607477,0.15867082,0.0450675,0.05233645,4815.0,0.07218039,0.13733803,0.3748115,0.46367995
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.1759796,0.10874102,0.04915372,0.01808486,4313.0,0.05680824,0.08253004,0.26942916,0.53102497
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.48344216,0.2261734,0.11777882,0.13948994,68306.0,0.0254577,0.44156425,0.52532007,0.08662445
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,213000,0.6027363,0.30113178,0.13239343,0.16921109,35961.0,0.04015867,0.53667529,0.6687973,0.10960184
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,213000,0.35081156,0.14283506,0.10153038,0.10644613,32345.0,0.03220765,0.29782998,0.40379315,0.15102577
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.0173859,0.42780178,0.25810733,0.33147676,38422.0,0.05951186,0.91948886,1.1152829,0.09622407
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,270000,1.1418035,0.49264966,0.28183885,0.36731498,19795.0,0.09353314,0.98794147,1.2956655,0.1347535
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,270000,0.88516669,0.35888764,0.23288774,0.29339131,18627.0,0.06712953,0.77473861,0.99559478,0.124754
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16285614,0.1129089,0.03200844,0.0179388,2843.0,0.05647506,0.06995467,0.2557576,0.57045112
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,149000,0.18164676,0.09239472,0.05719673,0.03205531,1591.0,0.07526363,0.05783809,0.30545543,0.68159028
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,149000,0.13897764,0.13897764,0.0,0.0,1252.0,0.08593672,-0.00238827,0.28034354,1.0171846
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.32201011,0.1650758,0.07243122,0.08450309,3562.0,0.07193158,0.20368265,0.44033756,0.36746503
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,161000,0.36894118,0.20705882,0.05035294,0.11152941,2125.0,0.10880251,0.18996104,0.54792131,0.48511834
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,161000,0.2526096,0.10299235,0.10508003,0.04453723,1437.0,0.07476101,0.12962775,0.37559146,0.48684553
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05488722,0.04736842,0.0,0.0075188,2660.0,0.02475648,0.0141628,0.09561163,0.7419654
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,85000,0.06352459,0.05806011,0.0,0.00546448,1464.0,0.03702565,0.00261739,0.12443179,0.95879719
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,85000,0.04431438,0.03428094,0.0,0.01003344,1196.0,0.02958605,-0.00435467,0.09298343,1.0982676
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.28766733,0.14924523,0.02136144,0.11706067,3511.0,0.07153068,0.16999936,0.4053353,0.40904184
"2-4 Units  (Own/Rent), 2 BR",    Below Median,97000,0.35348837,0.20258398,0.01808786,0.13281654,1935.0,0.11410824,0.16578032,0.54119642,0.5310162
"2-4 Units  (Own/Rent), 2 BR",    Above Median,97000,0.20685279,0.08375635,0.02538071,0.09771574,1576.0,0.08760227,0.06274706,0.35095853,0.69665841
"2-4 Units (Own/Rent), 3 BR",All Values,,0.64547494,0.16379955,0.18175019,0.29992521,1337.0,0.19679973,0.32173939,0.96921049,0.50154627
"2-4 Units (Own/Rent), 3 BR",    Below Median,118000,0.88489209,0.20383693,0.26738609,0.41366906,834.0,0.32285315,0.35379865,1.4159855,0.60017876
"2-4 Units (Own/Rent), 3 BR",    Above Median,118000,0.24850895,0.09741551,0.03976143,0.11133201,503.0,0.14177329,0.01529189,0.481726,0.93846543
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,188.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,220000,0.0,0.0,0.0,0.0,167.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,220000,0.0,0.0,0.0,0.0,21.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.04615385,0.0,0.04615385,0.0,130.0,0.05216399,-0.03965592,0.13196361,1.8592116
"5-49 Units (Own), 2 BR",    Below Median,106000,0.0,0.0,0.0,0.0,115.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,106000,0.4,0.0,0.4,0.0,15.0,0.49956425,-0.4217832,1.2217832,2.054458
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,25.0,.,.,.,.
"5-49 Units (Own), 3 BR",    Below Median,160000,0.0,0.0,0.0,0.0,14.0,.,.,.,.
"5-49 Units (Own), 3 BR",    Above Median,160000,0.0,0.0,0.0,0.0,11.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.03689533,0.0215906,0.01503143,0.0002733,3659.0,0.02319412,-0.001259,0.07504966,1.0341237
"5-49 Units (Rent), 0-1 BR",    Below Median,91000,0.04239766,0.03849903,0.00389864,0.0,2052.0,0.03270623,-0.01140409,0.09619942,1.2689793
"5-49 Units (Rent), 0-1 BR",    Above Median,91000,0.02986932,0.0,0.02924704,0.00062228,1607.0,0.02643417,-0.01361488,0.07335353,1.4558149
"5-49 Units (Rent), 2 BR",All Values,,0.31762761,0.21967349,0.05476338,0.04319074,4839.0,0.08076701,0.18476588,0.45048934,0.41829403
