Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20598793,0.11352609,0.04650704,0.04595479
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,230000,0.2122348,0.10735437,0.05022865,0.05465177
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,230000,0.19905095,0.12037962,0.04237429,0.03629704
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.52721808,0.24259028,0.11887436,0.16575344
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,291000,0.54497035,0.2472708,0.11422959,0.18346995
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,291000,0.50861813,0.23768626,0.12374092,0.14719094
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.0113678,0.42992912,0.25707535,0.32436335
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,459000,1.0385346,0.44019983,0.25358868,0.34474604
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,459000,0.98127997,0.41855404,0.26093692,0.30178901
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.13547424,0.06223745,0.02957108,0.04366571
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,277000,0.17099638,0.07267346,0.03803573,0.06028719
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,277000,0.09934218,0.05162225,0.02096109,0.02675884
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.53308617,0.25886968,0.14484632,0.12937018
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,424000,0.56826158,0.27946589,0.15398442,0.13481126
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,424000,0.49739448,0.23797117,0.13557408,0.12384923
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.19533768,0.08380181,0.05681733,0.05471854
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,147000,0.13417346,0.0641957,0.04981468,0.02016308
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,147000,0.25788357,0.10385082,0.06397817,0.09005458
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.38431625,0.19701109,0.090278,0.09702716
"2-4 Units  (Own/Rent), 2 BR",    Below Median,198000,0.39826342,0.19645023,0.08976569,0.1120475
"2-4 Units  (Own/Rent), 2 BR",    Above Median,198000,0.37017862,0.1975796,0.09079731,0.08180171
"2-4 Units (Own/Rent), 3 BR",All Values,,0.78085714,0.35485714,0.1851746,0.2408254
"2-4 Units (Own/Rent), 3 BR",    Below Median,267000,0.88439891,0.39935496,0.20211219,0.28293177
"2-4 Units (Own/Rent), 3 BR",    Above Median,267000,0.67648371,0.31000191,0.16810098,0.19838082
"5-49 Units (Own), 0-1 BR",All Values,,0.11911496,0.05972384,0.03027782,0.02911329
"5-49 Units (Own), 0-1 BR",    Below Median,650000,0.06721363,0.02019565,0.0271379,0.01988009
"5-49 Units (Own), 0-1 BR",    Above Median,650000,0.17698804,0.10380014,0.03377903,0.03940887
"5-49 Units (Own), 2 BR",All Values,,0.25120226,0.16173975,0.04992928,0.03953324
"5-49 Units (Own), 2 BR",    Below Median,647000,0.22097018,0.105538,0.07187028,0.04356191
"5-49 Units (Own), 2 BR",    Above Median,647000,0.28325805,0.22133178,0.02666472,0.03526155
"5-49 Units (Own), 3 BR",All Values,,0.7425556,0.39295138,0.17414248,0.17546174
"5-49 Units (Own), 3 BR",    Below Median,863000,0.76228157,0.42894824,0.11737554,0.2159578
"5-49 Units (Own), 3 BR",    Above Median,863000,0.71623405,0.34491861,0.24989001,0.12142543
"5-49 Units (Rent), 0-1 BR",All Values,,0.10097362,0.05919632,0.01664011,0.02513719
"5-49 Units (Rent), 0-1 BR",    Below Median,159000,0.1085554,0.06679523,0.01830295,0.02345722
"5-49 Units (Rent), 0-1 BR",    Above Median,159000,0.09324276,0.05144798,0.01494458,0.0268502
"5-49 Units (Rent), 2 BR",All Values,,0.34840492,0.18136147,0.0724483,0.09459516
"5-49 Units (Rent), 2 BR",    Below Median,189000,0.42063624,0.22893712,0.08222185,0.10947726
"5-49 Units (Rent), 2 BR",    Above Median,189000,0.27460855,0.13275497,0.06246297,0.07939061
"5-49 Units (Rent), 3 BR",All Values,,1.0907363,0.61406844,0.21422399,0.26244383
"5-49 Units (Rent), 3 BR",    Below Median,202000,1.3273474,0.7012143,0.2748418,0.35129126
"5-49 Units (Rent), 3 BR",    Above Median,202000,0.84908297,0.5250655,0.15231441,0.17170306
