Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.19756098,0.09636023,0.05894934,0.04225141
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 85000,0.24775747,0.10514364,0.08618145,0.05643238
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,85000 to 166000,0.17253219,0.09221337,0.03531576,0.04500307
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 166000,0.17299752,0.09186623,0.05408753,0.02704377
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.38488558,0.18569184,0.08565034,0.1135434
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 133000,0.396146,0.1863523,0.09508048,0.11471322
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,133000 to 236000,0.3598535,0.17566852,0.08291413,0.10127085
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 236000,0.39890134,0.19503406,0.07923533,0.12463195
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.76065037,0.34793295,0.17327956,0.23943786
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 209000,0.60604585,0.26212213,0.15386488,0.19005884
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,209000 to 319000,0.76421679,0.34722911,0.18097563,0.23601205
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 319000,0.89117151,0.42284731,0.18299621,0.285328
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.03913611,0.02087259,0.01304537,0.00521815
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 129000,0.09764919,0.05018083,0.04068716,0.00678119
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,129000 to 198000,0.01367366,0.01367366,0.0,0.0
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 198000,0.00962696,0.00120337,0.0,0.00842359
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46987389,0.29649696,0.10994862,0.0634283
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 160000,0.47835431,0.30058336,0.11789991,0.05987105
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,160000 to 211000,0.58483965,0.35422741,0.15364431,0.07696793
