Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17916618,0.08665047,0.03774062,0.05477509,466818.0,0.0051444,0.17070365,0.18762872,0.04723286
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 84000,0.16086226,0.08281342,0.03142686,0.04662198,155313.0,0.00721408,0.1489951,0.17272942,0.07377217
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,84000 to 129000,0.23265129,0.10996182,0.05107216,0.07161732,154781.0,0.01007686,0.21607487,0.24922772,0.0712501
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 129000,0.1444833,0.06743064,0.03083127,0.04622138,156724.0,0.00870686,0.13016051,0.15880608,0.09913111
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.40778062,0.18177382,0.09755094,0.12845586,1760270.0,0.00357849,0.401894,0.41366725,0.01443576
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 115000,0.41347692,0.18251384,0.10257805,0.12838504,566242.0,0.00715333,0.4017097,0.42524415,0.02845921
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,115000 to 183000,0.42847707,0.19432992,0.09917034,0.1349768,588916.0,0.00747257,0.41618469,0.44076944,0.02868853
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,0.38230774,0.1688613,0.09127071,0.12217573,605112.0,0.00684066,0.37105486,0.39356062,0.02943409
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.75141214,0.31043017,0.18272897,0.258253,987156.0,0.0067185,0.7403602,0.76246408,0.01470823
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 173000,0.75962975,0.3118557,0.18418129,0.26359276,323996.0,0.01372146,0.73705795,0.78220155,0.02971421
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,173000 to 300000,0.69617247,0.28621794,0.16911446,0.24084007,330161.0,0.0149914,0.67151162,0.72083333,0.03542349
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,0.79818558,0.33304905,0.1948144,0.27032213,332999.0,0.01387762,0.7753569,0.82101426,0.02860072
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.17188944,0.08785878,0.03990086,0.0441298,122253.0,0.01125404,0.15337654,0.19040235,0.10770239
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 105000,0.21487853,0.11883205,0.05419747,0.041849,39762.0,0.01720953,0.18656885,0.24318821,0.13174736
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,105000 to 159000,0.22704886,0.11069247,0.04971927,0.06663712,40608.0,0.02344564,0.18848078,0.26561694,0.16986687
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.07759712,0.03631545,0.01680873,0.02447294,41883.0,0.0117948,0.05819467,0.09699956,0.25004079
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.45426232,0.22292188,0.11061092,0.12072952,73528.0,0.02338646,0.41579159,0.49273305,0.08468836
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 121000,0.64197783,0.33168378,0.1524682,0.15782586,24451.0,0.05300043,0.55479213,0.72916353,0.13580796
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,121000 to 189000,0.51533305,0.24059489,0.12991202,0.14482614,23870.0,0.04823061,0.43599371,0.5946724,0.15395742
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 189000,0.21434522,0.10068632,0.05173166,0.06192724,25207.0,0.02409093,0.17471565,0.2539748,0.18488667
