Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.22753009,0.11067278,0.05155503,0.06530228,174144.0,0.00866234,0.21328053,0.24177965,0.06262713
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 75000,0.22691251,0.10058954,0.0555954,0.07072757,57163.0,0.01783509,0.19757379,0.25625124,0.12929532
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,75000 to 115000,0.27558934,0.13486724,0.06149316,0.07922894,58413.0,0.01674768,0.2480394,0.30313928,0.09996737
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 115000,0.18020079,0.09638369,0.03769977,0.04611733,58568.0,0.01536419,0.15492669,0.20547489,0.14025521
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46813525,0.21173044,0.11033911,0.1460657,635577.0,0.00642857,0.45756025,0.47871026,0.02258963
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 111000,0.52819521,0.23790413,0.12312642,0.16716466,204822.0,0.01305796,0.50671487,0.54967556,0.04066744
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,111000 to 178000,0.49337966,0.22486638,0.12318751,0.14532578,217587.0,0.01469611,0.46920456,0.51755476,0.04899899
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 178000,0.38465905,0.17317327,0.0849377,0.12654807,213168.0,0.01177093,0.36529586000000003,0.40402223,0.05033857
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.85461296,0.36879593,0.21011625,0.27570079,257210.0,0.01672786,0.82709563,0.88213029,0.03219859
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 177000,0.92805988,0.39297457,0.24101197,0.29407334,83639.0,0.03731612,0.86667487,0.98944489,0.06614337
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,177000 to 300000,0.8054191,0.32778754,0.1973538,0.28027777,83667.0,0.03125828,0.75399924,0.85683897,0.06384237
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,0.83206531,0.38446565,0.19325058,0.25434908,89904.0,0.03310609,0.77760579,0.88652483,0.06545102
