Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.21841344,0.10012924,0.05723429,0.06104991
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,150000,0.25104006,0.12504457,0.06264115,0.06335433
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,150000,0.18338438,0.07337928,0.0514293,0.0585758
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46043096,0.21089323,0.11074411,0.13879362
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,189000,0.51034143,0.23574972,0.13140719,0.14318452
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,189000,0.40763188,0.18459815,0.08888514,0.13414859
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.97802977,0.44350433,0.21935343,0.315172
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,0.9966962,0.4243808,0.23067696,0.34163843
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,0.95795809,0.46406752,0.20717744,0.28671313
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.12562634,0.04545455,0.0511811,0.02899069
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,119000,0.16261808,0.07624831,0.07962213,0.00674764
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,119000,0.08384146,0.01067073,0.01905488,0.05411585
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.5360897,0.38192011,0.0696099,0.08455968
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,143000,0.69371728,0.5122164,0.08420593,0.09729494
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,143000,0.35444947,0.23177476,0.05279035,0.06988436
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.10134529,0.03109118,0.01704036,0.05321375
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,76000,0.0191749,0.01104009,0.00813481,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,76000,0.18842365,0.0523399,0.02647783,0.10960591
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.34075645,0.16525274,0.12071403,0.05478968
"2-4 Units  (Own/Rent), 2 BR",    Below Median,94000,0.27518996,0.14767096,0.08556326,0.04195573
"2-4 Units  (Own/Rent), 2 BR",    Above Median,94000,0.41619156,0.18548081,0.16115545,0.0695553
