Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15259689,0.07272099,0.03415008,0.04572583,401961.0,0.00506099,0.14427157,0.16092221,0.0545576
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 96000,0.15160078,0.07162987,0.03370506,0.04626585,131998.0,0.00806468,0.13833438,0.16486718,0.08750877
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,96000 to 162000,0.17633676,0.08913263,0.03795971,0.04924442,132746.0,0.00933573,0.16097948,0.19169404,0.08709063
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 162000,0.13058878,0.0578937,0.03089267,0.0418024,137217.0,0.00803255,0.11737524,0.14380231,0.10118432
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35741142,0.15832315,0.08430515,0.11478311,1449769.0,0.00389557,0.35100321,0.36381963,0.01792951
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 145000,0.36581102,0.16150009,0.08185443,0.12245651,469040.0,0.00708558,0.35415524,0.3774668,0.03186284
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,145000 to 236000,0.36157215,0.15775838,0.08878171,0.11503206,460489.0,0.00710703,0.34988109,0.37326322,0.03233397
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 236000,0.34615562,0.15595879,0.08255228,0.10764455,520240.0,0.00629825,0.335795,0.35651625,0.02993054
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.68928511,0.28403782,0.16889239,0.2363549,982679.0,0.00749614,0.67695395,0.70161626,0.01788977
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 236000,0.65482264,0.26384496,0.1633317,0.22764598,320893.0,0.01371698,0.6322582,0.67738707,0.03445885
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,236000 to 400000,0.67173008,0.27972044,0.1669928,0.22501684,310199.0,0.01500848,0.64704113,0.69641903,0.03675427
