Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.21309068,0.09268485,0.05137213,0.0690337
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 55000,0.26472168,0.12866177,0.06354036,0.07251954
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,55000 to 97000,0.20861671,0.08114022,0.04607014,0.08140635
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 97000,0.17021796,0.0705464,0.04516707,0.05450449
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.40984361,0.15646367,0.10240308,0.15097687
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 85000,0.44716277,0.18287661,0.1092197,0.15506646
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,85000 to 130000,0.40569317,0.14673186,0.10742869,0.15153262
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 130000,0.38228155,0.14364512,0.09167481,0.14696162
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.46881283,0.17849129,0.11240094,0.1779206
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 105000,0.46663907,0.19465441,0.11179123,0.16019343
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,105000 to 177000,0.41686782,0.15190838,0.09588196,0.16907748
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 177000,0.52449616,0.19207776,0.13003835,0.20238006
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.24745452,0.11099983,0.06676682,0.06968787
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 57000,0.35020936,0.19299581,0.07499048,0.08222307
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,57000 to 94000,0.2490082,0.08648506,0.07352552,0.08899762
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 94000,0.15103861,0.0569182,0.05316277,0.04095763
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.4052992,0.15962824,0.10878852,0.13688244
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 77000,0.55864992,0.23651683,0.12703698,0.19509611
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,77000 to 117000,0.36647741,0.1338435,0.10387559,0.12875833
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 117000,0.29928484,0.11249647,0.09645243,0.09033594
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.03508772,0.01424501,0.01409507,0.00674764
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 43000,0.04604052,0.02946593,0.0,0.01657459
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,43000 to 60000,0.04578097,0.01391382,0.03186715,0.0
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 60000,0.01410313,0.0,0.01013662,0.00396651
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.21190849,0.12434973,0.04324663,0.04431213
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 50000,0.2035535,0.12070297,0.05504056,0.02780997
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,50000 to 73000,0.2877429,0.17432735,0.05960389,0.05381166
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 73000,0.14506912,0.07852535,0.01585253,0.05069124
"2-4 Units (Own/Rent), 3 BR",All Values,,0.58045752,0.25098754,0.16764336,0.16182663
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 66000,0.8141713,0.34030134,0.2697163,0.20415366
"2-4 Units (Own/Rent), 3 BR",Second Tercile,66000 to 125000,0.57360862,0.23352142,0.16555527,0.17453193
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 125000,0.36852134,0.18470528,0.07418699,0.10962907
"5-49 Units (Own), 0-1 BR",All Values,,0.03303143,0.00905701,0.0,0.02397443
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,0.05168986,0.0,0.0,0.05168986
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 166000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 166000,0.0512091,0.02418208,0.0,0.02702703
"5-49 Units (Own), 2 BR",All Values,,0.15127222,0.04862321,0.05942837,0.04322063
"5-49 Units (Own), 2 BR",First Tercile,Below 106000,0.16019956,0.05875831,0.0559867,0.04545455
"5-49 Units (Own), 2 BR",Second Tercile,106000 to 179000,0.13329706,0.05495103,0.0609358,0.01741023
"5-49 Units (Own), 2 BR",Third Tercile ,Above 179000,0.15935115,0.03435115,0.0610687,0.0639313
"5-49 Units (Own), 3 BR",All Values,,0.30550414,0.14422796,0.07067706,0.09059912
"5-49 Units (Own), 3 BR",First Tercile,Below 126000,0.34293553,0.13275415,0.07971346,0.13046792
"5-49 Units (Own), 3 BR",Second Tercile,126000 to 166000,0.31379651,0.19245966,0.06815937,0.05317748
"5-49 Units (Own), 3 BR",Third Tercile ,Above 166000,0.26801773,0.11665611,0.0651045,0.08625712
"5-49 Units (Rent), 0-1 BR",All Values,,0.0288191,0.00980914,0.00471447,0.01429549
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 24000,0.02421251,0.00611189,0.00352609,0.01457452
"5-49 Units (Rent), 0-1 BR",Second Tercile,24000 to 48000,0.03432494,0.00983982,0.01075515,0.01372998
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 48000,0.027833,0.01325381,0.0,0.01457919
"5-49 Units (Rent), 2 BR",All Values,,0.33983512,0.21100275,0.06050973,0.06832265
"5-49 Units (Rent), 2 BR",First Tercile,Below 23000,0.41549296,0.2880773,0.07566328,0.05175237
"5-49 Units (Rent), 2 BR",Second Tercile,23000 to 52000,0.38592785,0.23448164,0.07377316,0.07767306
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 52000,0.22146372,0.11335133,0.03286236,0.07525004
"5-49 Units (Rent), 3 BR",All Values,,0.92814527,0.48741894,0.20691742,0.23380891
"5-49 Units (Rent), 3 BR",First Tercile,Below 30000,1.1106113,0.58772162,0.25218312,0.27070654
"5-49 Units (Rent), 3 BR",Second Tercile,30000 to 69000,1.0368468,0.59455643,0.22788548,0.21440493
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 69000,0.64216883,0.28279584,0.1419761,0.21739689
"50+ Units (Own), 0-1 BR",All Values,,0.04135649,0.0,0.03308519,0.0082713
"50+ Units (Own), 0-1 BR",First Tercile,Below 110000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,110000 to 167000,0.0228833,0.0,0.0,0.0228833
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 167000,0.0880088,0.0,0.0880088,0.0
"50+ Units (Own), 2 BR",All Values,,0.11784579,0.07015103,0.02225755,0.0254372
