Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.17426273,0.09149028,0.03753976,0.04523269,160017.0,0.00874167,0.15988269,0.18864278,0.08251934
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 90000,0.20610716,0.11051683,0.0454623,0.05012802,52725.0,0.01766206,0.17705307,0.23516124,0.14096592
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,90000 to 159000,0.20830597,0.109933,0.04485146,0.0535215,53287.0,0.01727323,0.1798915,0.23672043,0.13640736
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,0.10958245,0.05471716,0.0225905,0.03227479,54005.0,0.00972031,0.09359253,0.12557236,0.14591677
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.35830588,0.16066251,0.08748265,0.11016072,723915.0,0.00479449,0.35041894,0.36619281,0.02201174
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 140000,0.41350235,0.18121458,0.10567885,0.12660892,230434.0,0.01211021,0.39358105,0.43342365,0.048177
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,140000 to 225000,0.38108648,0.17163458,0.09377637,0.11567552,246448.0,0.00967122,0.36517732,0.39699563,0.04174684
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 225000,0.2840916,0.13054531,0.06423029,0.089316,247033.0,0.00847831,0.27014478,0.29803842,0.04909269
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.70079965,0.29328873,0.16921649,0.23829443,376039.0,0.01046746,0.68358067,0.71801863,0.02457047
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 221000,0.69622058,0.29644196,0.16288333,0.23689529,119251.0,0.02385278,0.65698275,0.7354584,0.05635833
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,221000 to 378000,0.75222882,0.32304872,0.17958406,0.24959604,124393.0,0.02119939,0.71735583,0.78710182,0.04635956
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 378000,0.65660335,0.26248725,0.16517995,0.22893614,132395.0,0.02126687,0.62161935,0.69158734,0.05328026
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.16543511,0.08809814,0.03809455,0.03924241,27878.0,0.0181228,0.1356231,0.19524712,0.18020366
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 113000,0.20176503,0.10799779,0.03618312,0.05758411,9065.0,0.03523515,0.14380322,0.25972684,0.28727384
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,113000 to 165000,0.20180335,0.12312151,0.05592529,0.02275655,9316.0,0.03506805,0.14411641,0.25949029,0.28585719
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 165000,0.09508266,0.03474782,0.02242814,0.03790671,9497.0,0.02201642,0.05886564,0.13129967,0.38090034
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.29280683,0.12283257,0.06590355,0.10407071,29528.0,0.02789578,0.24691826,0.33869539,0.15671958
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 160000,0.45219419,0.19514522,0.10907356,0.14797541,9434.0,0.0614967,0.35103213,0.55335626,0.22371377
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,160000 to 233000,0.32721081,0.14786916,0.07202559,0.10731607,9691.0,0.05640306,0.23442778,0.41999385,0.28355735
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 233000,0.11621648,0.03393252,0.02105162,0.06123234,10403.0,0.02516509,0.0748199,0.15761305,0.35620226
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.08124507,0.04787433,0.01442048,0.01895026,24063.0,0.01757193,0.05233924,0.11015089,0.35578561
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 50000,0.1009896,0.05100228,0.02664298,0.02334433,7882.0,0.03325251,0.04628921,0.15568998,0.54164376
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,50000 to 90000,0.04570654,0.0205741,0.00246396,0.02266847,8117.0,0.01325502,0.02390203,0.06751105,0.47705441
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 90000,0.09771825,0.07229663,0.01450893,0.0109127,8064.0,0.04026976,0.0314745,0.16396201,0.67790565
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.284743,0.15129391,0.0577603,0.07568879,47801.0,0.01813431,0.25491206,0.31457394,0.10476443
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 85000,0.3335655,0.18989426,0.05831698,0.08535427,15793.0,0.03908134,0.2692767,0.39785431,0.19273217
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,85000 to 113000,0.29859745,0.14317446,0.07526813,0.08015485,15757.0,0.03702386,0.2376932,0.3595017,0.20396775
