Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15780036,0.09012894,0.03441209,0.03325933,23422.0,0.02357683,0.11901647,0.19658424,0.24577817
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.18973727,0.10845649,0.04178982,0.03949097,12180.0,0.03439749,0.1331534,0.24632115,0.29822224
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.12319872,0.07027219,0.02641879,0.02650774,11242.0,0.03181668,0.07086028,0.17553716,0.4248294
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.38834469,0.18716343,0.09565423,0.10552703,207236.0,0.0114968,0.36943245,0.40725693,0.04869963
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,215000,0.44285878,0.20985147,0.11500696,0.11800034,104898.0,0.02001799,0.40992918,0.47578837,0.07435687
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,215000,0.33246692,0.16390783,0.07581739,0.0927417,102338.0,0.01547455,0.30701128,0.35792256,0.07656593
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.83499487,0.36023203,0.20682865,0.26793418,178249.0,0.01881177,0.8040495,0.86594023,0.03706055
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,0.89335332,0.39813177,0.21690685,0.27831471,92708.0,0.02926363,0.84521466,0.94149199,0.05388536
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,0.77174688,0.3191569,0.19590606,0.25668393,85541.0,0.0302188,0.72203696,0.8214568,0.06441221
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.13628436,0.07025995,0.03255544,0.03346898,12041.0,0.02464634,0.09574113,0.17682759,0.29748996
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,145000,0.15744885,0.08407928,0.04267903,0.03069054,6256.0,0.03850459,0.0941088,0.2207889,0.40228968
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,145000,0.11339672,0.05531547,0.02160761,0.03647364,5785.0,0.02940169,0.06503093,0.1617625,0.42651841
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.27768023,0.11715882,0.06448524,0.09603618,18795.0,0.03229165,0.22456047,0.33079999,0.19129831
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,0.36671924,0.16009464,0.09049685,0.11612776,10144.0,0.05599132,0.27461352,0.45882497,0.25116142
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,200000,0.17327477,0.06681309,0.03398451,0.07247717,8651.0,0.0372191,0.11204935,0.23450018,0.35334294
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.15898251,0.11552729,0.01324854,0.03020668,3774.0,0.06718536,0.04846259,0.26950243,0.69517028
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,83000,0.12917485,0.07563851,0.02455796,0.02897839,2036.0,0.07632158,0.00362585,0.25472386,0.97193069
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,83000,0.19390104,0.16225547,0.0,0.03164557,1738.0,0.12097829,-0.00510826,0.39291033,1.0263447
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.23568121,0.13429198,0.04387034,0.05751889,8206.0,0.04836332,0.15612355,0.31523887,0.3375647
"2-4 Units  (Own/Rent), 2 BR",    Below Median,102000,0.22663828,0.13792288,0.04187367,0.04684173,4227.0,0.06523798,0.11932181,0.33395475,0.47351433
"2-4 Units  (Own/Rent), 2 BR",    Above Median,102000,0.24528776,0.13043478,0.04599146,0.06886152,3979.0,0.0719428,0.12694185,0.36363367,0.48247784
"2-4 Units (Own/Rent), 3 BR",All Values,,0.62202459,0.29505624,0.14988229,0.17708606,3823.0,0.12971443,0.40864435,0.83540483,0.34304148
"2-4 Units (Own/Rent), 3 BR",    Below Median,132000,0.7763285,0.41642512,0.19275362,0.16714976,2070.0,0.22035238,0.41384884,1.1388082,0.46691531
"2-4 Units (Own/Rent), 3 BR",    Above Median,132000,0.43981746,0.15173987,0.09925841,0.18881917,1753.0,0.16740291,0.16443967,0.71519524,0.62611836
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,475.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,150000,0.0,0.0,0.0,0.0,295.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,150000,0.0,0.0,0.0,0.0,180.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.01627219,0.01442308,0.0,0.00184911,2704.0,0.01525115,-0.00881595,0.04136033,1.5417804
"5-49 Units (Own), 2 BR",    Below Median,180000,0.0,0.0,0.0,0.0,1451.0,.,.,.,.
"5-49 Units (Own), 2 BR",    Above Median,180000,0.03511572,0.0311253,0.0,0.00399042,1253.0,0.03308541,-0.01930978,0.08954123,1.5498899
"5-49 Units (Own), 3 BR",All Values,,0.08908686,0.03563474,0.0315516,0.02190052,2694.0,0.0553622,-0.00198396,0.18015768,1.02227
"5-49 Units (Own), 3 BR",    Below Median,200000,0.12148962,0.05860806,0.02686203,0.03601954,1638.0,0.0878709,-0.02305801,0.26603725,1.1897941
"5-49 Units (Own), 3 BR",    Above Median,200000,0.03882576,0.0,0.03882576,0.0,1056.0,0.04579326,-0.03650415,0.11415567,1.9402045
"5-49 Units (Rent), 0-1 BR",All Values,,0.02968779,0.00548225,0.01537818,0.00882736,21524.0,0.00867818,0.01541218,0.0439634,0.48085784
"5-49 Units (Rent), 0-1 BR",    Below Median,119000,0.04068928,0.00748827,0.01822447,0.01497654,11084.0,0.01511216,0.01582977,0.06554879,0.61095965
"5-49 Units (Rent), 0-1 BR",    Above Median,119000,0.01800766,0.00335249,0.01235632,0.00229885,10440.0,0.00927945,0.00274296,0.03327236,0.84767799
"5-49 Units (Rent), 2 BR",All Values,,0.3237458,0.16858184,0.06649383,0.08867012,28544.0,0.03087882,0.27295013,0.37454146,0.15689984
"5-49 Units (Rent), 2 BR",    Below Median,128000,0.40920047,0.21919978,0.09269334,0.09730735,14521.0,0.0496318,0.32755615,0.49084478,0.19952155
"5-49 Units (Rent), 2 BR",    Above Median,128000,0.23525636,0.1161663,0.0393639,0.07972616,14023.0,0.03677661,0.17475884,0.29575389,0.25715574
"5-49 Units (Rent), 3 BR",All Values,,0.98942875,0.51331571,0.22036999,0.25574304,9838.0,0.12515353,0.78355119,1.1953063,0.20807719
"5-49 Units (Rent), 3 BR",    Below Median,139000,0.97061176,0.46761295,0.26769292,0.23530588,5002.0,0.17957049,0.67521829,1.2660052,0.3043374
"5-49 Units (Rent), 3 BR",    Above Median,139000,1.0088916,0.56058726,0.17142266,0.27688172,4836.0,0.18594013,0.70302014,1.3147632,0.30317578
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,441.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,180000,0.0,0.0,0.0,0.0,282.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,180000,0.0,0.0,0.0,0.0,159.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.11517367,0.04570384,0.04570384,0.023766,547.0,0.11454814,-0.07325801,0.30360536,1.6360656
"50+ Units (Own), 2 BR",    Below Median,280000,0.0,0.0,0.0,0.0,323.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,280000,0.28125,0.11160714,0.11160714,0.05803571,224.0,0.28268657,-0.18376941,0.74626941,1.6534024
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,291.0,.,.,.,.
"50+ Units (Own), 3 BR",    Below Median,350000,0.0,0.0,0.0,0.0,191.0,.,.,.,.
"50+ Units (Own), 3 BR",    Above Median,350000,0.0,0.0,0.0,0.0,100.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.00797448,0.00034176,0.0,0.00763272,8778.0,0.00611908,-0.00209141,0.01804037,1.2622624
"50+ Units (Rent), 0-1 BR",    Below Median,132000,0.00424107,0.00066964,0.0,0.00357143,4480.0,0.00472187,-0.00352641,0.01200856,1.8314909
"50+ Units (Rent), 0-1 BR",    Above Median,132000,0.01186598,0.0,0.0,0.01186598,4298.0,0.01145376,-0.00697545,0.03070741,1.5878523
"50+ Units (Rent), 2 BR",All Values,,0.14405086,0.05740236,0.04741144,0.03923706,5505.0,0.04386048,0.07190037,0.21620136,0.5008682
"50+ Units (Rent), 2 BR",    Below Median,158000,0.19916435,0.07869081,0.07729805,0.04317549,2872.0,0.07013672,0.08378944,0.31453926,0.579295
"50+ Units (Rent), 2 BR",    Above Median,158000,0.08393468,0.03418154,0.014812,0.03494113,2633.0,0.04587382,0.00847225,0.1593971,0.89906142
"50+ Units (Rent), 3 BR",All Values,,0.55116443,0.2335921,0.07692308,0.24064926,1417.0,0.22961159,0.17345337,0.9288755,0.68529651
"50+ Units (Rent), 3 BR",    Below Median,184000,0.76470588,0.31298557,0.10432852,0.34739179,901.0,0.37292923,0.15123729,1.3781745,0.80222815
"50+ Units (Rent), 3 BR",    Above Median,184000,0.17829457,0.09496124,0.02906977,0.05426357,516.0,0.09991663,0.01393172,0.34265743,0.92186123
All Housing Types (Own) 0-1 BR,All Values,,0.0927062,0.04771643,0.01772324,0.02726653,2934.0,0.0393562,0.02796525,0.15744715,0.69834538
All Housing Types (Own) 0-1 BR,    Below Median,175000,0.08376623,0.03571429,0.03376623,0.01428571,1540.0,0.04329676,0.01254307,0.1549894,0.85026102
All Housing Types (Own) 0-1 BR,    Above Median,175000,0.1025825,0.06097561,0.0,0.04160689,1394.0,0.06456504,-0.003627,0.20879199,1.0353569
All Housing Types (Own) 2 BR,All Values,,0.10243141,0.05747795,0.01864895,0.02630451,32656.0,0.01337249,0.08043366,0.12442915,0.21475585
All Housing Types (Own) 2 BR,    Below Median,200000,0.09602509,0.05603474,0.01109838,0.02889197,16579.0,0.01372739,0.07344353,0.11860665,0.23516315
All Housing Types (Own) 2 BR,    Above Median,200000,0.10903776,0.05896623,0.02643528,0.02363625,16077.0,0.02270288,0.07169152,0.14638399,0.34250735
All Housing Types (Own) 3 BR,All Values,,0.34048305,0.16089976,0.08310286,0.09648042,208633.0,0.01122508,0.3220178,0.3589483,0.05423252
All Housing Types (Own) 3 BR,    Below Median,220000,0.38373848,0.17603003,0.09976446,0.10794399,108686.0,0.01675635,0.35617428,0.41130268,0.07183069
All Housing Types (Own) 3 BR,    Above Median,220000,0.29344553,0.14444656,0.06498444,0.08401453,99947.0,0.01396861,0.27046716,0.31642389,0.07830538
All Housing Types (Own) 4-5 BR,All Values,,0.81482638,0.35045226,0.20246605,0.26190807,172908.0,0.01915443,0.78331735,0.84633542,0.03866963
All Housing Types (Own) 4-5 BR,    Below Median,315000,0.86504126,0.38645791,0.21010866,0.26847468,88716.0,0.03058013,0.81473694,0.91534557,0.05815251
All Housing Types (Own) 4-5 BR,    Above Median,315000,0.76191325,0.31251188,0.19441277,0.2549886,84192.0,0.03036117,0.71196912,0.81185737,0.06555093
All Housing Types (Rent) 0-1 BR,All Values,,0.04064923,0.01896964,0.01098394,0.01069565,34687.0,0.00919636,0.02552123,0.05577724,0.37215972
All Housing Types (Rent) 0-1 BR,    Below Median,118000,0.05078522,0.01982827,0.01423568,0.01672127,17702.0,0.01362307,0.02837527,0.07319517,0.44126912
All Housing Types (Rent) 0-1 BR,    Above Median,118000,0.03008537,0.01807477,0.00759494,0.00441566,16985.0,0.01369708,0.00755368,0.05261706,0.74892529
All Housing Types (Rent) 2 BR,All Values,,0.29116387,0.15262973,0.06484797,0.07368617,48313.0,0.02213453,0.25475256,0.32757518,0.12505434
All Housing Types (Rent) 2 BR,    Below Median,125000,0.37338634,0.19917217,0.08802918,0.08618499,24401.0,0.0378882,0.31106024,0.43571243,0.1669212
All Housing Types (Rent) 2 BR,    Above Median,125000,0.20725995,0.1051355,0.04119271,0.06093175,23912.0,0.0241703,0.1674998,0.2470201,0.19183711
