Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.18600302,0.08866081,0.04091318,0.05642902
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.1805352,0.0816378,0.04482452,0.05407288
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 151000,0.22265152,0.11613818,0.04431769,0.06219565
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 151000,0.15397958,0.06748466,0.03365502,0.0528399
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.41208662,0.18419609,0.09987649,0.12801405
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 137000,0.46669398,0.21897634,0.11032535,0.13739229
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,137000 to 227000,0.41620034,0.18280523,0.10346886,0.12992625
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 227000,0.35636779,0.1524703,0.08658358,0.11731392
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.73248772,0.3070009,0.1791116,0.24637521
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 216000,0.8015341,0.33891001,0.19681646,0.26580764
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,216000 to 382000,0.72289691,0.29678827,0.18593025,0.24017839
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 382000,0.6765832,0.28681907,0.15570161,0.23406251
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.2055712,0.10414957,0.05293974,0.04848189
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 116000,0.25231824,0.11954038,0.06732966,0.06544819
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,116000 to 182000,0.21077869,0.11845749,0.04295266,0.04936854
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 182000,0.15538961,0.07551948,0.04863636,0.03123377
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.36724678,0.15231433,0.10111979,0.11381265
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 159000,0.56357359,0.27354338,0.130082,0.15994821
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,159000 to 261000,0.39715682,0.14331408,0.12874278,0.12509996
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 261000,0.16023151,0.04899707,0.04986918,0.06136526
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04460589,0.02398568,0.00600978,0.01461043
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 54000,0.02550522,0.01988266,0.0,0.00562256
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,54000 to 84000,0.04131179,0.02547162,0.01456658,0.00127358
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 84000,0.06648683,0.02649952,0.00333228,0.03665503
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.29005538,0.16017398,0.05573646,0.07414494
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 81000,0.23654118,0.12814463,0.03626529,0.07213127
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,81000 to 109000,0.29815964,0.16489212,0.06134537,0.07192215
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 109000,0.33412431,0.18668319,0.06909864,0.07834248
"2-4 Units (Own/Rent), 3 BR",All Values,,0.92986596,0.44605437,0.25099113,0.23282046
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 93000,1.1040653,0.56942456,0.23890638,0.29573433
"2-4 Units (Own/Rent), 3 BR",Second Tercile,93000 to 139000,0.93586595,0.42770475,0.29336993,0.21479128
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 139000,0.75697211,0.34510235,0.22228328,0.18958648
"5-49 Units (Own), 0-1 BR",All Values,,0.01644245,0.01644245,0.0,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 99000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,99000 to 225000,0.01179941,0.01179941,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 225000,0.03293808,0.03293808,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.10197145,0.07273963,0.01971448,0.00951734
"5-49 Units (Own), 2 BR",First Tercile,Below 143000,0.02409639,0.01874163,0.0,0.00535475
"5-49 Units (Own), 2 BR",Second Tercile,143000 to 232000,0.2044293,0.18270869,0.0149063,0.00681431
"5-49 Units (Own), 2 BR",Third Tercile ,Above 232000,0.07809111,0.02313811,0.03976862,0.01518438
"5-49 Units (Own), 3 BR",All Values,,0.20128755,0.12703863,0.04549356,0.02875536
"5-49 Units (Own), 3 BR",First Tercile,Below 177000,0.16550523,0.04878049,0.0,0.11672474
"5-49 Units (Own), 3 BR",Second Tercile,177000 to 290000,0.39599555,0.27808676,0.11790879,0.0
"5-49 Units (Own), 3 BR",Third Tercile ,Above 290000,0.0210035,0.0210035,0.0,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.05370098,0.02833524,0.01445587,0.01090988
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 79000,0.03125414,0.01542842,0.00652231,0.0093034
"5-49 Units (Rent), 0-1 BR",Second Tercile,79000 to 116000,0.04060634,0.02395482,0.01181511,0.00483641
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 116000,0.08867186,0.04530608,0.02483588,0.0185299
"5-49 Units (Rent), 2 BR",All Values,,0.33663789,0.18289953,0.07526657,0.0784718
"5-49 Units (Rent), 2 BR",First Tercile,Below 94000,0.34001075,0.17672351,0.07521864,0.0880686
"5-49 Units (Rent), 2 BR",Second Tercile,94000 to 133000,0.36148395,0.20544632,0.08171903,0.07431861
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 133000,0.30881616,0.1666786,0.06894411,0.07319344
"5-49 Units (Rent), 3 BR",All Values,,0.92302829,0.41931405,0.23806701,0.26564723
"5-49 Units (Rent), 3 BR",First Tercile,Below 106000,1.0485614,0.44069443,0.28202015,0.32584679
"5-49 Units (Rent), 3 BR",Second Tercile,106000 to 157000,0.92766156,0.43227767,0.23115578,0.26422812
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 157000,0.79692272,0.38560019,0.20249002,0.20883251
"50+ Units (Own), 0-1 BR",All Values,,0.01672104,0.01223491,0.00448613,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 181000,0.03921569,0.03921569,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,181000 to 348000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 348000,0.01203501,0.0,0.01203501,0.0
"50+ Units (Own), 2 BR",All Values,,0.01577465,0.01577465,0.0,0.0
"50+ Units (Own), 2 BR",First Tercile,Below 188000,0.0512334,0.0512334,0.0,0.0
"50+ Units (Own), 2 BR",Second Tercile,188000 to 344000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 344000,0.00149477,0.00149477,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 216000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,216000 to 424000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 424000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.01014895,0.00454953,0.00247162,0.0031278
"50+ Units (Rent), 0-1 BR",First Tercile,Below 73000,0.00608144,0.00330513,0.00118985,0.00158646
"50+ Units (Rent), 0-1 BR",Second Tercile,73000 to 153000,0.00706436,0.00327054,0.00071952,0.00307431
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 153000,0.01725152,0.00705744,0.00548912,0.00470496
