Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.19763774,0.09599748,0.0429693,0.05867097
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,162000,0.2367597,0.11313819,0.06392103,0.05970048
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,162000,0.15611906,0.07780668,0.020734,0.05757838
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.48362895,0.21893151,0.12074213,0.1439553
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,225000,0.5393773,0.25567335,0.13449802,0.14920594
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,225000,0.42711526,0.18168527,0.1067974,0.13863259
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.85998453,0.37360226,0.20823108,0.27815118
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,355000,0.92837795,0.39958127,0.23786092,0.29093576
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,355000,0.7885174,0.34645572,0.17726964,0.26479204
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14947911,0.07737329,0.04213976,0.02996605
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,175000,0.20594409,0.10573417,0.04662468,0.05358524
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,175000,0.0858743,0.04542626,0.03708774,0.0033603
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.23053836,0.09472894,0.07453261,0.06127681
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,242000,0.29893677,0.12613318,0.09434807,0.07845551
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,242000,0.14395013,0.05497308,0.04944744,0.03952961
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05516194,0.02361673,0.02041161,0.0111336
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,78000,0.03087028,0.0,0.03087028,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,78000,0.08081859,0.04856053,0.00936524,0.02289282
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.24502921,0.12791315,0.03781934,0.07929671
"2-4 Units  (Own/Rent), 2 BR",    Below Median,101000,0.26046351,0.1277528,0.04831085,0.08439986
