Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.31919122,0.14854789,0.07689718,0.09374615,763370,0.00599792,0.30932464,0.3290578,0.03091119
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.32874878,0.15283263,0.07960465,0.0963115,250915,0.01021066,0.31195224,0.34554532,0.05109232
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 155000,0.40437054,0.19719422,0.09454641,0.11262991,255758,0.01346599,0.38221899,0.42652208,0.05478032
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 155000,0.2249812,0.09589126,0.05666603,0.07242391,256697,0.008835,0.21044763,0.23951478,0.06459907
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.51144141,0.22897417,0.12298864,0.15947859,3452896,0.00315774,0.50624693,0.51663589,0.01015655
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 144000,0.59317789,0.25620098,0.1460305,0.19094641,1124902,0.00686398,0.58188665,0.60446914,0.01903518
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,144000 to 228000,0.56266758,0.25691552,0.13558867,0.1701634,1138635,0.00679449,0.55149064,0.57384452,0.0198642
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 228000,0.38509315,0.17647321,0.08913289,0.11948705,1189359,0.00504475,0.37679453,0.39339176,0.02154962
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.84209613,0.35654149,0.20690099,0.27865366,2316973,0.00548287,0.83307682,0.85111545,0.01071055
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 228000,0.91008633,0.37071247,0.22298104,0.31639283,748974,0.01255132,0.88943941,0.93073325,0.02268677
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,228000 to 376000,0.79727433,0.35197293,0.19149419,0.25380722,758493,0.01092511,0.77930252,0.81524615,0.02254157
