Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.31919122,0.14854789,0.07689718,0.09374615
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,0.32874878,0.15283263,0.07960465,0.0963115
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 155000,0.40437054,0.19719422,0.09454641,0.11262991
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 155000,0.2249812,0.09589126,0.05666603,0.07242391
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.51144141,0.22897417,0.12298864,0.15947859
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 144000,0.59317789,0.25620098,0.1460305,0.19094641
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,144000 to 228000,0.56266758,0.25691552,0.13558867,0.1701634
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 228000,0.38509315,0.17647321,0.08913289,0.11948705
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.84209613,0.35654149,0.20690099,0.27865366
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 228000,0.91008633,0.37071247,0.22298104,0.31639283
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,228000 to 376000,0.79727433,0.35197293,0.19149419,0.25380722
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 376000,0.82118724,0.34771083,0.20645925,0.26701717
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.3379769,0.16774447,0.08073029,0.08950214
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 120000,0.44784628,0.22090598,0.11239954,0.11454075
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,120000 to 185000,0.42419355,0.21049754,0.10169492,0.11200109
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 185000,0.14483771,0.07326157,0.02892405,0.0426521
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.48625809,0.21790925,0.11593004,0.1524188
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 155000,0.60392553,0.24961806,0.14529118,0.20901629
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,155000 to 247000,0.61679601,0.29148892,0.15410906,0.17119803
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 247000,0.2440608,0.11503423,0.05000503,0.07902154
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.10438994,0.05872007,0.01990948,0.02576038
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 78000,0.09209261,0.04696349,0.02,0.02512912
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,78000 to 106000,0.12263557,0.07686794,0.02005175,0.02571588
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 106000,0.09821741,0.05211465,0.01967843,0.02642433
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.48107348,0.25183501,0.10518066,0.12405782
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 98000,0.46934792,0.24874693,0.10373994,0.11686105
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,98000 to 131000,0.50175788,0.26260401,0.11373491,0.12541896
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 131000,0.47175165,0.24403423,0.09799513,0.12972228
"2-4 Units (Own/Rent), 3 BR",All Values,,1.0174927,0.4689948,0.23597414,0.31252377
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 111000,1.1632747,0.5716909,0.26576129,0.32582249
"2-4 Units (Own/Rent), 3 BR",Second Tercile,111000 to 155000,1.1184872,0.48872639,0.26603443,0.36372639
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 155000,0.77357137,0.34811655,0.17679475,0.24866007
"5-49 Units (Own), 0-1 BR",All Values,,0.04447247,0.01580496,0.01101303,0.01765448
"5-49 Units (Own), 0-1 BR",First Tercile,Below 90000,0.05565576,0.01288328,0.02267457,0.02009791
"5-49 Units (Own), 0-1 BR",Second Tercile,90000 to 180000,0.02544987,0.00899743,0.01105398,0.00539846
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 180000,0.05189137,0.02497575,0.0,0.02691562
