Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.33695357,0.15499286,0.0877528,0.09420791,114173,0.01623807,0.31024194,0.3636652,0.07927392
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,180000,0.47483929,0.22729315,0.12080943,0.12673671,57868,0.02841886,0.42809027,0.52158831,0.0984523
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,180000,0.19524021,0.08068555,0.05377853,0.06077613,56305,0.01692728,0.16739484,0.22308558,0.1426211
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.55219679,0.25432644,0.13081801,0.16705234,982273,0.00717909,0.54038719,0.56400639,0.02138657
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,225000,0.66934137,0.30469364,0.16134658,0.20330115,511458,0.01091481,0.6513865,0.68729624,0.02682468
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,225000,0.42493973,0.19961131,0.09765407,0.12767435,470815,0.00921935,0.40977389,0.44010557,0.03568939
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.96301798,0.41879272,0.23942489,0.30480037,1130225,0.00953382,0.94733484,0.97870112,0.01628541
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,329000,0.9951058,0.43739887,0.24424659,0.31346034,578440,0.01549949,0.96960914,1.0206025,0.02562206
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,329000,0.9293801,0.39928777,0.23437027,0.29572207,551785,0.01399784,0.90635365,0.95240655,0.02477614
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21039923,0.1045557,0.05851578,0.04732775,24848,0.02615608,0.16737248,0.25342597,0.20450048
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,213000,0.32989363,0.16193047,0.09509446,0.07286871,12598,0.05257107,0.24341422,0.41637305,0.26214332
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,213000,0.0875102,0.04555102,0.02089796,0.02106122,12250,0.01763593,0.0584991,0.11652131,0.33151682
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.42131855,0.21400372,0.09746967,0.10984515,48887,0.03344072,0.36630856,0.47632854,0.13056627
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,237000,0.63042331,0.31011811,0.14830147,0.17200373,24639,0.06723863,0.51981576,0.74103087,0.17544966
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,237000,0.20884197,0.11633949,0.04581821,0.04668426,24248,0.02487898,0.16791604,0.24976789,0.19596602
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.11480013,0.05916199,0.02507984,0.03055831,36324,0.0169093,0.08698433,0.14261594,0.24229767
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,100000,0.1170845,0.06824076,0.02355738,0.02528636,18508,0.02302832,0.07920292,0.15496609,0.32354053
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,100000,0.11242703,0.04973058,0.02666143,0.03603502,17816,0.02458429,0.07198588,0.15286818,0.3597102
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.48988514,0.26123779,0.11249786,0.11614949,58330,0.029142,0.44194654,0.53782373,0.09785681
"2-4 Units  (Own/Rent), 2 BR",    Below Median,114000,0.5498614,0.29108918,0.13809073,0.1206815,29582,0.04867841,0.46978541,0.62993739,0.14562941
"2-4 Units  (Own/Rent), 2 BR",    Above Median,114000,0.42816892,0.23052038,0.08616252,0.11148602,28748,0.04422449,0.35541963,0.5009182,0.16990791
"2-4 Units (Own/Rent), 3 BR",All Values,,0.98943396,0.46769811,0.21901887,0.30271698,26500,0.06737205,0.87860693,1.100261,0.11201054
"2-4 Units (Own/Rent), 3 BR",    Below Median,141000,1.154598,0.51695543,0.26077299,0.37686954,13506,0.11368074,0.96759314,1.3416028,0.16196531
"2-4 Units (Own/Rent), 3 BR",    Above Median,141000,0.81776204,0.41649992,0.17561952,0.2256426,12994,0.07860133,0.68846286,0.94706123,0.15811346
"5-49 Units (Own), 0-1 BR",All Values,,0,0,0,0,1724,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,248000,0,0,0,0,953,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,248000,0,0,0,0,771,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.05540449,0.02651258,0.00577838,0.02311353,2942,0.02011132,0.02232137,0.0884876,0.59711977
"5-49 Units (Own), 2 BR",    Below Median,318000,0.07388854,0.04132749,0,0.03256105,1597,0.03485371,0.01655419,0.13122289,0.77595724
"5-49 Units (Own), 2 BR",    Above Median,318000,0.03345725,0.00892193,0.01263941,0.01189591,1345,0.02089171,-0.00090961,0.06782411,1.0271873
"5-49 Units (Own), 3 BR",All Values,,0.17083555,0.10750399,0.03512507,0.02820649,1879,0.05065429,0.08750924,0.25416186,0.48775745
"5-49 Units (Own), 3 BR",    Below Median,318000,0.2629521,0.18670577,0.04985337,0.02639296,1023,0.09485098,0.10692225,0.41898196,0.59337748
"5-49 Units (Own), 3 BR",    Above Median,318000,0.06074766,0.01285047,0.01752336,0.03037383,856,0.03097061,0.009801,0.11169432,0.83866038
"5-49 Units (Rent), 0-1 BR",All Values,,0.06210719,0.03987525,0.00911931,0.01311263,189817,0.00529579,0.05339561,0.07081876,0.14026675
"5-49 Units (Rent), 0-1 BR",    Below Median,126000,0.07016721,0.04211492,0.00960095,0.01845134,95928,0.00858394,0.05604663,0.08428779,0.20124184
"5-49 Units (Rent), 0-1 BR",    Above Median,126000,0.05387213,0.03758694,0.00862721,0.00765798,93889,0.00619827,0.04367597,0.06406828,0.18926584
"5-49 Units (Rent), 2 BR",All Values,,0.43093696,0.23627229,0.09266568,0.10199899,170786,0.01664811,0.40355083,0.4583231,0.06355022
"5-49 Units (Rent), 2 BR",    Below Median,152000,0.51753609,0.29631789,0.11120957,0.11000863,85766,0.02786443,0.47169911,0.56337307,0.0885677
"5-49 Units (Rent), 2 BR",    Above Median,152000,0.34357798,0.17569984,0.07395907,0.09391908,85020,0.01904587,0.31224753,0.37490844,0.09118878
"5-49 Units (Rent), 3 BR",All Values,,1.187287,0.55114891,0.29070243,0.34543571,36687,0.08023185,1.0553057,1.3192684,0.11116216
"5-49 Units (Rent), 3 BR",    Below Median,161000,1.3810916,0.66986138,0.33241282,0.37881741,18468,0.12214423,1.1801644,1.5820189,0.14548439
"5-49 Units (Rent), 3 BR",    Above Median,161000,0.99083374,0.43081399,0.24842198,0.31159778,18219,0.11402596,0.80326104,1.1784064,0.18930795
"50+ Units (Own), 0-1 BR",All Values,,0.01024,0.01024,0,0,3125,0.01088066,-0.00765869,0.02813869,1.7479192
"50+ Units (Own), 0-1 BR",    Below Median,314000,0,0,0,0,1739,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,314000,0.02308802,0.02308802,0,0,1386,0.02498238,-0.018008,0.06418404,1.7799713
"50+ Units (Own), 2 BR",All Values,,0.04683607,0.02267065,0.00896861,0.01519681,4014,0.022524,0.0097841,0.08388805,0.79109913
"50+ Units (Own), 2 BR",    Below Median,452000,0.05899144,0.03044719,0.01712655,0.0114177,2102,0.03559795,0.0004328,0.11755007,0.99266329
"50+ Units (Own), 2 BR",    Above Median,452000,0.0334728,0.01412134,0,0.01935146,1912,0.0242957,-0.00649362,0.07343923,1.1939969
"50+ Units (Own), 3 BR",All Values,,0.1392557,0.03361345,0,0.10564226,833,0.11815008,-0.05510119,0.33361259,1.3956835
"50+ Units (Own), 3 BR",    Below Median,600000,0.21014493,0.05072464,0,0.15942029,552,0.18242809,-0.08994928,0.51023914,1.4280345
"50+ Units (Own), 3 BR",    Above Median,600000,0,0,0,0,281,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.02129526,0.01200684,0.00435275,0.00493566,183562,0.00284441,0.0166162,0.02597431,0.21972294
"50+ Units (Rent), 0-1 BR",    Below Median,152000,0.02888959,0.01762406,0.00511282,0.00615271,92317,0.00466194,0.02122069,0.03655849,0.26545548
"50+ Units (Rent), 0-1 BR",    Above Median,152000,0.0136117,0.00632363,0.00358376,0.00370431,91245,0.00304899,0.00859611,0.0186273,0.3684764
"50+ Units (Rent), 2 BR",All Values,,0.25290042,0.1354772,0.0550822,0.06234102,96710,0.01524673,0.22781955,0.2779813,0.09917292
"50+ Units (Rent), 2 BR",    Below Median,186000,0.33769315,0.17601551,0.07562973,0.0860479,48473,0.02487287,0.29677727,0.37860903,0.12116289
"50+ Units (Rent), 2 BR",    Above Median,186000,0.16769285,0.09474055,0.03443415,0.03851815,48237,0.01992272,0.13491998,0.20046572,0.19543393
"50+ Units (Rent), 3 BR",All Values,,0.97743085,0.50033939,0.25072119,0.22637027,11786,0.11101375,0.79481322,1.1600485,0.18683432
"50+ Units (Rent), 3 BR",    Below Median,170000,1.2564659,0.71566828,0.28867012,0.25212748,5993,0.1717116,0.97400029,1.5389315,0.2248096
"50+ Units (Rent), 3 BR",    Above Median,170000,0.6887623,0.27757639,0.21146211,0.1997238,5793,0.12146009,0.48896045,0.88856415,0.29008825
