Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.23429905,0.12072929,0.05245056,0.0611192,56987.0,0.01866674,0.20359227,0.26500583,0.13105808
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.28389333,0.16,0.05989333,0.064,18750.0,0.03666007,0.22358753,0.34419914,0.21242418
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 282000,0.23246068,0.10939966,0.05938061,0.0636804,18373.0,0.03747874,0.17080815,0.2941132,0.26521699
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 282000,0.18918647,0.09414015,0.0390153,0.05603101,19864.0,0.02268821,0.15186436,0.22650858,0.19727684
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.52469287,0.26895823,0.11796069,0.13777396,203500.0,0.01369112,0.50217098,0.54721477,0.04292396
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 228000,0.59096271,0.29201827,0.12993376,0.16901068,66126.0,0.02583515,0.54846388,0.63346153,0.07191456
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,228000 to 356000,0.49222148,0.25854882,0.11799178,0.11568088,66208.0,0.02574441,0.44987193,0.53457104,0.08603759
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 356000,0.49332546,0.25721552,0.10680662,0.12930332,71166.0,0.02757284,0.44796814,0.53868279,0.091942
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.96847756,0.43918632,0.22292635,0.30636489,367516.0,0.01251719,0.94788679,0.98906834,0.02126097
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 297000,0.94872163,0.43082631,0.21917279,0.29872253,111314.0,0.02913303,0.9007978,0.99664547,0.05051411
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,297000 to 442000,0.96928868,0.44284462,0.21614556,0.31029851,124319.0,0.03123724,0.91790343,1.0206739,0.05301336
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 442000,0.98438768,0.44279399,0.23248637,0.30910731,131883.0,0.02283868,0.94681805,1.0219573,0.03816548
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.18671054,0.11124084,0.03168453,0.04378516,18842.0,0.03053108,0.13648692,0.23693416,0.26899188
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 138000,0.16084148,0.10187179,0.01457678,0.04439291,6037.0,0.03797402,0.09837421,0.22330875,0.38837787
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,138000 to 238000,0.19471842,0.11438116,0.02608972,0.05424753,6286.0,0.03629291,0.13501659,0.25442026,0.30660599
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 238000,0.20294524,0.11688909,0.05292223,0.03313392,6519.0,0.07571932,0.07838696,0.32750351,0.61375314
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.44560605,0.2178314,0.09040949,0.13736517,39122.0,0.03134001,0.39405174,0.49716036,0.11569481
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 189000,0.64623304,0.30837623,0.13804399,0.19981282,12822.0,0.06836556,0.53377169,0.75869439,0.174026
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,189000 to 286000,0.44920957,0.23072558,0.07920551,0.13927848,12335.0,0.05586672,0.35730881,0.54111033,0.20458326
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 286000,0.25821697,0.12330827,0.05657,0.0783387,13965.0,0.03394816,0.20237224,0.3140617,0.21627057
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.07946393,0.05155696,0.01828932,0.00961766,12685.0,0.02126388,0.04448484,0.11444302,0.44018826
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 80000,0.0447646,0.0447646,0.0,0.0,3887.0,0.02739677,-0.00030309,0.08983229,1.0067707
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,80000 to 107000,0.08498388,0.04145555,0.02901889,0.01450944,4342.0,0.04799188,0.00603724,0.16393052,0.92896015
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 107000,0.10435368,0.06732496,0.02378815,0.01324057,4456.0,0.03235272,0.05113346,0.1575739,0.50999852
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.30600955,0.17766257,0.05902064,0.06932634,31633.0,0.02881025,0.25861669,0.3534024,0.15487379
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 98000,0.31594231,0.18594521,0.05410899,0.0758881,10331.0,0.0466628,0.239182,0.39270262,0.24295674
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,98000 to 123000,0.32306247,0.19436355,0.07355566,0.05514326,10645.0,0.05534833,0.23201446,0.41411048,0.28182787
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 123000,0.27934691,0.15295111,0.04926339,0.0771324,10657.0,0.05053979,0.19620895,0.36248486,0.29761545
"2-4 Units (Own/Rent), 3 BR",All Values,,0.67163081,0.32683704,0.16167188,0.1831219,16317.0,0.07043339,0.55576788,0.78749375,0.17250985
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 124000,0.62762205,0.32912567,0.13718211,0.16131428,5387.0,0.10181911,0.46012961,0.7951145,0.26686832
"2-4 Units (Own/Rent), 3 BR",Second Tercile,124000 to 176000,0.97542214,0.49249531,0.1836773,0.29924953,5330.0,0.15751941,0.71630271,1.2345416,0.2656485
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 176000,0.42482143,0.16696429,0.16428571,0.09357143,5600.0,0.08562791,0.28396351,0.56567935,0.33156971
"5-49 Units (Own), 0-1 BR",All Values,,0.03167155,0.02228739,0.0,0.00938416,1705.0,0.02492738,-0.00933399,0.07267709,1.294712
"5-49 Units (Own), 0-1 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0,328.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,150000 to 225000,0.05046481,0.05046481,0.0,0.0,753.0,0.04992777,-0.03166637,0.13259598,1.6274941
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 225000,0.02564103,0.0,0.0,0.02564103,624.0,0.02811871,-0.02061426,0.07189631,1.803956
"5-49 Units (Own), 2 BR",All Values,,0.0603437,0.04210941,0.00865801,0.00957628,7623.0,0.02102595,0.02575601,0.09493139,0.57317818
"5-49 Units (Own), 2 BR",First Tercile,Below 173000,0.06669776,0.03824627,0.00746269,0.02098881,2144.0,0.03249007,0.01325159,0.12014393,0.80131885
"5-49 Units (Own), 2 BR",Second Tercile,173000 to 250000,0.0470679,0.03973765,0.00733025,0.0,2592.0,0.03774899,-0.01502918,0.10916498,1.3193085
"5-49 Units (Own), 2 BR",Third Tercile ,Above 250000,0.06754416,0.04710772,0.01073779,0.00969865,2887.0,0.03353888,0.0123727,0.12271562,0.81682052
"5-49 Units (Own), 3 BR",All Values,,0.18475011,0.10380179,0.03951303,0.04143528,4682.0,0.04931315,0.10362998,0.26587024,0.43908029
"5-49 Units (Own), 3 BR",First Tercile,Below 209000,0.20437406,0.14404223,0.0188537,0.04147813,1326.0,0.07731328,0.07719371,0.3315544,0.62229202
"5-49 Units (Own), 3 BR",Second Tercile,209000 to 276000,0.25290023,0.12470998,0.0638051,0.06438515,1724.0,0.11871485,0.05761431,0.44818615,0.77218562
"5-49 Units (Own), 3 BR",Third Tercile ,Above 276000,0.09681373,0.04901961,0.03063725,0.01715686,1632.0,0.04427473,0.0239818,0.16964565,0.75228928
"5-49 Units (Rent), 0-1 BR",All Values,,0.04143787,0.02139825,0.00857628,0.01146335,35330.0,0.00897183,0.02667921,0.05619653,0.35616364
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 89000,0.02620163,0.01058476,0.01344786,0.00216901,11526.0,0.01262522,0.00543315,0.04697012,0.79264089
"5-49 Units (Rent), 0-1 BR",Second Tercile,89000 to 117000,0.04876403,0.03205939,0.00185607,0.01484856,11853.0,0.01461664,0.02471965,0.0728084,0.4930761
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 117000,0.0488662,0.02125345,0.01054305,0.0170697,11951.0,0.02057181,0.01502557,0.08270684,0.69251615
"5-49 Units (Rent), 2 BR",All Values,,0.32473387,0.18422638,0.07982771,0.06067977,44809.0,0.02464037,0.28420047,0.36526727,0.12482037
"5-49 Units (Rent), 2 BR",First Tercile,Below 115000,0.32332991,0.16286399,0.10373416,0.05673176,14595.0,0.0457272,0.24810867,0.39855115,0.23264547
"5-49 Units (Rent), 2 BR",Second Tercile,115000 to 149000,0.37478491,0.22653872,0.08391794,0.06432826,15110.0,0.04909224,0.29402817,0.45554165,0.2154749
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 149000,0.2760196,0.16253972,0.05263506,0.06084481,15104.0,0.04147,0.20780145,0.34423774,0.24714964
"5-49 Units (Rent), 3 BR",All Values,,0.84967889,0.45524485,0.18062617,0.21380787,14948.0,0.08737968,0.70593931,0.99341846,0.16916929
"5-49 Units (Rent), 3 BR",First Tercile,Below 135000,0.59799531,0.34293026,0.12603967,0.12902538,4689.0,0.1235687,0.3947248,0.80126582,0.33991991
