Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.14147262,0.07241556,0.02763562,0.04142144,31264.0,0.01376727,0.11882545,0.16411979,0.16008162
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.18683436,0.11755756,0.02272036,0.04655645,9859.0,0.0330021,0.13254592,0.24112281,0.29056992
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 250000,0.16070746,0.0750478,0.03661568,0.04904398,10460.0,0.02068622,0.12667863,0.19473629,0.21174393
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 250000,0.08222933,0.02923709,0.02348104,0.02951119,10945.0,0.01581197,0.05621864,0.10824002,0.31631886
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.40211603,0.16030222,0.11387098,0.12794283,85632.0,0.01648462,0.37499882,0.42923324,0.06743628
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 194000,0.3828125,0.15002894,0.11848958,0.11429398,27648.0,0.03203629,0.33011281,0.43551219,0.1376645
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,194000 to 309000,0.39571438,0.1551902,0.11319392,0.12733026,29074.0,0.03159398,0.34374228,0.44768648,0.1313374
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 309000,0.42701487,0.17526807,0.1101349,0.1416119,28910.0,0.0303285,0.3771245,0.47690525,0.11683522
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.5607386,0.21770303,0.13559093,0.20744465,44354.0,0.02984739,0.51163965,0.60983756,0.08756122
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 225000,0.66396436,0.26760152,0.15768332,0.23867952,13692.0,0.06109996,0.56345493,0.76447379,0.15137775
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,225000 to 387000,0.51487921,0.18669011,0.12228951,0.20589959,15357.0,0.05018324,0.43232778,0.59743064,0.16033164
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 387000,0.51440706,0.20418164,0.12917347,0.18105194,15305.0,0.0502881,0.43168314,0.59713097,0.16081412
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.14074452,0.07853136,0.02396736,0.03824579,3922.0,0.04223505,0.07126785,0.21022118,0.49363674
