Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16286405,0.07978079,0.03680263,0.04628063
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 106000,0.16753247,0.08084807,0.03004225,0.05664215
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,106000 to 191000,0.18785544,0.08761389,0.05121384,0.0490277
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 191000,0.13370242,0.07102234,0.02909985,0.03358023
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.36030438,0.16375672,0.08441126,0.1121364
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 170000,0.39999929,0.18362953,0.09823846,0.1181313
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,170000 to 288000,0.35033975,0.15962174,0.07826812,0.11244988
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 288000,0.33291443,0.1492253,0.07743365,0.10625548
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.68705649,0.2864089,0.16827542,0.23237218
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 311000,0.68242832,0.28141808,0.16957903,0.23143121
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,311000 to 531000,0.67709393,0.28852905,0.16169306,0.22687182
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 531000,0.70110979,0.28915708,0.17337194,0.23858077
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.24171436,0.12823972,0.05563293,0.05784171
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 159000,0.31960423,0.16803629,0.07234896,0.07921899
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,159000 to 275000,0.24851608,0.129411,0.06532516,0.05377992
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 275000,0.15806891,0.08779443,0.02949192,0.04078256
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.49862734,0.24343405,0.11749846,0.13769483
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 243000,0.60236231,0.28908709,0.1401243,0.17315091
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,243000 to 410000,0.50633065,0.24687521,0.11546517,0.14399027
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 410000,0.38867423,0.19499436,0.09716524,0.09651464
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.0467139,0.02969299,0.01152007,0.00550084
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 81000,0.01935484,0.01290323,0.00209241,0.0043592
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,81000 to 119000,0.0516073,0.03145091,0.01720243,0.00295395
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 119000,0.06864248,0.04437064,0.01515926,0.00911259
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.29413093,0.16266805,0.06307455,0.06838833
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 101000,0.29497654,0.1614221,0.05893059,0.07462385
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,101000 to 139000,0.2838099,0.16205877,0.07142575,0.05032538
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 139000,0.30368695,0.16450371,0.05873715,0.08044608
"2-4 Units (Own/Rent), 3 BR",All Values,,0.75670165,0.33247128,0.20142239,0.22280798
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 120000,0.96091105,0.45706371,0.2536165,0.25023084
"2-4 Units (Own/Rent), 3 BR",Second Tercile,120000 to 187000,0.79456731,0.34303102,0.23244768,0.21908862
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 187000,0.52648428,0.20430733,0.12165308,0.20052386
"5-49 Units (Own), 0-1 BR",All Values,,0.04242997,0.019974,0.01181893,0.01063704
"5-49 Units (Own), 0-1 BR",First Tercile,Below 200000,0.03098488,0.00405754,0.0,0.02692733
"5-49 Units (Own), 0-1 BR",Second Tercile,200000 to 302000,0.08722741,0.04166667,0.03894081,0.00661994
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 302000,0.01602766,0.01602766,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.09487423,0.03115469,0.02564523,0.03807431
"5-49 Units (Own), 2 BR",First Tercile,Below 212000,0.11616313,0.0450693,0.04447103,0.02662279
"5-49 Units (Own), 2 BR",Second Tercile,212000 to 350000,0.05483363,0.01486513,0.01260091,0.02736759
"5-49 Units (Own), 2 BR",Third Tercile ,Above 350000,0.11362313,0.03366971,0.02018242,0.05977101
"5-49 Units (Own), 3 BR",All Values,,0.23525754,0.10850865,0.04674059,0.08000829
"5-49 Units (Own), 3 BR",First Tercile,Below 236000,0.4658856,0.21812543,0.04927636,0.1984838
"5-49 Units (Own), 3 BR",Second Tercile,236000 to 378000,0.14492754,0.07466919,0.04284814,0.02741021
"5-49 Units (Own), 3 BR",Third Tercile ,Above 378000,0.1281836,0.0495382,0.04813882,0.03050658
"5-49 Units (Rent), 0-1 BR",All Values,,0.06786242,0.04121655,0.01304384,0.01360204
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 104000,0.02841162,0.01514627,0.00418255,0.00908281
"5-49 Units (Rent), 0-1 BR",Second Tercile,104000 to 157000,0.07242193,0.04490913,0.01096998,0.01654283
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 157000,0.1018327,0.06301409,0.02364231,0.0151763
"5-49 Units (Rent), 2 BR",All Values,,0.34441773,0.18747093,0.07912065,0.07782616
"5-49 Units (Rent), 2 BR",First Tercile,Below 117000,0.32364658,0.19611849,0.05806946,0.06945863
"5-49 Units (Rent), 2 BR",Second Tercile,117000 to 175000,0.30660747,0.15780163,0.08406629,0.06473956
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 175000,0.40271274,0.20870685,0.09484546,0.09916042
"5-49 Units (Rent), 3 BR",All Values,,0.91789911,0.45337824,0.21925648,0.24526438
"5-49 Units (Rent), 3 BR",First Tercile,Below 136000,1.0541686,0.55093235,0.22931114,0.2739251
"5-49 Units (Rent), 3 BR",Second Tercile,136000 to 197000,0.84472381,0.39306667,0.22780952,0.22384762
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 197000,0.85752708,0.41793052,0.20112066,0.23847591
"50+ Units (Own), 0-1 BR",All Values,,0.00946206,0.00709655,0.0,0.00236552
"50+ Units (Own), 0-1 BR",First Tercile,Below 249000,0.00684182,0.0030104,0.0,0.00383142
"50+ Units (Own), 0-1 BR",Second Tercile,249000 to 400000,0.00337224,0.0,0.0,0.00337224
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 400000,0.01792574,0.01792574,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.0651667,0.04348648,0.00813008,0.01355014
"50+ Units (Own), 2 BR",First Tercile,Below 320000,0.05412125,0.03270224,0.00554599,0.01587302
"50+ Units (Own), 2 BR",Second Tercile,320000 to 500000,0.08841524,0.06177225,0.00552595,0.02111703
"50+ Units (Own), 2 BR",Third Tercile ,Above 500000,0.0543888,0.0369772,0.01292407,0.00448752
"50+ Units (Own), 3 BR",All Values,,0.14636511,0.06494346,0.04458805,0.0368336
"50+ Units (Own), 3 BR",First Tercile,Below 343000,0.20718816,0.10676533,0.04334038,0.05708245
"50+ Units (Own), 3 BR",Second Tercile,343000 to 583000,0.10823755,0.04118774,0.03065134,0.03639847
"50+ Units (Own), 3 BR",Third Tercile ,Above 583000,0.13031674,0.05158371,0.05882353,0.0199095
"50+ Units (Rent), 0-1 BR",All Values,,0.01705081,0.00896611,0.00489337,0.00319133
"50+ Units (Rent), 0-1 BR",First Tercile,Below 143000,0.01029271,0.00710908,0.00049454,0.00268909
"50+ Units (Rent), 0-1 BR",Second Tercile,143000 to 210000,0.03022292,0.01607282,0.00925314,0.00489695
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 210000,0.01040344,0.00362911,0.00480856,0.00196577
"50+ Units (Rent), 2 BR",All Values,,0.17771912,0.08779467,0.04476199,0.04516246
"50+ Units (Rent), 2 BR",First Tercile,Below 187000,0.18456983,0.10670615,0.03355815,0.04430553
"50+ Units (Rent), 2 BR",Second Tercile,187000 to 261000,0.20318572,0.09628332,0.06453555,0.04236685
"50+ Units (Rent), 2 BR",Third Tercile ,Above 261000,0.14569429,0.06066526,0.03624722,0.04878181
"50+ Units (Rent), 3 BR",All Values,,0.64945695,0.29324728,0.14119314,0.21501653
"50+ Units (Rent), 3 BR",First Tercile,Below 198000,0.66881827,0.28897716,0.19116187,0.18867925
"50+ Units (Rent), 3 BR",Second Tercile,198000 to 279000,0.66367077,0.33112583,0.09366131,0.23888363
"50+ Units (Rent), 3 BR",Third Tercile ,Above 279000,0.61842697,0.2611236,0.1411236,0.21617978
All Housing Types (Own) 0-1 BR,All Values,,0.07008239,0.02864681,0.01478111,0.02665446
All Housing Types (Own) 0-1 BR,First Tercile,Below 180000,0.06425568,0.02262405,0.01034483,0.0312868
All Housing Types (Own) 0-1 BR,Second Tercile,180000 to 318000,0.05185246,0.01455795,0.01938333,0.01791118
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 318000,0.0925144,0.04737044,0.01451056,0.0306334
All Housing Types (Own) 2 BR,All Values,,0.12085158,0.05586203,0.02968846,0.03530109
All Housing Types (Own) 2 BR,First Tercile,Below 159000,0.13241767,0.05296707,0.03897321,0.04047739
All Housing Types (Own) 2 BR,Second Tercile,159000 to 302000,0.11091126,0.05386222,0.02633961,0.03070943
All Housing Types (Own) 2 BR,Third Tercile ,Above 302000,0.11951634,0.06052699,0.02414789,0.03484146
All Housing Types (Own) 3 BR,All Values,,0.31837109,0.14494366,0.07512692,0.09830051
All Housing Types (Own) 3 BR,First Tercile,Below 200000,0.2866248,0.12642821,0.07016986,0.09002673
All Housing Types (Own) 3 BR,Second Tercile,200000 to 342000,0.31761209,0.14590336,0.0714245,0.10028423
All Housing Types (Own) 3 BR,Third Tercile ,Above 342000,0.34932078,0.16158496,0.08356186,0.10417396
All Housing Types (Own) 4-5 BR,All Values,,0.64388167,0.26868704,0.15712953,0.21806509
All Housing Types (Own) 4-5 BR,First Tercile,Below 330000,0.57923441,0.23729967,0.14303009,0.19890465
All Housing Types (Own) 4-5 BR,Second Tercile,330000 to 553000,0.65524736,0.28144126,0.15594153,0.21786457
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 553000,0.69142133,0.28485627,0.17100056,0.2355645
All Housing Types (Rent) 0-1 BR,All Values,,0.04798424,0.0292404,0.01023171,0.00851213
All Housing Types (Rent) 0-1 BR,First Tercile,Below 105000,0.02830231,0.01576988,0.00626058,0.00627186
All Housing Types (Rent) 0-1 BR,Second Tercile,105000 to 170000,0.05976252,0.0375042,0.01046264,0.01179568
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 170000,0.05567385,0.03430264,0.01390737,0.00746385
All Housing Types (Rent) 2 BR,All Values,,0.30854019,0.16703035,0.06908589,0.07242395
All Housing Types (Rent) 2 BR,First Tercile,Below 112000,0.29439862,0.17024068,0.05544281,0.06871513
All Housing Types (Rent) 2 BR,Second Tercile,112000 to 173000,0.29780968,0.15834967,0.07284268,0.06661733
All Housing Types (Rent) 2 BR,Third Tercile ,Above 173000,0.3330658,0.17249551,0.07874433,0.08182596
All Housing Types (Rent) 3 BR,All Values,,0.76444139,0.36657426,0.1798369,0.21803023
All Housing Types (Rent) 3 BR,First Tercile,Below 134000,0.76566884,0.3700627,0.18714777,0.20845837
All Housing Types (Rent) 3 BR,Second Tercile,134000 to 195000,0.75565375,0.35910412,0.18266344,0.2138862
All Housing Types (Rent) 3 BR,Third Tercile ,Above 195000,0.77201934,0.37058674,0.16974317,0.23168943
