Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.16072101,0.09825128,0.04008609,0.02238364
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,220000,0.1844449,0.11526512,0.04432477,0.02485501
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,220000,0.13506552,0.07985217,0.0355023,0.01971105
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.43839334,0.19702179,0.10428663,0.13708492
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,0.49819212,0.22790327,0.11571827,0.15457058
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,0.3758058,0.16470013,0.09232186,0.11878381
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.87430878,0.36845358,0.2233119,0.28254329
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,450000,0.86832558,0.37464391,0.22101564,0.27266603
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,450000,0.88039637,0.36215524,0.22564822,0.2925929
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.17316294,0.10670927,0.03013845,0.03631523
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,219000,0.26321863,0.16806546,0.04647503,0.04867814
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,219000,0.0803417,0.04346886,0.01330017,0.02357266
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.46029299,0.2275637,0.11042144,0.12230785
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,320000,0.48510673,0.22568712,0.11720056,0.14221906
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,320000,0.43480097,0.22949158,0.10345701,0.10185237
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.02503516,0.00421941,0.00759494,0.01322082
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,108000,0.00805585,0.00805585,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,108000,0.04370939,0.0,0.01594802,0.02776137
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.24788702,0.13341179,0.04621804,0.06825719
"2-4 Units  (Own/Rent), 2 BR",    Below Median,121000,0.27110656,0.17991803,0.02520492,0.06598361
"2-4 Units  (Own/Rent), 2 BR",    Above Median,121000,0.22252071,0.08260578,0.06917394,0.07074099
"2-4 Units (Own/Rent), 3 BR",All Values,,0.80468928,0.31277032,0.29273845,0.19918051
"2-4 Units (Own/Rent), 3 BR",    Below Median,218000,1.1532154,0.49244713,0.42252913,0.2382391
"2-4 Units (Own/Rent), 3 BR",    Above Median,218000,0.41570328,0.11223507,0.14788054,0.15558767
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Below Median,275000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 0-1 BR",    Above Median,275000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.06226444,0.01613146,0.02758933,0.01854365
"5-49 Units (Own), 2 BR",    Below Median,300000,0.09163229,0.02416028,0.04331173,0.02416028
"5-49 Units (Own), 2 BR",    Above Median,300000,0.0314912,0.00771843,0.01111454,0.01265823
"5-49 Units (Own), 3 BR",All Values,,0.16379058,0.10178415,0.01169933,0.05030711
"5-49 Units (Own), 3 BR",    Below Median,345000,0.17914587,0.08374931,0.0,0.09539656
"5-49 Units (Own), 3 BR",    Above Median,345000,0.14665842,0.12190594,0.02475248,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,0.05854847,0.03312507,0.01355652,0.01186687
"5-49 Units (Rent), 0-1 BR",    Below Median,142000,0.0403282,0.02554377,0.00565059,0.00913383
"5-49 Units (Rent), 0-1 BR",    Above Median,142000,0.0773344,0.04094174,0.0217079,0.01468476
"5-49 Units (Rent), 2 BR",All Values,,0.2833329,0.15829737,0.06099294,0.06404259
"5-49 Units (Rent), 2 BR",    Below Median,158000,0.25775923,0.15437061,0.0530172,0.05037143
"5-49 Units (Rent), 2 BR",    Above Median,158000,0.30973265,0.16235096,0.06922632,0.07815537
"5-49 Units (Rent), 3 BR",All Values,,0.80516831,0.34401564,0.18301598,0.27813669
"5-49 Units (Rent), 3 BR",    Below Median,174000,0.87216148,0.36938604,0.22506308,0.27771236
"5-49 Units (Rent), 3 BR",    Above Median,174000,0.73672452,0.31809589,0.14005843,0.2785702
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,350000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Above Median,350000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.04814173,0.0238783,0.01694589,0.00731754
"50+ Units (Own), 2 BR",    Below Median,450000,0.02637444,0.00742942,0.01077266,0.00817236
"50+ Units (Own), 2 BR",    Above Median,450000,0.07157137,0.04158337,0.02359056,0.00639744
"50+ Units (Own), 3 BR",All Values,,0.07232704,0.07232704,0.0,0.0
"50+ Units (Own), 3 BR",    Below Median,550000,0.07744875,0.07744875,0.0,0.0
"50+ Units (Own), 3 BR",    Above Median,550000,0.06091371,0.06091371,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.00693596,0.0040659,0.00140845,0.0014616
"50+ Units (Rent), 0-1 BR",    Below Median,200000,0.00794071,0.00577025,0.00074113,0.00142933
"50+ Units (Rent), 0-1 BR",    Above Median,200000,0.00592316,0.00234792,0.00208111,0.00149413
"50+ Units (Rent), 2 BR",All Values,,0.13196916,0.07384342,0.03169484,0.0264309
