Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.15415876,0.07233812,0.00812788,0.07369277
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 318000,0.17391304,0.12952899,0.0,0.04438406
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,318000 to 600000,0.14081996,0.04991087,0.00713012,0.08377897
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 600000,0.14948805,0.04641638,0.01501706,0.08805461
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.34694017,0.16396347,0.09131798,0.09165872
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 497000,0.38124866,0.16434242,0.10062218,0.11628406
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,497000 to 890000,0.27172764,0.14210192,0.05455699,0.07506872
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 890000,0.3839894,0.18319455,0.1160106,0.08478425
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.62624144,0.28283264,0.18012461,0.16328419
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 689000,0.61067037,0.30166601,0.11265371,0.19635065
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,689000 to 1079000,0.54896201,0.27888758,0.15119467,0.11887975
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 1079000,0.70427181,0.27049316,0.26059706,0.17318159
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21087059,0.0942073,0.05583654,0.06082676
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 315000,0.29882724,0.09427154,0.09269283,0.11186288
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,315000 to 610000,0.16434648,0.06689869,0.05007734,0.04737046
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 610000,0.18227073,0.12119472,0.03025081,0.0308252
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.39441035,0.2038037,0.07578432,0.11482233
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 419000,0.58471192,0.27805395,0.11490506,0.19175291
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,419000 to 750000,0.29942794,0.17075464,0.05673537,0.07193794
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 750000,0.30755549,0.16595778,0.05745882,0.08413889
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.06379561,0.03924118,0.0082613,0.01629312
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 120000,0.03918309,0.03918309,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,120000 to 188000,0.12578616,0.07816712,0.02425876,0.02336029
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 188000,0.02471655,0.0,0.0,0.02471655
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.31464934,0.17727232,0.06291182,0.0744652
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 165000,0.57896262,0.2825268,0.12170385,0.17473196
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,165000 to 341000,0.30863874,0.2117801,0.06125654,0.03560209
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 341000,0.08114496,0.04726891,0.01129202,0.02258403
"2-4 Units (Own/Rent), 3 BR",All Values,,0.58295964,0.33721973,0.1558296,0.08991031
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 171000,1.1617752,0.69792412,0.27630637,0.18754474
"2-4 Units (Own/Rent), 3 BR",Second Tercile,171000 to 509000,0.38669439,0.22176022,0.14553015,0.01940402
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 509000,0.25864198,0.12901235,0.06111111,0.06851852
"5-49 Units (Own), 0-1 BR",All Values,,0.02688096,0.02161855,0.00526241,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 340000,0.03671409,0.01973382,0.01698027,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,340000 to 470000,0.04757748,0.04757748,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 470000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.07831901,0.06290081,0.00409333,0.01132487
