Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.20095854,0.10149948,0.04666476,0.0527943,241617.0,0.00742729,0.18874066,0.21317643,0.06079803
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 190000,0.28658902,0.14173248,0.06824203,0.07661452,80024.0,0.01688816,0.258808,0.31437005,0.09693681
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,190000 to 375000,0.16359329,0.08519657,0.03547189,0.04292483,78090.0,0.01152678,0.14463173,0.18255485,0.11590669
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 375000,0.15383878,0.07818881,0.03645378,0.0391962,83503.0,0.01066194,0.13629989,0.17137768,0.11400828
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.41243792,0.19245723,0.09353518,0.12644551,879359.0,0.00569033,0.40307733,0.42179851,0.02269575
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 288000,0.52161888,0.23881533,0.1199115,0.16289205,283826.0,0.01141536,0.5028406,0.54039715,0.03599999
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,288000 to 471000,0.36629664,0.1724809,0.08503786,0.10877788,291870.0,0.01030294,0.3493483,0.38324498,0.04626943
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 471000,0.35473864,0.16832805,0.07704923,0.10936136,303663.0,0.00911734,0.33974062,0.36973666,0.04227906
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.74357336,0.3230841,0.17996446,0.2405248,644894.0,0.007868,0.7306305,0.75651622,0.0174063
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 378000,0.81975717,0.34467683,0.20769112,0.26738923,207226.0,0.01790383,0.79030538,0.84920897,0.03592746
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,378000 to 636000,0.70905391,0.3118693,0.16509266,0.23209195,213256.0,0.01703876,0.68102514,0.73708267,0.0395298
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 636000,0.70602731,0.31380229,0.16849366,0.22373135,224412.0,0.01500795,0.68133924,0.73071538,0.03496759
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.21827874,0.12094009,0.05409904,0.0432396,50463.0,0.0165378,0.19107405,0.24548342,0.12463277
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 169000,0.31950706,0.17108506,0.09125338,0.05716862,16635.0,0.03330489,0.26472052,0.37429361,0.17147209
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,169000 to 320000,0.23622332,0.14451947,0.04214398,0.04955987,16586.0,0.03448797,0.17949061,0.29295603,0.24016558
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 320000,0.10335228,0.0498782,0.02975293,0.02372115,17242.0,0.0156023,0.07768649,0.12901807,0.24833308
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.48809637,0.24275823,0.1111069,0.13423124,52715.0,0.02443743,0.4478968,0.52829594,0.08235991
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 222000,0.75578391,0.36104254,0.17239796,0.22234342,17419.0,0.05977851,0.65744826,0.85411957,0.13011081
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,222000 to 414000,0.46718257,0.24843795,0.10845514,0.11028948,17445.0,0.04546537,0.39239204,0.54197311,0.16008846
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 414000,0.24732508,0.12178589,0.05389054,0.07164865,17851.0,0.0302501,0.19756367,0.29708649,0.2011984
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.08101252,0.04825625,0.0119874,0.02076887,35871.0,0.0107558,0.06331923,0.0987058,0.21840187
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 90000,0.07503179,0.04111912,0.01721068,0.01670199,11795.0,0.01648673,0.04791112,0.10215247,0.36145581
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,90000 to 140000,0.08897389,0.05878929,0.00282721,0.02735739,12026.0,0.02061704,0.05505886,0.12288891,0.38117952
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 140000,0.07892116,0.04473029,0.0160166,0.01817427,12050.0,0.01747012,0.05018281,0.10765951,0.36413996
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.3416917,0.18429733,0.07692712,0.08046726,95194.0,0.01980255,0.30911651,0.3742669,0.09533504
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 124000,0.39138373,0.2070788,0.09686099,0.08744395,31220.0,0.03346179,0.33633909,0.44642837,0.14064111
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,124000 to 183000,0.39153456,0.20652923,0.09436681,0.09063851,31918.0,0.03333458,0.33669917,0.44636994,0.14005248
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 183000,0.24366733,0.1399738,0.04014849,0.06354505,32056.0,0.02942536,0.19526262,0.29207204,0.19865081
"2-4 Units (Own/Rent), 3 BR",All Values,,0.72200012,0.34836091,0.1818685,0.19177071,32518.0,0.05495206,0.63160398,0.81239626,0.12520239
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 153000,0.87874251,0.45200225,0.21135853,0.21538174,10688.0,0.11584301,0.68818077,1.0693043,0.21685732
"2-4 Units (Own/Rent), 3 BR",Second Tercile,153000 to 221000,0.80161498,0.38695173,0.18030831,0.23435493,10898.0,0.09457113,0.64604547,0.95718448,0.19407011
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 221000,0.48938895,0.20856202,0.15459202,0.12623491,10932.0,0.07941315,0.35875432,0.62002358,0.26693416
"5-49 Units (Own), 0-1 BR",All Values,,0.04070567,0.01916909,0.01420498,0.0073316,13094.0,0.01436885,0.0170689,0.06434243,0.58067497
"5-49 Units (Own), 0-1 BR",First Tercile,Below 251000,0.04461056,0.01061008,0.0284543,0.00554618,4147.0,0.01928914,0.01287993,0.07634119,0.71128072
"5-49 Units (Own), 0-1 BR",Second Tercile,251000 to 421000,0.05059751,0.03203661,0.0,0.01856089,3933.0,0.03075357,7.891e-06,0.10118713,0.99984405
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 421000,0.02971679,0.01615477,0.01356203,0.0,5014.0,0.02920727,-0.01832916,0.07776275,1.6167948
"5-49 Units (Own), 2 BR",All Values,,0.08572552,0.04466509,0.0198912,0.02116922,30516.0,0.01460166,0.0617058,0.10974524,0.28019338
"5-49 Units (Own), 2 BR",First Tercile,Below 270000,0.13928874,0.06329382,0.03005927,0.04593565,9448.0,0.03748383,0.07762784,0.20094964,0.44268405
"5-49 Units (Own), 2 BR",Second Tercile,270000 to 459000,0.0623216,0.04624167,0.01217888,0.00390105,10510.0,0.01335444,0.04035355,0.08428965,0.35249496
"5-49 Units (Own), 2 BR",Third Tercile ,Above 459000,0.06109112,0.02642546,0.01846941,0.01619625,10558.0,0.0159788,0.034806,0.08737623,0.43026089
"5-49 Units (Own), 3 BR",All Values,,0.14100693,0.0576432,0.04177308,0.04159066,5482.0,0.03552466,0.08256887,0.19944499,0.41443397
"5-49 Units (Own), 3 BR",First Tercile,Below 318000,0.13380699,0.07341622,0.05565423,0.00473653,1689.0,0.07716611,0.00686873,0.26074524,0.94866688
"5-49 Units (Own), 3 BR",Second Tercile,318000 to 523000,0.16100767,0.03943045,0.06133625,0.06024096,1826.0,0.06159765,0.05967954,0.2623358,0.6293373
"5-49 Units (Own), 3 BR",Third Tercile ,Above 523000,0.12862227,0.06100661,0.01169293,0.05592272,1967.0,0.0475793,0.05035432,0.20689022,0.60851012
"5-49 Units (Rent), 0-1 BR",All Values,,0.0533848,0.02773337,0.01103011,0.01462131,167632.0,0.00532421,0.04462647,0.06214312,0.16406029
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 106000,0.04242753,0.02351666,0.00796532,0.01094554,55365.0,0.006804,0.03123494,0.05362011,0.26380481
"5-49 Units (Rent), 0-1 BR",Second Tercile,106000 to 160000,0.07574917,0.03946686,0.01701404,0.01926827,55895.0,0.0117564,0.0564099,0.09508844,0.25530669
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 160000,0.04197119,0.02024054,0.00810686,0.01362378,56372.0,0.00780845,0.02912629,0.05481609,0.30604094
"5-49 Units (Rent), 2 BR",All Values,,0.3724764,0.20850115,0.08058368,0.08339157,157414.0,0.01487012,0.34801505,0.39693775,0.06567222
"5-49 Units (Rent), 2 BR",First Tercile,Below 136000,0.40617931,0.21962066,0.09180024,0.09475842,51721.0,0.02974302,0.35725204,0.45510658,0.12045731
"5-49 Units (Rent), 2 BR",Second Tercile,136000 to 192000,0.40044999,0.2308851,0.07918621,0.09037868,52446.0,0.03101558,0.34942936,0.45147061,0.12740823
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 192000,0.3121866,0.17565309,0.07106504,0.06546848,53247.0,0.02240373,0.27533246,0.34904074,0.11805164
"5-49 Units (Rent), 3 BR",All Values,,1.0578532,0.48668775,0.25063058,0.32053489,24977.0,0.07720498,0.93085104,1.1848554,0.12005653
"5-49 Units (Rent), 3 BR",First Tercile,Below 149000,1.333127,0.65585541,0.30205496,0.37521664,8078.0,0.17002934,1.0534287,1.6128253,0.20980617
"5-49 Units (Rent), 3 BR",Second Tercile,149000 to 220000,1.0294293,0.45811986,0.24139164,0.32991779,8393.0,0.13168616,0.81280556,1.246053,0.2104309
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 220000,0.82447684,0.35422055,0.21090995,0.25934634,8506.0,0.10976628,0.64391131,1.0050424,0.21900618
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,7142.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 348000,0.0,0.0,0.0,0.0,2282.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,348000 to 531000,0.0,0.0,0.0,0.0,2278.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 531000,0.0,0.0,0.0,0.0,2582.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.04648772,0.01964592,0.00251285,0.02432895,8755.0,0.01447988,0.02266831,0.07030713,0.51238063
"50+ Units (Own), 2 BR",First Tercile,Below 398000,0.04496012,0.03299492,0.0,0.01196519,2758.0,0.02921818,-0.00310379,0.09302402,1.0690343
"50+ Units (Own), 2 BR",Second Tercile,398000 to 785000,0.03499327,0.00841184,0.0,0.02658143,2972.0,0.01699178,0.00704179,0.06294476,0.79876744
"50+ Units (Own), 2 BR",Third Tercile ,Above 785000,0.05917355,0.0185124,0.00727273,0.03338843,3025.0,0.02803052,0.01306335,0.10528376,0.77923664
"50+ Units (Own), 3 BR",All Values,,0.12923077,0.03794872,0.04512821,0.04615385,975.0,0.06790486,0.01752727,0.24093427,0.86437229
"50+ Units (Own), 3 BR",First Tercile,Below 523000,0.29182879,0.03891051,0.17120623,0.08171206,257.0,0.16697981,0.01714701,0.56651057,0.9412429
"50+ Units (Own), 3 BR",Second Tercile,523000 to 850000,0.0,0.0,0.0,0.0,231.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 850000,0.10472279,0.05544148,0.0,0.04928131,487.0,0.08963893,-0.04273325,0.25217883,1.4080606
"50+ Units (Rent), 0-1 BR",All Values,,0.01598325,0.01077268,0.00214047,0.0030701,128009.0,0.00223239,0.01231096,0.01965554,0.22975861
"50+ Units (Rent), 0-1 BR",First Tercile,Below 127000,0.01973917,0.01082471,0.00290074,0.00601373,42403.0,0.00492802,0.01163258,0.02784576,0.41068559
"50+ Units (Rent), 0-1 BR",Second Tercile,127000 to 209000,0.01957993,0.01512252,0.00231039,0.00214702,42850.0,0.00427291,0.01255099,0.02660887,0.35898702
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 209000,0.00865376,0.00636168,0.0012162,0.00107587,42756.0,0.00270832,0.00419857,0.01310894,0.51482675
"50+ Units (Rent), 2 BR",All Values,,0.26156653,0.13769141,0.05836049,0.06551463,48783.0,0.01836846,0.23135041,0.29178265,0.11551982
"50+ Units (Rent), 2 BR",First Tercile,Below 158000,0.26253013,0.12984364,0.06532353,0.06736296,16181.0,0.03428171,0.20613672,0.31892354,0.21480738
"50+ Units (Rent), 2 BR",Second Tercile,158000 to 233000,0.3651917,0.2107822,0.08148194,0.07292756,16249.0,0.03953391,0.30015843,0.43022498,0.17807983
"50+ Units (Rent), 2 BR",Third Tercile ,Above 233000,0.15764691,0.07283067,0.0284963,0.05631994,16353.0,0.0254425,0.115794,0.19949983,0.26548517
"50+ Units (Rent), 3 BR",All Values,,0.85040622,0.39385376,0.20575768,0.25079477,5662.0,0.12733657,0.64093756,1.0598749,0.24631599
"50+ Units (Rent), 3 BR",First Tercile,Below 177000,0.99294628,0.47802496,0.1866522,0.32826913,1843.0,0.22186756,0.62797414,1.3579184,0.36756484
"50+ Units (Rent), 3 BR",Second Tercile,177000 to 223000,0.74115566,0.43691038,0.125,0.17924528,1696.0,0.21120392,0.39372521,1.0885861,0.46876853
"50+ Units (Rent), 3 BR",Third Tercile ,Above 223000,0.81394253,0.28638719,0.28685822,0.24069713,2123.0,0.23925354,0.42037046,1.2075146,0.48353791
All Housing Types (Own) 0-1 BR,All Values,,0.06696767,0.03090378,0.01614433,0.01991956,52712.0,0.00816687,0.05353317,0.08040218,0.20061182
All Housing Types (Own) 0-1 BR,First Tercile,Below 223000,0.06720686,0.03425882,0.02085319,0.01209485,16784.0,0.01326463,0.04538654,0.08902718,0.324674
All Housing Types (Own) 0-1 BR,Second Tercile,223000 to 419000,0.07224675,0.0300609,0.01318657,0.02899927,17897.0,0.01471495,0.04804064,0.09645285,0.33504763
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 419000,0.06150519,0.02861738,0.01469691,0.01819089,18031.0,0.01421189,0.03812663,0.08488374,0.3801071
All Housing Types (Own) 2 BR,All Values,,0.1444251,0.07205373,0.03218844,0.04018293,261305.0,0.005818,0.13485449,0.1539957,0.06626692
All Housing Types (Own) 2 BR,First Tercile,Below 265000,0.18527539,0.09266814,0.03922261,0.05338464,82121.0,0.01341075,0.16321469,0.20733608,0.11906974
All Housing Types (Own) 2 BR,Second Tercile,265000 to 450000,0.12791508,0.06444315,0.0290337,0.03443824,87519.0,0.00865444,0.11367853,0.14215163,0.1112969
All Housing Types (Own) 2 BR,Third Tercile ,Above 450000,0.12359134,0.06085202,0.02889871,0.03384062,91665.0,0.00931316,0.10827119,0.13891149,0.12395814
All Housing Types (Own) 3 BR,All Values,,0.35812371,0.16663284,0.08136725,0.11012362,803161.0,0.00576837,0.34863475,0.36761268,0.02649634
All Housing Types (Own) 3 BR,First Tercile,Below 324000,0.38261561,0.1740109,0.08973717,0.11886755,251490.0,0.01063249,0.36512517,0.40010605,0.04571283
All Housing Types (Own) 3 BR,Second Tercile,324000 to 500000,0.34616194,0.16377697,0.07947066,0.10291431,270905.0,0.01021364,0.3293605,0.36296338,0.04853636
All Housing Types (Own) 3 BR,Third Tercile ,Above 500000,0.34772729,0.16277968,0.07570005,0.10924756,280766.0,0.0085129,0.33372357,0.361731,0.04027212
All Housing Types (Own) 4-5 BR,All Values,,0.70720088,0.3072046,0.17008539,0.22991089,591303.0,0.00810154,0.69387384,0.72052791,0.01884476
All Housing Types (Own) 4-5 BR,First Tercile,Below 413000,0.727371,0.30533372,0.18166301,0.24037427,193336.0,0.01758457,0.69844438,0.75629762,0.03976873
All Housing Types (Own) 4-5 BR,Second Tercile,413000 to 680000,0.69099176,0.30519694,0.15977101,0.2260238,194422.0,0.01795286,0.66145931,0.72052421,0.04273923
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 680000,0.70352502,0.31089931,0.16894053,0.22368518,203545.0,0.01492759,0.67896913,0.72808091,0.03490407
All Housing Types (Rent) 0-1 BR,All Values,,0.04684681,0.02586719,0.0097723,0.01120732,351913.0,0.00299206,0.04192486,0.05176875,0.1050647
All Housing Types (Rent) 0-1 BR,First Tercile,Below 107000,0.04271188,0.02308076,0.00812085,0.01151027,116244.0,0.00401891,0.03610077,0.049323,0.15478395
All Housing Types (Rent) 0-1 BR,Second Tercile,107000 to 172000,0.07289193,0.04132302,0.01715905,0.01440986,117489.0,0.00754039,0.06048799,0.08529588,0.17016897
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 172000,0.02502115,0.01324251,0.00405314,0.0077255,118180.0,0.00373899,0.01887051,0.0311718,0.24581776
All Housing Types (Rent) 2 BR,All Values,,0.34669136,0.18957724,0.07828515,0.07882898,371437.0,0.0081257,0.33332458,0.36005814,0.03855527
All Housing Types (Rent) 2 BR,First Tercile,Below 129000,0.38566339,0.20500444,0.0914057,0.08925325,122651.0,0.01623419,0.35895815,0.41236862,0.06924493
All Housing Types (Rent) 2 BR,Second Tercile,129000 to 188000,0.36515983,0.20255951,0.08188661,0.08071371,124477.0,0.01649263,0.33802945,0.39229021,0.07429727
All Housing Types (Rent) 2 BR,Third Tercile ,Above 188000,0.28974571,0.16135598,0.06173326,0.06665648,124309.0,0.0137624,0.26710656,0.31238486,0.07813455
All Housing Types (Rent) 3 BR,All Values,,0.78777194,0.37410529,0.18319423,0.23047243,198527.0,0.02141607,0.7525425,0.82300138,0.04472035
All Housing Types (Rent) 3 BR,First Tercile,Below 160000,0.87296887,0.42310466,0.20436377,0.24550044,65173.0,0.0431657,0.80196128,0.94397645,0.08134034
All Housing Types (Rent) 3 BR,Second Tercile,160000 to 222000,0.8077286,0.37594548,0.18400359,0.24777953,66765.0,0.04264748,0.7375735,0.8778837,0.08685479
All Housing Types (Rent) 3 BR,Third Tercile ,Above 222000,0.6843773,0.32430281,0.16166334,0.19841115,66589.0,0.03354013,0.62920379,0.73955081,0.08061856
All Housing Types (Rent) 4-5 BR,All Values,,1.0953145,0.47637365,0.2731402,0.34580063,70451.0,0.04017221,1.0292312,1.1613978,0.0603327
All Housing Types (Rent) 4-5 BR,First Tercile,Below 187000,1.0938742,0.49997863,0.27362886,0.32026675,23393.0,0.075092,0.9703479,1.2174006,0.11292554
