Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.19045525,0.08933211,0.04484592,0.05627723,25019.0,0.02273434,0.15305726,0.22785325,0.19636104
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,0.21532601,0.08977519,0.05541863,0.0701322,13389.0,0.03030661,0.16547164,0.26518038,0.23152971
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,0.16182287,0.08882201,0.03267412,0.04032674,11630.0,0.03029698,0.11198434,0.21166141,0.30798203
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.50893746,0.22754887,0.12486962,0.15651897,125595.0,0.018648,0.4782615,0.53961342,0.06027451
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,270000,0.509514,0.23233547,0.1295752,0.14760332,66008.0,0.02228662,0.47285252,0.54617548,0.07195383
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,270000,0.50829879,0.22224646,0.11965697,0.16639535,59587.0,0.02846215,0.46147856,0.55511902,0.09211163
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,1.0440079,0.44838231,0.24124726,0.35437832,102368.0,0.02980674,0.99497581,1.09304,0.04696524
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,1.0800761,0.44685677,0.25343405,0.37978527,54673.0,0.04213101,1.0107706,1.1493816,0.06416725
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,1.0026628,0.45013104,0.22727749,0.32525422,47695.0,0.04500012,0.92863756,1.0766879,0.07382861
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.09361934,0.048051869999999997,0.01969339,0.02587408,16503.0,0.01688409,0.06584502,0.12139367,0.29667293
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,180000,0.14669031,0.07588652,0.02671395,0.04408983,8460.0,0.03134516,0.09512753,0.19825309,0.35150776
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,180000,0.03779684,0.01877409,0.01230884,0.00671391,8043.0,0.01435876,0.01417668,0.061417,0.62492411
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.30106319,0.12069482,0.08228512,0.09808326,13356.0,0.04490313,0.22719754,0.37492884,0.24534932
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,0.4056196,0.18242075,0.10590778,0.11729107,6940.0,0.07228948,0.2867034,0.52453579,0.29317172
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,200000,0.18796758,0.05392768,0.05673317,0.07730673,6416.0,0.04798467,0.1090328,0.26690237,0.41993829
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.06640433,0.06492868,0.0,0.00147565,2033.0,0.06318511,-0.03753518,0.17034383,1.565252
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,88000,0.11363636,0.11111111,0.0,0.00252525,1188.0,0.10974331,-0.06689138,0.29416411,1.5886442
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,88000,0.0,0.0,0.0,0.0,845.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.20459256,0.11605737,0.0263616,0.06217359,12063.0,0.03923808,0.14004591,0.2691392,0.31548871
"2-4 Units  (Own/Rent), 2 BR",    Below Median,119000,0.26303706,0.17743522,0.04198098,0.04362086,6098.0,0.07359188,0.14197843,0.3840957,0.46023414
"2-4 Units  (Own/Rent), 2 BR",    Above Median,119000,0.14484493,0.05331098,0.01039396,0.08113998,5965.0,0.04451265,0.07162162,0.21806823,0.50552895
"2-4 Units (Own/Rent), 3 BR",All Values,,0.53896654,0.22469293,0.15205421,0.1622194,4722.0,0.13770616,0.31243991,0.76549317,0.42029813
"2-4 Units (Own/Rent), 3 BR",    Below Median,137000,0.69780666,0.273355,0.25629569,0.16815597,2462.0,0.18972454,0.38570979,1.0099035,0.44725407
"2-4 Units (Own/Rent), 3 BR",    Above Median,137000,0.3659292,0.17168142,0.03849558,0.15575221,2260.0,0.16135177,0.10050554,0.63135287,0.72534157
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1415.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,170000,0.0,0.0,0.0,0.0,967.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Above Median,170000,0.0,0.0,0.0,0.0,448.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.10343533,0.04805707,0.03134973,0.02402853,5327.0,0.03866432,0.03983253,0.16703813,0.61490401
"5-49 Units (Own), 2 BR",    Below Median,170000,0.14639946,0.0716712,0.05672554,0.01800272,2944.0,0.06646386,0.0370664,0.25573251,0.74681325
"5-49 Units (Own), 2 BR",    Above Median,170000,0.05035669,0.01888376,0.0,0.03147293,2383.0,0.03105182,-0.00072355,0.10143694,1.0143685
"5-49 Units (Own), 3 BR",All Values,,0.31812421,0.01267427,0.07731305,0.22813688,789.0,0.20466529,-0.01855019,0.6547986,1.0583112
"5-49 Units (Own), 3 BR",    Below Median,250000,0.5122449,0.02040816,0.1244898,0.36734694,490.0,0.35094479,-0.06505929,1.0895491,1.1270082
"5-49 Units (Own), 3 BR",    Above Median,250000,0.0,0.0,0.0,0.0,299.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.00560373,0.00359948,0.0,0.00200425,24448.0,0.00291364,0.00081079,0.01039667,0.85531259
"5-49 Units (Rent), 0-1 BR",    Below Median,100000,0.00543565,0.00151878,0.0,0.00391687,12510.0,0.00343516,-0.00021518,0.01108648,1.039587
"5-49 Units (Rent), 0-1 BR",    Above Median,100000,0.00577986,0.00577986,0.0,0.0,11938.0,0.00452982,-0.0016717,0.01323142,1.289228
"5-49 Units (Rent), 2 BR",All Values,,0.19957382,0.08946728,0.04112633,0.06898021,32850.0,0.02933681,0.15131477,0.24783287,0.24181053
"5-49 Units (Rent), 2 BR",    Below Median,111000,0.20924061,0.08124736,0.06858073,0.05941251,16579.0,0.04087917,0.14199436,0.27648685,0.32138237
"5-49 Units (Rent), 2 BR",    Above Median,111000,0.18972405,0.09784279,0.01315223,0.07872903,16271.0,0.04026068,0.12349523,0.25595287,0.34907972
"5-49 Units (Rent), 3 BR",All Values,,0.8277686,0.36231405,0.34578512,0.11966942,3025.0,0.22478484,0.45799753,1.1975397,0.44670825
"5-49 Units (Rent), 3 BR",    Below Median,130000,0.93510005,0.4407788,0.33098972,0.16333153,1849.0,0.28162005,0.47183507,1.398365,0.49541756
"5-49 Units (Rent), 3 BR",    Above Median,130000,0.65901361,0.23894558,0.36904762,0.05102041,1176.0,0.31794325,0.13599695,1.1820303,0.79363559
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1005.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,290000,0.0,0.0,0.0,0.0,772.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,290000,0.0,0.0,0.0,0.0,233.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,1451.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,300000,0.0,0.0,0.0,0.0,867.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,300000,0.0,0.0,0.0,0.0,584.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.2875,0.0,0.2875,0.0,160.0,0.31535493,-0.23125886,0.80625886,1.8043787
"50+ Units (Own), 3 BR",    Below Median,650000,0.34328358,0.0,0.34328358,0.0,134.0,0.38486217,-0.28981469,0.97638186,1.8442428
"50+ Units (Own), 3 BR",    Above Median,650000,0.0,0.0,0.0,0.0,26.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.01507424,0.01507424,0.0,0.0,17646.0,0.01289599,-0.00613967,0.03628814,1.4072952
"50+ Units (Rent), 0-1 BR",    Below Median,138000,0.0026738,0.0026738,0.0,0.0,8976.0,0.00282318,-0.00197033,0.00731792,1.7369036
"50+ Units (Rent), 0-1 BR",    Above Median,138000,0.02791234,0.02791234,0.0,0.0,8670.0,0.02637255,-0.0154705,0.07129518,1.5542531
"50+ Units (Rent), 2 BR",All Values,,0.03241329,0.01715998,0.00199746,0.01325586,11014.0,0.01122605,0.01394644,0.05088015,0.56973093
"50+ Units (Rent), 2 BR",    Below Median,142000,0.02742358,0.02061135,0.0,0.00681223,5725.0,0.01492493,0.00287208,0.05197508,0.89526976
"50+ Units (Rent), 2 BR",    Above Median,142000,0.03781433,0.01342409,0.00415958,0.02023067,5289.0,0.01773136,0.00864625,0.06698242,0.77135003
"50+ Units (Rent), 3 BR",All Values,,0.82521186,0.37182203,0.21927966,0.23411017,944.0,0.3272885,0.28682229,1.3636014,0.65242588
"50+ Units (Rent), 3 BR",    Below Median,158000,0.93548387,0.50967742,0.28548387,0.14032258,620.0,0.42358598,0.23868494,1.6322828,0.74485403
"50+ Units (Rent), 3 BR",    Above Median,158000,0.61419753,0.10802469,0.09259259,0.41358025,324.0,0.51740555,-0.23693459,1.4653297,1.3857629
All Housing Types (Own) 0-1 BR,All Values,,0.03990098,0.01529052,0.01980486,0.00480559,6867.0,0.02007247,0.00688176,0.07292019,0.82752898
