Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.1668069,0.07736643,0.04215398,0.0472865,23770.0,0.02082903,0.13254315,0.20107065,0.20540968
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 126000,0.15534485,0.09806468,0.03260164,0.02467853,7699.0,0.03281054,0.10137151,0.20931819,0.34744211
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,126000 to 212000,0.17649316,0.07878245,0.04015859,0.05755212,7819.0,0.03924071,0.11194219,0.24104413,0.36574206
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 212000,0.16832283,0.05671352,0.05295686,0.05865245,8252.0,0.03463257,0.11135226,0.22529341,0.33846018
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.37857598,0.18910261,0.08576429,0.10370909,67429.0,0.01679847,0.35094249,0.40620947,0.07299325
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 193000,0.50048434,0.24650584,0.10756954,0.14640897,21679.0,0.03852883,0.43710442,0.56386426,0.12663716
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,193000 to 300000,0.34268644,0.18504094,0.07231688,0.08532861,22595.0,0.03136585,0.29108961,0.39428326,0.15056572
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 300000,0.29946016,0.13932196,0.07847117,0.08166703,23155.0,0.02875958,0.25215065,0.34676967,0.15798266
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.75809116,0.32190376,0.18318782,0.25299958,55091.0,0.02717675,0.71338541,0.80279691,0.05897147
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 230000,0.78297391,0.31591803,0.19266055,0.27439533,16786.0,0.05740272,0.68854644,0.87740138,0.12060105
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,230000 to 350000,0.79417378,0.34895599,0.181859,0.26335878,17816.0,0.06318994,0.69022633,0.89812123,0.13088754
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 350000,0.70633023,0.30328469,0.17658256,0.22646298,20489.0,0.04579651,0.63099497,0.78166548,0.10665728
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.11974732,0.05685251,0.02719033,0.03570448,3641.0,0.03725126,0.05846901,0.18102564,0.51173016
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 119000,0.24181118,0.15992293,0.02408478,0.05780347,1038.0,0.09960622,0.07795894,0.40566341,0.67760406
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,119000 to 210000,0.10431655,0.01169065,0.02967626,0.06294964,1112.0,0.06522646,-0.00298098,0.21161407,1.0285763
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 210000,0.04627767,0.01877934,0.02749832,0.0,1491.0,0.04458998,-0.02707285,0.11962818,1.5850089
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.48197574,0.25337955,0.09948007,0.12911612,5770.0,0.07277791,0.36225607,0.6016954,0.24839355
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 153000,0.60976948,0.34577387,0.14709111,0.1169045,1822.0,0.16465684,0.33890898,0.88062999,0.44420147
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,153000 to 229000,0.51309707,0.30046225,0.10272214,0.10991269,1947.0,0.11724798,0.32022414,0.70597,0.3758995
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 229000,0.33533233,0.12343828,0.05297351,0.15892054,2001.0,0.11378551,0.14815517,0.52250949,0.55818405
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.04485692,0.02294406,0.02191286,0.0,3879.0,0.024529,0.00450671,0.08520713,0.89953141
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 64000,0.0,0.0,0.0,0.0,1165.0,.,.,.,.
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,64000 to 82000,0.00311769,0.00311769,0.0,0.0,1283.0,0.00360078,-0.0028056,0.00904098,1.8998952
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 82000,0.11879804,0.05939902,0.05939902,0.0,1431.0,0.06823242,0.00655571,0.23104038,0.94481637
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.21038251,0.09275237,0.03293069,0.08469945,6954.0,0.04251786,0.14044063,0.28032439,0.33245101
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 83000,0.1980344,0.13316953,0.01081081,0.05405405,2035.0,0.06575611,0.0898656,0.30620319,0.54621214
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,83000 to 102000,0.20933113,0.06110652,0.04211396,0.10611065,2422.0,0.08348948,0.07199093,0.34667133,0.65609064
