Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.13513514,0.03040541,0.04940878,0.05532095,2368.0,0.05043906,0.05216288,0.21810739,0.6139947
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,0.06980273,0.0,0.00986343,0.0599393,1318.0,0.03510538,0.01205438,0.12755108,0.82730792
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,0.21714286,0.06857143,0.09904762,0.04952381,1050.0,0.10788619,0.03967007,0.39461564,0.81730887
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.46957606,0.24413965,0.10623441,0.119202,16040.0,0.0450201,0.39551799,0.54363413,0.15771262
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,290000,0.53802458,0.27312775,0.11036402,0.15453281,8626.0,0.07418185,0.41599544,0.66005372,0.2268096
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,290000,0.38993796,0.21041273,0.10142973,0.0780955,7414.0,0.05716437,0.29590257,0.48397334,0.24115474
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.93449689,0.43470888,0.22646976,0.27331826,14152.0,0.07528818,0.81064784,1.0583459,0.13253019
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,365000,1.0790816,0.53772825,0.25966702,0.28168636,7448.0,0.13350215,0.85947059,1.2986927,0.20351661
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,365000,0.77386635,0.32025656,0.18958831,0.26402148,6704.0,0.08582729,0.63268045,0.91505224,0.18244222
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.13580247,0.05374001,0.02396514,0.05809731,1377.0,0.07224472,0.0169599,0.25464504,0.87511348
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,181000,0.20940649,0.08286674,0.03695409,0.08958567,893.0,0.11826635,0.01485836,0.40395463,0.92904539
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,181000,0.0,0.0,0.0,0.0,484.0,.,.,.,.
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.50353737,0.25992002,0.08120578,0.16241157,3251.0,0.10976869,0.32296788,0.68410687,0.35860197
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,195000,0.61465852,0.37368129,0.09328151,0.14769572,1801.0,0.1484378,0.37047835,0.8588387,0.39726151
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,195000,0.36551724,0.11862069,0.0662069,0.18068966,1450.0,0.14731547,0.1231833,0.60785118,0.66298909
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.64393939,0.3219697,0.3219697,0.0,264.0,0.43686589,-0.074705,1.3625838,1.1160125
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,88000,0.75892857,0.37946429,0.37946429,0.0,224.0,0.53418839,-0.11981133,1.6376685,1.157869
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,88000,0.0,0.0,0.0,0.0,40.0,.,.,.,.
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.00821355,0.00821355,0.0,0.0,974.0,0.00866597,-0.00604198,0.02246908,1.7356106
"2-4 Units  (Own/Rent), 2 BR",    Below Median,95000,0.01360544,0.01360544,0.0,0.0,588.0,0.01447119,-0.01019966,0.03741055,1.7496752
"2-4 Units  (Own/Rent), 2 BR",    Above Median,95000,0.0,0.0,0.0,0.0,386.0,.,.,.,.
"2-4 Units (Own/Rent), 3 BR",All Values,,0.90612245,0.20612245,0.43877551,0.26122449,490.0,0.52716263,0.03893993,1.773305,0.95702575
"2-4 Units (Own/Rent), 3 BR",    Below Median,130000,1.3373494,0.30421687,0.64759036,0.38554217,332.0,0.81640863,-0.0056428,2.6803416,1.0042194
"2-4 Units (Own/Rent), 3 BR",    Above Median,130000,0.0,0.0,0.0,0.0,158.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,49.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",    Below Median,158000,0.0,0.0,0.0,0.0,49.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,1848.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",    Below Median,73000,0.0,0.0,0.0,0.0,959.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",    Above Median,73000,0.0,0.0,0.0,0.0,889.0,.,.,.,.
"5-49 Units (Rent), 2 BR",All Values,,0.3445122,0.22256098,0.02184959,0.10010163,1968.0,0.13010573,0.13048828,0.55853612,0.62123757
"5-49 Units (Rent), 2 BR",    Below Median,100000,0.24746622,0.07263514,0.02364865,0.15118243,1184.0,0.14939515,0.00171119,0.49322124,0.99308515
"5-49 Units (Rent), 2 BR",    Above Median,100000,0.49107143,0.44897959,0.01913265,0.02295918,784.0,0.22516373,0.1206771,0.86146576,0.75425754
"5-49 Units (Rent), 3 BR",All Values,,0.5374376,0.34941764,0.05490849,0.13311148,601.0,0.26979021,0.0936327,0.9812425,0.8257794
"5-49 Units (Rent), 3 BR",    Below Median,101000,0.48958333,0.36979167,0.04427083,0.07552083,384.0,0.30695563,-0.01535868,0.99452534,1.0313709
"5-49 Units (Rent), 3 BR",    Above Median,101000,0.62211982,0.31336406,0.07373272,0.23502304,217.0,0.43029753,-0.08571963,1.3299593,1.1377864
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,34.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,180000,0.0,0.0,0.0,0.0,34.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,256.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Below Median,88000,0.0,0.0,0.0,0.0,200.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,88000,0.0,0.0,0.0,0.0,56.0,.,.,.,.
"50+ Units (Rent), 2 BR",All Values,,0.0525,0.0525,0.0,0.0,400.0,0.05194157,-0.03294388,0.13794388,1.6275025
"50+ Units (Rent), 2 BR",    Below Median,58000,0.05915493,0.05915493,0.0,0.0,355.0,0.05986628,-0.0393251,0.15763496,1.6647814
"50+ Units (Rent), 2 BR",    Above Median,58000,0.0,0.0,0.0,0.0,45.0,.,.,.,.
"50+ Units (Rent), 3 BR",All Values,,0.31428571,0.15714286,0.15714286,0.0,70.0,0.44514982,-0.41798573,1.0465572,2.3299546
